target_contrast_gene_name,Rest,Stim8hr,Stim48hr
ADCY9,1.0,5.0,1.0
ADD1,2.0,10.0,6.0
ADD2,0.0,1.0,3.0
ADD3,0.0,0.0,4.0
ADGRA3,0.0,2.0,1.0
ADGRB2,0.0,1.0,0.0
ADGRE2,1.0,0.0,0.0
ADGRE5,1.0,2.0,1.0
ADGRG1,6.0,10.0,6.0
ADGRG5,18.0,39.0,36.0
ADGRL1,7.0,14.0,17.0
ADGRV1,3.0,1.0,1.0
ADH1B,0.0,0.0,0.0
ADH5,1.0,2.0,1.0
ADHFE1,1.0,6.0,184.0
ADI1,4.0,6.0,3.0
ADIPOR1,2.0,2.0,5.0
ADIPOR2,2.0,1.0,2.0
ADIRF,1.0,1.0,1.0
ADISSP,0.0,1.0,1.0
ADK,2.0,1.0,1.0
ADM,0.0,2.0,2.0
ADM5,17.0,32.0,19.0
ADNP,25.0,50.0,42.0
ADNP2,58.0,92.0,97.0
ADO,668.0,50.0,11.0
ADORA2A,19.0,8.0,4.0
ADORA2B,3.0,0.0,1.0
ADPGK,2.0,1.0,1.0
ADPRH,9.0,2.0,1.0
ADPRM,9.0,5.0,460.0
ADPRS,14.0,10.0,4.0
ADRB2,6.0,0.0,1.0
ADRM1,5.0,31.0,27.0
ADSS2,466.0,81.0,
ADTRP,0.0,0.0,1.0
AEBP1,0.0,1.0,0.0
AEBP2,12.0,55.0,510.0
AEN,3.0,2.0,1.0
AFAP1,2.0,12.0,
AFAP1L2,0.0,1.0,0.0
AFDN,3.0,2.0,3.0
AFF1,1.0,5.0,29.0
AFF2,0.0,0.0,0.0
AFF3,0.0,0.0,0.0
AFF4,10.0,4.0,1.0
AFG2A,,5.0,
AFG2B,0.0,0.0,2.0
AFG3L2,64.0,83.0,171.0
AFMID,1.0,3.0,1.0
AFTPH,4.0,9.0,2.0
AGA,1.0,2.0,1.0
AGAP1,2.0,1.0,1.0
AGAP2,6.0,6.0,3.0
AGAP3,4.0,1.0,4.0
AGAP4,4.0,4.0,2.0
AGAP5,0.0,0.0,0.0
AGAP6,11.0,2.0,2.0
AGAP9,0.0,0.0,1.0
AGBL2,3.0,1.0,3.0
AGBL5,25.0,3.0,4.0
AGER,1.0,1.0,0.0
AGFG1,0.0,2.0,10.0
AGFG2,1.0,1.0,4.0
AGGF1,8.0,5.0,11.0
AGK,7.0,10.0,5.0
AGL,1.0,1.0,1.0
AGMAT,1.0,1.0,2.0
AGO1,4.0,4.0,7.0
AGO2,1.0,1.0,1.0
AGO3,1.0,4.0,2.0
AGO4,,1.0,0.0
AGPAT1,203.0,12.0,12.0
AGPAT2,0.0,1.0,3.0
AGPAT3,2.0,3.0,3.0
AGPAT4,3.0,0.0,1.0
AGPAT5,1.0,1.0,2.0
AGPS,2.0,1.0,2.0
AGR2,3.0,0.0,1.0
AGR3,0.0,2.0,0.0
AGRN,66.0,31.0,25.0
AGTPBP1,9.0,8.0,4.0
AGTRAP,1.0,1.0,2.0
AHCYL1,2.0,5.0,7.0
AHCYL2,0.0,0.0,0.0
AHDC1,9.0,6.0,3.0
AHI1,1.0,2.0,1.0
AHNAK,22.0,3.0,4.0
AHR,2790.0,1777.0,1822.0
AHRR,2.0,2.0,1.0
AHSA1,63.0,4.0,18.0
AHSP,0.0,0.0,0.0
AIDA,4.0,3.0,2.0
AIF1,1.0,1.0,1.0
AIFM1,38.0,58.0,998.0
AIFM2,1.0,1.0,1.0
AIG1,1.0,1.0,1.0
AIM2,2.0,1.0,1.0
AIMP1,8.0,17.0,8.0
AIMP2,5.0,4.0,2.0
AIP,104.0,303.0,249.0
AIRE,0.0,0.0,1.0
AIRIM,8.0,292.0,4.0
AJAP1,4.0,7.0,6.0
AK1,1.0,0.0,0.0
AK3,324.0,213.0,58.0
AK4,1.0,3.0,3.0
AK5,17.0,36.0,
AK9,149.0,4.0,8.0
AKAP1,4.0,6.0,8.0
AKAP10,34.0,56.0,11.0
AKAP11,1.0,26.0,3.0
AKAP12,2.0,1.0,1.0
AKAP13,5.0,6.0,3.0
AKAP17A,29.0,71.0,86.0
AKAP5,0.0,1.0,1.0
AKAP7,1.0,1.0,0.0
AKAP8,0.0,1.0,0.0
AKAP8L,5.0,4.0,4.0
AKAP9,4.0,2.0,1.0
AKIP1,1.0,6.0,1.0
AKIRIN1,18.0,14.0,6.0
AKIRIN2,27.0,37.0,16.0
AKNA,1.0,1.0,0.0
AKR1A1,2.0,49.0,1.0
AKR1B1,6.0,3.0,4.0
AKR1C1,1775.0,6.0,242.0
AKR1C3,20.0,0.0,4.0
AKR1E2,0.0,0.0,0.0
AKR7A2,22.0,12.0,4.0
AKR7A3,2.0,0.0,2.0
AKT1,2.0,4.0,4.0
AKT1S1,2.0,4.0,3.0
AKT2,23.0,6.0,8.0
AKT3,3.0,3.0,3.0
AKTIP,1.0,18.0,4.0
ALAD,0.0,16.0,41.0
ALAS1,3.0,61.0,13.0
ALAS2,0.0,3.0,1.0
ALCAM,1.0,1.0,1.0
ALDH16A1,1.0,1.0,3.0
ALDH18A1,119.0,175.0,16.0
ALDH1A1,0.0,0.0,0.0
ALDH1B1,4.0,7.0,11.0
ALDH2,1.0,2.0,1.0
ALDH3A2,1.0,1.0,4.0
ALDH5A1,0.0,2.0,2.0
ALDH7A1,0.0,0.0,0.0
ALDH8A1,0.0,1.0,1.0
ALDH9A1,2.0,1.0,2.0
ALDOA,1.0,233.0,6.0
ALDOC,1.0,1.0,1.0
ALG1,133.0,400.0,1.0
ALG10,1.0,0.0,1.0
ALG10B,3.0,0.0,2.0
ALG12,42.0,68.0,56.0
ALG13,35.0,186.0,4.0
ALG14,4.0,55.0,12.0
ALG2,60.0,107.0,22.0
ALG3,8.0,122.0,10.0
ALG5,38.0,27.0,35.0
ALG6,142.0,260.0,333.0
ALG8,82.0,550.0,807.0
ALG9,25.0,3.0,1.0
ALKAL2,0.0,0.0,0.0
ALKBH1,4.0,4.0,2.0
ALKBH2,365.0,107.0,97.0
ALKBH3,3.0,1.0,1.0
ALKBH4,4.0,2.0,2.0
ALKBH5,7.0,8.0,4.0
ALKBH6,1.0,0.0,0.0
ALKBH7,1.0,3.0,3.0
ALKBH8,7.0,3.0,7.0
ALMS1,11.0,15.0,7.0
ALOX12,0.0,0.0,1.0
ALOX5,46.0,29.0,17.0
ALOX5AP,1.0,1.0,1.0
ALPK1,14.0,6.0,8.0
ALPL,0.0,0.0,0.0
ALS2,102.0,6.0,1.0
ALS2CL,0.0,1.0,4.0
ALX1,0.0,0.0,0.0
ALX3,4.0,0.0,2.0
ALX4,1.0,12.0,4.0
AMBRA1,6.0,16.0,608.0
AMD1,16.0,194.0,428.0
AMDHD1,1.0,0.0,0.0
AMDHD2,1.0,1.0,2.0
AMER1,276.0,2.0,1.0
AMFR,5.0,5.0,5.0
AMIGO1,42.0,23.0,0.0
AMIGO2,4.0,9.0,3.0
AMMECR1,3.0,7.0,7.0
AMMECR1L,,73.0,226.0
AMN,,0.0,
AMN1,1.0,1.0,1.0
AMOT,1.0,0.0,0.0
AMPD2,2.0,2.0,1.0
AMPD3,5.0,2.0,2.0
AMT,0.0,0.0,0.0
AMY2B,1.0,0.0,0.0
AMZ2,1.0,4.0,1.0
ANAPC10,2.0,5.0,69.0
ANAPC11,0.0,5.0,34.0
ANAPC13,1.0,2.0,0.0
ANAPC15,5.0,2.0,3.0
ANAPC16,6.0,5.0,4.0
ANAPC5,,3.0,2.0
ANAPC7,4.0,4.0,2.0
ANGEL1,1.0,2.0,1.0
ANGEL2,1.0,2.0,1.0
ANGPT2,0.0,0.0,0.0
ANGPTL4,2.0,17.0,0.0
ANGPTL6,0.0,3.0,1.0
ANHX,0.0,2.0,0.0
ANK1,2.0,0.0,0.0
ANK3,1.0,0.0,0.0
ANKAR,292.0,136.0,7.0
ANKDD1A,0.0,0.0,0.0
ANKEF1,3.0,2.0,2.0
ANKFY1,11.0,7.0,4.0
ANKH,2.0,1.0,7.0
ANKHD1-EIF4EBP3,3.0,6.0,8.0
ANKK1,17.0,45.0,1.0
ANKLE1,1.0,4.0,2.0
ANKLE2,75.0,1.0,0.0
ANKMY1,2.0,2.0,3.0
ANKMY2,17.0,23.0,15.0
ANKRA2,,72.0,
ANKRD10,1.0,34.0,5.0
ANKRD11,15.0,69.0,19.0
ANKRD12,1.0,1.0,3.0
ANKRD13A,1.0,2.0,1.0
ANKRD13B,2.0,4.0,1.0
ANKRD13C,2.0,1.0,3.0
ANKRD13C-DT,3.0,2.0,2.0
ANKRD13D,0.0,2.0,0.0
ANKRD16,1.0,15.0,9.0
ANKRD17,8.0,46.0,3.0
ANKRD18A,2.0,0.0,2.0
ANKRD23,2.0,0.0,0.0
ANKRD26,3.0,2.0,4.0
ANKRD27,22.0,9.0,7.0
ANKRD28,2.0,1.0,2.0
ANKRD31,6.0,7.0,0.0
ANKRD33B,0.0,1.0,4.0
ANKRD36,1.0,1.0,1.0
ANKRD36B,0.0,1.0,1.0
ANKRD36C,0.0,1.0,2.0
ANKRD37,0.0,1.0,7.0
ANKRD39,6.0,4.0,4.0
ANKRD40,46.0,27.0,7.0
ANKRD42,0.0,0.0,0.0
ANKRD44,3.0,0.0,0.0
ANKRD46,1.0,5.0,4.0
ANKRD49,551.0,57.0,354.0
ANKRD52,,7.0,2.0
ANKRD54,1.0,3.0,21.0
ANKRD6,0.0,0.0,
ANKRD61,1.0,82.0,1177.0
ANKRD9,0.0,9.0,3.0
ANKS1A,0.0,0.0,3.0
ANKS3,5.0,22.0,8.0
ANKS6,2.0,4.0,2.0
ANKZF1,151.0,39.0,9.0
ANO10,1.0,1.0,1.0
ANO6,2.0,2.0,2.0
ANO8,2.0,2.0,2.0
ANO9,0.0,0.0,2.0
ANP32A,3.0,2.0,4.0
ANP32B,93.0,274.0,31.0
ANP32E,1.0,1.0,2.0
ANPEP,1.0,1.0,1.0
ANTKMT,17.0,5.0,49.0
ANTXR2,2.0,2.0,2.0
ANXA1,1.0,1.0,5.0
ANXA11,1.0,1.0,1.0
ANXA2,1.0,1.0,2.0
ANXA2R,2.0,0.0,1.0
ANXA3,0.0,0.0,0.0
ANXA4,1.0,1.0,2.0
ANXA5,1.0,1.0,4.0
ANXA6,1.0,6.0,120.0
ANXA7,6.0,4.0,4.0
ANXA9,0.0,4.0,1.0
AOAH,0.0,0.0,2.0
AOC2,0.0,0.0,0.0
AOC3,1.0,1.0,1.0
AOPEP,0.0,0.0,2.0
AP1AR,1.0,1.0,
AP1B1,4.0,3.0,4.0
AP1G1,1.0,1.0,1.0
AP1G2,2.0,3.0,2.0
AP1M1,29.0,11.0,21.0
AP1S1,4.0,2.0,1.0
AP1S2,221.0,146.0,4.0
AP1S3,2.0,2.0,5.0
AP2A1,4.0,3.0,55.0
AP2A2,3.0,1.0,1.0
AP2B1,9.0,9.0,12.0
AP2S1,14.0,10.0,33.0
AP3B1,7.0,3.0,1.0
AP3D1,72.0,1.0,2.0
AP3M1,1.0,2.0,3.0
AP3M2,1.0,3.0,3.0
AP3S1,30.0,4.0,4.0
AP3S2,1.0,1.0,3.0
AP4B1,3.0,1.0,1.0
AP4E1,1.0,2.0,1.0
AP4M1,134.0,17.0,3.0
AP4S1,2.0,2.0,2.0
AP5B1,0.0,0.0,1.0
AP5M1,2.0,4.0,3.0
AP5S1,1.0,1.0,2.0
AP5Z1,1.0,1.0,1.0
APAF1,90.0,3.0,2.0
APBA1,1.0,1.0,2.0
APBA2,8.0,1.0,0.0
APBA3,0.0,2.0,0.0
APBB1,7.0,1.0,0.0
APBB1IP,31.0,13.0,27.0
APBB2,0.0,1.0,0.0
APBB3,3.0,4.0,2.0
APC,337.0,245.0,7.0
APEH,1.0,3.0,1.0
APEX1,78.0,210.0,110.0
APEX2,12.0,20.0,5.0
APH1A,7.0,13.0,11.0
APH1B,1.0,0.0,1.0
API5,3.0,17.0,3.0
APIP,5.0,2.0,3.0
APLF,2.0,0.0,6.0
APLP1,0.0,0.0,2.0
APLP2,2.0,1.0,1.0
APMAP,3.0,40.0,36.0
APOA1,0.0,0.0,0.0
APOA4,1.0,2.0,1.0
APOBEC2,0.0,0.0,4.0
APOBEC3A,24.0,2.0,2.0
APOBEC3B,113.0,185.0,47.0
APOBEC3C,1.0,1.0,4.0
APOBEC3D,3.0,2.0,4.0
APOBEC3F,1.0,1.0,1.0
APOBEC3G,104.0,1.0,2.0
APOBEC3H,3.0,2.0,2.0
APOBR,4.0,1.0,1.0
APOC1,0.0,1.0,0.0
APOC3,0.0,0.0,0.0
APOD,0.0,2.0,0.0
APOE,1.0,0.0,6.0
APOL1,1.0,1.0,1.0
APOL2,3.0,6.0,2.0
APOL3,1.0,1.0,1.0
APOL6,4.0,7.0,2.0
APOLD1,0.0,4.0,5.0
APOM,1.0,2.0,8.0
APOO,1.0,1.0,1.0
APOOL,2.0,1.0,2.0
APP,2.0,4.0,5.0
APPBP2,31.0,24.0,24.0
APPL2,2.0,460.0,9.0
APRT,1.0,1.0,2.0
APTX,1.0,1.0,1.0
AQP1,0.0,1.0,0.0
AQP11,0.0,1.0,0.0
AQP3,5.0,0.0,1.0
AQP5,2.0,2.0,6.0
AQP9,0.0,0.0,0.0
AR,3.0,3.0,3.0
ARAF,2.0,5.0,1.0
ARAP1,3.0,1.0,2.0
ARAP2,7.0,1.0,1.0
ARAP3,0.0,0.0,1.0
ARB2A,1.0,1.0,2.0
ARC,7.0,1.0,1.0
AREG,0.0,3.0,2.0
AREL1,5.0,2.0,5.0
ARF1,1754.0,58.0,8.0
ARF3,2.0,1.0,2.0
ARF4,6.0,154.0,13.0
ARF5,3.0,2.0,2.0
ARF6,2.0,6.0,3.0
ARFGAP1,2.0,6.0,8.0
ARFGAP2,2.0,4.0,3.0
ARFGAP3,5.0,3.0,3.0
ARFGEF1,13.0,33.0,2.0
ARFGEF2,1.0,2.0,1.0
ARFIP1,3.0,2.0,1.0
ARFIP2,9.0,12.0,6.0
ARFRP1,5.0,17.0,3.0
ARG1,0.0,17.0,2.0
ARG2,2.0,0.0,1.0
ARGFX,0.0,0.0,0.0
ARGLU1,22.0,43.0,13.0
ARHGAP1,4.0,7.0,6.0
ARHGAP10,2.0,2.0,1.0
ARHGAP11A,11.0,10.0,8.0
ARHGAP11B,2.0,1.0,2.0
ARHGAP12,4.0,2.0,2.0
ARHGAP15,1.0,19.0,1.0
ARHGAP17,3.0,1.0,1.0
ARHGAP18,2.0,1.0,2.0
ARHGAP19,1.0,2.0,3.0
ARHGAP21,3.0,2.0,4.0
ARHGAP24,1.0,0.0,0.0
ARHGAP25,0.0,1.0,0.0
ARHGAP26,2.0,2.0,6.0
ARHGAP27,9.0,934.0,76.0
ARHGAP30,1840.0,299.0,1484.0
ARHGAP31,1.0,2.0,0.0
ARHGAP32,1.0,2.0,1.0
ARHGAP33,9.0,9.0,3.0
ARHGAP45,34.0,50.0,1.0
ARHGAP5,1.0,1.0,2.0
ARHGAP6,0.0,0.0,1.0
ARHGAP9,1.0,1.0,1.0
ARHGDIA,1.0,1.0,1.0
ARHGDIB,3.0,3.0,4.0
ARHGEF1,1.0,1.0,1.0
ARHGEF10,0.0,1.0,0.0
ARHGEF11,4.0,2.0,0.0
ARHGEF12,1.0,1.0,1.0
ARHGEF18,3.0,11.0,4.0
ARHGEF19,1.0,1.0,0.0
ARHGEF2,3.0,3.0,2.0
ARHGEF3,,0.0,0.0
ARHGEF39,2.0,1.0,1.0
ARHGEF40,0.0,0.0,0.0
ARHGEF5,6.0,38.0,0.0
ARHGEF6,2.0,2.0,3.0
ARHGEF7,1.0,0.0,0.0
ARHGEF9,2.0,1.0,1.0
ARID1A,101.0,100.0,64.0
ARID1B,1.0,1.0,1.0
ARID2,298.0,216.0,270.0
ARID3A,4.0,8.0,15.0
ARID3B,1.0,3.0,12.0
ARID3C,1.0,0.0,0.0
ARID4A,2.0,1.0,10.0
