chart_id,script,language,packages,is_stub,version_id,artifact_id
C1,C1_C1_dotplot.py,Python,"['matplotlib', 'numpy', 'pandas']",False,0a9c4dbb-e2a3-48b2-b7f1-9b1bdef14978,563b2b37-c829-4f8e-be65-7a9e289b9f90
C2,C2_C2_pseudovolcano.py,Python,"['matplotlib', 'pandas']",False,1e286a08-fe06-4dc8-b739-3af7a028967b,ecf11bd4-a632-4d40-ba58-c2c6202976a6
C3,C3_C3_funnel.py,Python,"['matplotlib', 'numpy', 'pandas']",False,0237bee9-a055-4b34-873e-d6586937b3e7,2c1f95d0-7329-482e-bb7d-b2627073cd85
D1,D1_D1_violin.py,Python,"['matplotlib', 'numpy', 'pandas']",False,604af51b-3f93-4f70-830f-d810f036a47a,dc54432d-f022-49ae-ad44-cc1d0c4c9aed
D10,D10_D10_qq.py,Python,"['matplotlib', 'numpy', 'pandas', 'scipy']",False,74363963-b398-45f3-82aa-1aa2ebf3a1cf,33ac185a-e495-4fe8-bf7f-2513818c146f
D2,D2_D2_box.py,Python,"['matplotlib', 'numpy', 'pandas']",False,f752a983-3f68-4255-b9db-0de2180e3d65,0a9b1489-eec3-4bd6-911b-19af950353f1
D3,D3_D3_ridgeline.py,Python,"['matplotlib', 'numpy', 'pandas', 'scipy']",False,aed4b62a-c6c6-4667-b47c-91bd74f4885b,4bd72ef0-be08-4ddb-9cf0-ba76da818bd2
D4,D4_D4_histogram.py,Python,"['matplotlib', 'numpy', 'pandas']",False,5f075774-38bf-402f-972f-30cfe3785e99,f5cd9f92-515a-4635-a7fc-a150e90e6c60
D5,D5_D5_ecdf.py,Python,"['matplotlib', 'numpy', 'pandas']",False,c7298056-a0ac-4312-bcc6-c475c8c84215,5c8cf0ca-a967-4883-b5ed-49cb7df523b3
D6,D6_D6_strip.py,Python,"['matplotlib', 'numpy', 'pandas']",False,ee5aff2c-61b3-4b57-b141-833f89ce7fad,7b3f1705-f6e7-45c8-b12b-339bd08868a1
D7,D7_D7_swarm.py,Python,"['matplotlib', 'numpy', 'pandas']",False,c1cbcb56-e654-4a05-9f17-3379ed3565ed,6375213c-ee87-4c5c-8ac5-53275285258e
D8,D8_D8_raincloud.py,Python,"['matplotlib', 'numpy', 'pandas', 'scipy']",False,9be99e32-4d2c-41c3-b210-3af727a01526,2ccd6edc-eb11-4771-88e8-74fd1baea216
D9,D9_D9_kde.py,Python,"['matplotlib', 'numpy', 'pandas', 'scipy']",False,1c1adcd3-c357-4a70-8e5d-aee00bbfb953,5f15ca3a-ba9e-4323-96ad-653149250164
H1,H1_H1_treemap.py,Python,"['matplotlib', 'numpy', 'pandas', 'squarify']",False,d97bdea4-8252-4be8-9325-6e44ed98ab43,241e2e4a-3e51-408b-844c-d2fe219114d3
H2,H2_H2_sunburst.py,Python,"['matplotlib', 'numpy', 'pandas']",False,d3190378-4dfe-4ebe-8712-026ac0223b9c,0bddd89a-2667-4dde-991b-588d11bc26e5
H3,H3_H3_icicle.py,Python,"['matplotlib', 'numpy', 'pandas']",False,6d59c9ce-5212-4d6b-8fdb-33dd8466fbb8,6ee60b63-c35a-45fc-ae72-6d5719b11271
H4,H4_H4_sankey.py,Python,"['matplotlib', 'numpy', 'pandas']",False,be2cb6ae-43bf-41b2-b493-86f76f944136,19244117-7a9c-4b02-a1dd-effed1397298
H5,H5_H5_funnel.py,Python,"['matplotlib', 'numpy', 'pandas']",False,7a994571-6c60-48b7-9a36-c514d764f4ef,d21ecda0-750d-4406-b42d-05d8e8347385
