gene,is_ctx_specific,delivery_modality,polarity,kinetic_archetype,avoid_tier,n_avoid_flags,avoid_flags,n_concept_modules,stimulation_gated,ctx_specific_de,de_Rest,de_Stim8hr,de_Stim48hr,loeuf,pli,breadth_max_de
HIF1A,True,Awaiting modality (no known delivery route),activator,late_sustained,high_risk,2,High constraint (LOEUF 0.31); Dosage-sensitive (pLI 0.98),1,False,127.0,2.0,3.0,129.0,0.309,0.9777,129.0
IBA57,True,Awaiting modality (no known delivery route),mixed,late_sustained,clear,0,,0,True,906.0,13.0,140.0,919.0,0.957,0.0083921,919.0
ICOS,True,CAR-T / ADC / antibody (surface + ectodomain),repressor,other,clear,0,,2,False,669.0,739.0,211.0,70.0,0.905,0.031284,739.0
IFNAR1,True,CAR-T / ADC / antibody (surface + ectodomain),activator,other,clear,0,,1,False,11.0,46.0,57.0,39.0,1.211,3.2501e-12,57.0
IFNGR1,True,CAR-T / ADC / antibody (surface + ectodomain),mixed,early_transient,clear,0,,1,False,109.0,1.0,110.0,3.0,0.7,0.015503,110.0
IFNGR2,True,CAR-T / ADC / antibody (surface + ectodomain),activator,early_transient,high_risk,2,High constraint (LOEUF 0.34); Dosage-sensitive (pLI 0.95),1,False,66.0,4.0,70.0,2.0,0.339,0.95281,70.0
IKBKB,True,Small molecule (intracellular pocket),mixed,late_sustained,high_risk,2,High constraint (LOEUF 0.29); Dosage-sensitive (pLI 0.99),1,False,292.0,1.0,5.0,293.0,0.29,0.99192,293.0
IL23R,True,CAR-T / ADC / antibody (surface + ectodomain),mixed,other,clear,0,,1,False,256.0,256.0,0.0,5.0,0.606,0.00055961,256.0
IL4R,True,CAR-T / ADC / antibody (surface + ectodomain),mixed,late_sustained,clear,0,,1,True,726.0,3.0,240.0,729.0,0.832,0.00023013,729.0
IL7R,True,CAR-T / ADC / antibody (surface + ectodomain),activator,unknown,clear,0,,1,,,,812.0,99.0,1.04,3.763e-07,812.0
INPP5D,True,Small molecule (intracellular pocket),repressor,late_sustained,high_risk,2,High constraint (LOEUF 0.31); Dosage-sensitive (pLI 0.97),0,True,533.0,3.0,12.0,536.0,0.306,0.97198,536.0
INSIG1,True,"Antibody (surface, limited ectodomain)",mixed,late_sustained,clear,0,,0,True,709.0,22.0,116.0,731.0,1.119,0.0012827,731.0
IRF1,True,Awaiting modality (no known delivery route),activator,other,high_risk,2,High constraint (LOEUF 0.26); Dosage-sensitive (pLI 0.99),2,False,213.0,271.0,182.0,58.0,0.256,0.9909,271.0
IRF4,True,Awaiting modality (no known delivery route),mixed,other,clear,0,,1,False,242.0,325.0,567.0,498.0,0.382,0.85677,567.0
ITK,True,Awaiting modality (no known delivery route),mixed,stim_switch,caution,1,Pleiotropy (breadth top 10%),1,True,3391.0,2.0,3393.0,2566.0,0.6583348217168689,5.378493633649366e-06,3393.0
LAMTOR4,True,Awaiting modality (no known delivery route),repressor,late_sustained,clear,0,,0,True,657.0,27.0,334.0,684.0,1.628,0.0035588,684.0
LAT,True,CAR-T / ADC / antibody (surface + ectodomain),repressor,stim_switch,caution,1,Pleiotropy (breadth top 10%),1,True,5532.0,4.0,5536.0,3187.0,0.66,0.0092377,5536.0
LIG3,True,Awaiting modality (no known delivery route),mixed,late_sustained,clear,0,,0,True,1175.0,2.0,2.0,1177.0,0.682,1.439e-10,1177.0
LRBA,True,Awaiting modality (no known delivery route),repressor,early_transient,caution,1,Pleiotropy (breadth top 10%),0,True,2988.0,5.0,2993.0,223.0,0.6044274850704704,2.77834428745411e-23,2993.0
MALT1,True,Awaiting modality (no known delivery route),mixed,stim_switch,caution,1,Pleiotropy (breadth top 10%),1,True,1637.0,3.0,1640.0,1412.0,0.5559133450604872,0.1044634796963359,1640.0
MED13,True,Awaiting modality (no known delivery route),repressor,late_sustained,high_risk,2,High constraint (LOEUF 0.03); Dosage-sensitive (pLI 1.00),0,True,586.0,43.0,220.0,629.0,0.03,1.0,629.0
MMGT1,True,"Antibody (surface, limited ectodomain)",mixed,late_sustained,clear,0,,0,True,699.0,31.0,65.0,730.0,0.565,0.79834,730.0
MTA3,True,Awaiting modality (no known delivery route),repressor,early_transient,clear,0,,0,True,1051.0,2.0,1053.0,57.0,0.517,0.03435,1053.0
MTCH2,True,"Antibody (surface, limited ectodomain)",mixed,late_sustained,clear,0,,0,True,687.0,6.0,2.0,693.0,0.564,0.031932,693.0
MTG1,True,Awaiting modality (no known delivery route),mixed,late_sustained,caution,1,Pleiotropy (breadth top 10%),0,True,1884.0,10.0,8.0,1894.0,0.717,0.013299,1894.0
MTHFD1L,True,Awaiting modality (no known delivery route),repressor,late_sustained,clear,0,,0,True,707.0,9.0,31.0,716.0,0.726,1.9355e-12,716.0
MTHFD2,True,Awaiting modality (no known delivery route),mixed,late_sustained,clear,0,,0,True,797.0,1.0,3.0,798.0,0.805,0.0023975,798.0
MYC,True,Small molecule (intracellular pocket),mixed,early_transient,high_risk,2,High constraint (LOEUF 0.16); Dosage-sensitive (pLI 1.00),1,True,637.0,39.0,676.0,41.0,0.164,0.99801,676.0
NATD1,True,Awaiting modality (no known delivery route),repressor,early_transient,clear,0,,0,True,828.0,2.0,830.0,32.0,,,830.0
NDFIP2,True,CAR-T / ADC / antibody (surface + ectodomain),repressor,early_transient,clear,0,,0,True,833.0,2.0,835.0,128.0,0.514,0.52743,835.0
NDUFA9,True,Awaiting modality (no known delivery route),mixed,late_sustained,clear,0,,0,True,517.0,4.0,17.0,521.0,0.64,0.0047988,521.0
NDUFAF3,True,Awaiting modality (no known delivery route),mixed,late_sustained,caution,1,Pleiotropy (breadth top 10%),0,True,1917.0,6.0,3.0,1923.0,1.3390337239482806,1.7241082293043013e-07,1923.0
NFATC2,True,Awaiting modality (no known delivery route),mixed,early_transient,high_risk,2,High constraint (LOEUF 0.19); Dosage-sensitive (pLI 1.00),1,False,170.0,2.0,172.0,27.0,0.187,0.99995,172.0
NFKB1,True,Small molecule (intracellular pocket),mixed,early_transient,high_risk,2,High constraint (LOEUF 0.14); Dosage-sensitive (pLI 1.00),1,False,115.0,90.0,205.0,63.0,0.138,1.0,205.0
NSUN4,True,Awaiting modality (no known delivery route),mixed,late_sustained,clear,0,,0,True,989.0,37.0,109.0,1026.0,0.914,1.2267e-06,1026.0
ORAI1,True,CAR-T / ADC / antibody (surface + ectodomain),repressor,early_transient,clear,0,,0,True,1247.0,3.0,1250.0,77.0,1.777,1.9068e-05,1250.0
PDCD5,True,Awaiting modality (no known delivery route),mixed,late_sustained,clear,0,,0,True,872.0,30.0,38.0,902.0,1.167,0.0036424,902.0
PLCG1,True,Small molecule (intracellular pocket),repressor,early_transient,caution,1,Pleiotropy (breadth top 10%),1,True,5030.0,3.0,5033.0,2218.0,0.4865636818969194,0.7209971026115483,5033.0
POLG,True,Awaiting modality (no known delivery route),mixed,late_sustained,caution,1,Pleiotropy (breadth top 10%),0,True,1561.0,40.0,266.0,1601.0,0.8291352903695456,6.160424673359716e-26,1601.0
PPP3R1,True,Awaiting modality (no known delivery route),repressor,stim_switch,clear,0,,0,True,612.0,1.0,613.0,523.0,0.664,0.41481,613.0
PTCD2,True,Awaiting modality (no known delivery route),mixed,late_sustained,clear,0,,0,True,650.0,50.0,43.0,700.0,1.315,7.1321e-11,700.0
RAC2,True,Awaiting modality (no known delivery route),mixed,late_sustained,high_risk,2,High constraint (LOEUF 0.28); Dosage-sensitive (pLI 0.97),0,True,1060.0,35.0,121.0,1095.0,0.284,0.96627,1095.0
RBFA,True,Awaiting modality (no known delivery route),mixed,late_sustained,clear,0,,0,True,1152.0,14.0,146.0,1166.0,1.143,9.5095e-05,1166.0
REL,True,Awaiting modality (no known delivery route),mixed,early_transient,high_risk,2,High constraint (LOEUF 0.23); Dosage-sensitive (pLI 1.00),1,False,77.0,3.0,80.0,2.0,0.229,0.99836,80.0
RELA,True,Awaiting modality (no known delivery route),activator,early_transient,high_risk,2,High constraint (LOEUF 0.18); Dosage-sensitive (pLI 1.00),1,False,102.0,4.0,106.0,38.0,0.181,0.99948,106.0
