cluster,intracluster_corr,related_cluster,rest_count,stim8hr_count,stim48hr_count,signature_gene,cluster_member,manual_annotation,complex_corum,overlap_genes_corum,overlap_fraction_corum,raw_p_value_corum,complex_size_corum,complex_stringdb,overlap_genes_stringdb,overlap_fraction_stringdb,raw_p_value_stringdb,complex_size_stringdb,best_described_by,complex_kegg,overlap_genes_kegg,overlap_fraction_kegg,raw_p_value_kegg,complex_size_kegg,complex_reactome,overlap_genes_reactome,overlap_fraction_reactome,raw_p_value_reactome,complex_size_reactome,cluster_size,cluster_gene_size,cluster_member_with_condition
118,0.200084355,,24,32,13,"['ALG2/12/13', 'CALR', 'MIA2', 'MOGS', 'KDELR2'', 'PMM2', 'SEL1L', 'USO1', 'TMED2', 'DPM2', 'PRKCSH', 'MPI', 'SYVN1', 'TMED10', 'GANAB']","['CALR', 'DNAJB11', 'GRIN3A', 'ZNF554', 'SSR3', 'ALG12', 'SSR2', 'FAF2', 'PDIA6', 'DNAJB9', 'MOGS', 'DPM2', 'KDELR2', 'TMED10', 'MPI', 'MIA2', 'USO1', 'SEC63', 'MANF', 'ALG13', 'TRAPPC13', 'TMEM186', 'SEL1L', 'TMED2', 'MYO9A', 'ALG2', 'SYVN1', 'P4HB', 'RAD23A', 'TM9SF3', 'THAP5', 'PRKCSH', 'UBE2G2', 'SLC33A1', 'GINM1', 'XRRA1', 'SMAGP', 'GANAB', 'SEC14L5', 'TRIB2', 'SLC35B1', 'PMM2']","asparagine N-linked glycosylation, ER-associated protein folder QC, glycan biosynthesis, related to cluster 128, could be mixed cluster",HRD1 complex,"['SYVN1', 'SEL1L', 'FAF2']",0.071428571,0.001351026,13,CL:1546,"['PDIA6', 'MANF', 'DNAJB9', 'DNAJB11']",0.0952381,1.73e-05,10,"Endoplasmic reticulum chaperone complex, and ARMET-like",KEGG_N_GLYCAN_BIOSYNTHESIS,"['ALG13', 'MOGS', 'ALG12', 'DPM2', 'ALG2', 'GANAB']",0.14285714,0.00012607,46,REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION,"['ALG13', 'CALR', 'MIA2', 'MOGS', 'KDELR2', 'ALG12', 'PMM2', 'SEL1L', 'USO1', 'TMED2', 'DPM2', 'PRKCSH', 'MPI', 'SYVN1', 'TMED10', 'ALG2', 'GANAB']",0.405,9.26e-06,312.0,69.0,42.0,"['CALR_Rest', 'DNAJB11_Rest', 'GRIN3A_Stim8hr', 'ZNF554_Rest', 'SSR3_Stim8hr', 'ALG12_Stim8hr', 'SSR2_Stim8hr', 'FAF2_Stim8hr', 'PDIA6_Rest', 'DNAJB9_Rest', 'MOGS_Stim8hr', 'DPM2_Stim8hr', 'KDELR2_Stim8hr', 'ZNF554_Stim48hr', 'TMED10_Stim8hr', 'KDELR2_Rest', 'MPI_Stim8hr', 'MIA2_Rest', 'USO1_Rest', 'SEC63_Stim48hr', 'MANF_Stim48hr', 'ALG13_Stim8hr', 'TRAPPC13_Stim8hr', 'TMEM186_Stim8hr', 'TMED10_Stim48hr', 'SEL1L_Stim48hr', 'TMED2_Stim8hr', 'MYO9A_Stim8hr', 'ALG2_Stim8hr', 'SYVN1_Stim8hr', 'P4HB_Stim8hr', 'RAD23A_Stim8hr', 'RAD23A_Rest', 'SSR2_Rest', 'SSR3_Rest', 'TM9SF3_Stim48hr', 'THAP5_Rest', 'MYO9A_Rest', 'SYVN1_Rest', 'PRKCSH_Stim8hr', 'DNAJB9_Stim48hr', 'UBE2G2_Stim8hr', 'DNAJB11_Stim48hr', 'P4HB_Stim48hr', 'SLC33A1_Rest', 'GINM1_Stim8hr', 'PDIA6_Stim8hr', 'XRRA1_Rest', 'SMAGP_Rest', 'DNAJB9_Stim8hr', 'TMED10_Rest', 'GANAB_Stim8hr', 'SEC63_Rest', 'MANF_Rest', 'SEC14L5_Rest', 'ZNF554_Stim8hr', 'P4HB_Rest', 'USO1_Stim8hr', 'TMED2_Stim48hr', 'TRIB2_Stim8hr', 'SEC63_Stim8hr', 'SLC35B1_Stim8hr', 'MIA2_Stim48hr', 'SEL1L_Stim8hr', 'THAP5_Stim48hr', 'PDIA6_Stim48hr', 'PMM2_Stim8hr', 'SEL1L_Rest', 'UBE2G2_Rest']"
128,0.259565109,"{129, 118}",6,0,0,"['ALG6/8', ''MPI']","['ALG6', 'MPI', 'SLC35B1', 'FAF2', 'ALG8', 'EIF1']","glycosylation, related to cluster 118",AMFR-BAG6-FAF2 complex,['FAF2'],0.166666667,0.007662803,3,CL:28646,"['ALG8', 'ALG6', 'MPI']",0.5,8.9e-06,19,"Glycosylation and related congenital defects, and Synthesis of GDP-mannose",KEGG_N_GLYCAN_BIOSYNTHESIS,"['ALG8', 'ALG6']",0.33333333,0.00537624,46,REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN,"['ALG8', 'ALG6', 'MPI']",0.5,0.000711,80.0,6.0,6.0,"['ALG6_Rest', 'MPI_Rest', 'SLC35B1_Rest', 'FAF2_Rest', 'ALG8_Rest', 'EIF1_Rest']"
5,0.267101057,"{4, 6}",6,0,0,"['DPH1/2/5', 'TTC4', 'TPT1', 'DNAJC24']","['DPH5', 'TTC4', 'TPT1', 'DPH1', 'DNAJC24', 'DPH2']","diphthamide synthesis, related to cluster 4 and 6",,,,,,CL:7638,"['DPH1', 'DPH2', 'DPH5']",0.5,9.31e-08,5,Peptidyl-diphthamide metabolic process,,,,,,REACTOME_SYNTHESIS_OF_DIPHTHAMIDE_EEF2,"['DPH5', 'DPH1', 'DPH2', 'DNAJC24']",0.667,8.35e-10,8.0,6.0,6.0,"['DPH5_Rest', 'TTC4_Rest', 'TPT1_Rest', 'DPH1_Rest', 'DNAJC24_Rest', 'DPH2_Rest']"
4,0.264257993,"{5, 6}",1,6,0,"['DPH1/5/6', 'DNAJC24', 'TPT1', 'TTC4']","['DPH6', 'DNAJC24', 'TPT1', 'TTC4', 'DPH1', 'DPH5']","diphthamide synthesis, related to cluster 5 and 6",,,,,,CL:7638,"['DPH6', 'DPH1', 'DPH5']",0.5,9.31e-08,5,Peptidyl-diphthamide metabolic process,,,,,,REACTOME_SYNTHESIS_OF_DIPHTHAMIDE_EEF2,"['DPH5', 'DPH1', 'DPH6', 'DNAJC24']",0.666666667,8.35e-10,8.0,7.0,6.0,"['DPH6_Rest', 'DPH6_Stim8hr', 'DNAJC24_Stim8hr', 'TPT1_Stim8hr', 'TTC4_Stim8hr', 'DPH1_Stim8hr', 'DPH5_Stim8hr']"
6,0.273678646,"{4, 5}",0,0,6,"['DPH1/2/5/6', 'DNAJC24', 'TPT1']","['DPH2', 'DNAJC24', 'DPH6', 'DPH1', 'DPH5', 'TPT1']","diphthamide synthesis, related to cluster 4 and 5",,,,,,CL:7638,"['DPH6', 'DPH1', 'DPH2', 'DPH5']",0.66666667,5.97e-11,5,Peptidyl-diphthamide metabolic process,,,,,,REACTOME_SYNTHESIS_OF_DIPHTHAMIDE_EEF2,"['DPH6', 'DPH1', 'DPH2', 'DPH5', 'DNAJC24']",0.833,5.72e-13,116.0,6.0,6.0,"['DPH2_Stim48hr', 'DNAJC24_Stim48hr', 'DPH6_Stim48hr', 'DPH1_Stim48hr', 'DPH5_Stim48hr', 'TPT1_Stim48hr']"
103,0.267325575,"{16, 18, 19}",10,0,0,"['LAMTOR2/3', 'RRAGA/C', 'WDR59', 'MIOS', 'RPTOR']","['RPTOR', 'RRAGC', 'PTEN', 'TMEM214', 'MIOS', 'RRAGA', 'WDR59', 'FOXO1', 'LAMTOR3', 'LAMTOR2']","amino acids regulate mTORC1, Ragulator-Rag complex",Ragulator-Rag complex,"['LAMTOR2', 'RRAGC', 'LAMTOR3', 'RRAGA']",0.4,5.82e-09,7,CL:14567,"['RRAGA', 'LAMTOR2', 'WDR59', 'LAMTOR3', 'MIOS', 'RRAGC', 'RPTOR']",0.7,2.64e-10,54,"Amino acids regulate mTORC1, and TORC2 complex",KEGG_PROSTATE_CANCER,"['FOXO1', 'PTEN']",0.2,0.05261672,89,REACTOME_AMINO_ACIDS_REGULATE_MTORC1,"['LAMTOR2', 'RRAGA', 'LAMTOR3', 'WDR59', 'MIOS', 'RRAGC', 'RPTOR']",0.7,3.02e-10,55.0,10.0,10.0,"['RPTOR_Rest', 'RRAGC_Rest', 'PTEN_Rest', 'TMEM214_Rest', 'MIOS_Rest', 'RRAGA_Rest', 'WDR59_Rest', 'FOXO1_Rest', 'LAMTOR3_Rest', 'LAMTOR2_Rest']"
16,0.277965049,"{18, 19, 103}",1,11,1,"['LAMTOR2/3/4', 'RRAGA/C', 'WDR24/59', 'MIOS', 'RPTOR']","['LAMTOR3', 'MIOS', 'FOXK1', 'WDR59', 'TMEM214', 'RPTOR', 'RRAGC', 'LAMTOR4', 'LAMTOR2', 'RRAGA', 'WDR24']","amino acids regulate mTORC1, Ragulator-Rag complex",Ragulator-Rag complex,"['LAMTOR2', 'RRAGA', 'LAMTOR3', 'RRAGC', 'LAMTOR4']",0.454545455,1.65e-11,7,CL:14569,"['LAMTOR2', 'RRAGA', 'LAMTOR3', 'WDR59', 'MIOS', 'RRAGC', 'LAMTOR4', 'WDR24']",0.72727273,2.24e-14,28,Amino acids regulate mTORC1,KEGG_MTOR_SIGNALING_PATHWAY,['RPTOR'],0.09090909,0.21910045,52,REACTOME_AMINO_ACIDS_REGULATE_MTORC1,"['LAMTOR2', 'RRAGA', 'LAMTOR3', 'WDR59', 'MIOS', 'RRAGC', 'RPTOR', 'LAMTOR4', 'WDR24']",0.818181818,5.82e-14,55.0,13.0,11.0,"['LAMTOR3_Stim8hr', 'MIOS_Stim8hr', 'FOXK1_Rest', 'FOXK1_Stim48hr', 'WDR59_Stim8hr', 'TMEM214_Stim8hr', 'RPTOR_Stim8hr', 'FOXK1_Stim8hr', 'RRAGC_Stim8hr', 'LAMTOR4_Stim8hr', 'LAMTOR2_Stim8hr', 'RRAGA_Stim8hr', 'WDR24_Stim8hr']"
18,0.480153103,"{16, 103}",0,0,5,"['RRAGA/C', 'LAMTOR2', 'WDR59', 'MIOS']","['RRAGA', 'MIOS', 'WDR59', 'LAMTOR2', 'RRAGC']","amino acids regulate mTORC1, Ragulator-Rag complex",Ragulator-Rag complex,"['RRAGA', 'RRAGC', 'LAMTOR2']",0.6,1.63e-07,7,CL:14569,"['RRAGA', 'LAMTOR2', 'WDR59', 'MIOS', 'RRAGC']",1.0,1.67e-10,28,Amino acids regulate mTORC1,,,,,,REACTOME_AMINO_ACIDS_REGULATE_MTORC1,"['LAMTOR2', 'RRAGA', 'WDR59', 'MIOS', 'RRAGC']",1.0,5.92e-09,55.0,5.0,5.0,"['RRAGA_Stim48hr', 'MIOS_Stim48hr', 'WDR59_Stim48hr', 'LAMTOR2_Stim48hr', 'RRAGC_Stim48hr']"
19,0.265970392,"{16, 103}",0,0,9,"['LAMTOR3/4/5', 'RPTOR', 'WDR24']","['RPTOR', 'VPS35', 'VPS18', 'LAMTOR4', 'LAMTOR3', 'TMEM214', 'VPS29', 'LAMTOR5', 'WDR24']","amino acids regulate mTORC1, Ragulator-Rag complex",Ragulator complex,"['LAMTOR3', 'LAMTOR4', 'LAMTOR5']",0.333333333,3.9e-07,5,CL:14567,"['LAMTOR3', 'RPTOR', 'LAMTOR5', 'LAMTOR4', 'WDR24']",0.55555556,6.33e-07,54,"Amino acids regulate mTORC1, and TORC2 complex",KEGG_MTOR_SIGNALING_PATHWAY,['RPTOR'],0.11111111,0.18311418,52,REACTOME_AMINO_ACIDS_REGULATE_MTORC1,"['LAMTOR3', 'RPTOR', 'LAMTOR5', 'LAMTOR4', 'WDR24']",0.555555556,6.95e-07,55.0,9.0,9.0,"['RPTOR_Stim48hr', 'VPS35_Stim48hr', 'VPS18_Stim48hr', 'LAMTOR4_Stim48hr', 'LAMTOR3_Stim48hr', 'TMEM214_Stim48hr', 'VPS29_Stim48hr', 'LAMTOR5_Stim48hr', 'WDR24_Stim48hr']"
104,0.30880615,{105},8,1,5,"['UBA5', 'UFM1', 'UFL1', 'DDRGK1']","['TMEM131L', 'ACAD11', 'TGDS', 'UFL1', 'MAP3K13', 'UBA5', 'UFM1', 'DDRGK1']",protein ufmylation,,,,,,CL:3465,"['UBA5', 'UFM1', 'UFL1', 'DDRGK1']",0.5,1.94e-09,7,Protein ufmylation,KEGG_MAPK_SIGNALING_PATHWAY,['MAP3K13'],0.125,0.62054289,267,REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION,['ACAD11'],0.125,0.12,37.0,14.0,8.0,"['TMEM131L_Stim48hr', 'ACAD11_Rest', 'TGDS_Rest', 'UFL1_Rest', 'ACAD11_Stim48hr', 'TGDS_Stim48hr', 'MAP3K13_Rest', 'UFL1_Stim48hr', 'UBA5_Rest', 'UFM1_Rest', 'DDRGK1_Rest', 'TMEM131L_Stim8hr', 'TMEM131L_Rest', 'UFM1_Stim48hr']"
