,regulator_gene_id,regulator_label
163,ENSG00000040633,late_regulator
164,ENSG00000213638,late_regulator
165,ENSG00000137207,late_regulator
166,ENSG00000183779,late_regulator
167,ENSG00000151135,late_regulator
168,ENSG00000128915,late_regulator
169,ENSG00000178035,late_regulator
170,ENSG00000181038,late_regulator
171,ENSG00000155380,late_regulator
172,ENSG00000181885,late_regulator
173,ENSG00000167770,late_regulator
174,ENSG00000119599,late_regulator
175,ENSG00000130475,late_regulator
176,ENSG00000166912,late_regulator
177,ENSG00000139629,late_regulator
178,ENSG00000109670,late_regulator
179,ENSG00000137714,late_regulator
180,ENSG00000137265,late_regulator
181,ENSG00000135426,late_regulator
182,ENSG00000135482,late_regulator
183,ENSG00000139842,late_regulator
184,ENSG00000068976,late_regulator
185,ENSG00000133114,late_regulator
186,ENSG00000126561,late_regulator
187,ENSG00000136243,late_regulator
188,ENSG00000041880,late_regulator
189,ENSG00000102081,late_regulator
190,ENSG00000165046,late_regulator
191,ENSG00000197386,late_regulator
192,ENSG00000008324,late_regulator
193,ENSG00000125952,late_regulator
194,ENSG00000167720,late_regulator
195,ENSG00000055070,late_regulator
196,ENSG00000083535,late_regulator
197,ENSG00000081985,late_regulator
198,ENSG00000152620,late_regulator
199,ENSG00000171530,late_regulator
200,ENSG00000100147,late_regulator
201,ENSG00000133895,late_regulator
202,ENSG00000100823,late_regulator
203,ENSG00000118193,late_regulator
204,ENSG00000180008,late_regulator
205,ENSG00000182628,late_regulator
206,ENSG00000171793,late_regulator
207,ENSG00000132436,late_regulator
208,ENSG00000150907,late_regulator
209,ENSG00000125430,late_regulator
210,ENSG00000005339,late_regulator
211,ENSG00000197713,late_regulator
212,ENSG00000138069,late_regulator
213,ENSG00000182831,late_regulator
214,ENSG00000078900,late_regulator
215,ENSG00000164818,late_regulator
216,ENSG00000119335,late_regulator
217,ENSG00000167130,late_regulator
218,ENSG00000168876,late_regulator
219,ENSG00000135740,late_regulator
220,ENSG00000104885,late_regulator
221,ENSG00000182185,late_regulator
222,ENSG00000197157,late_regulator
223,ENSG00000152475,late_regulator
224,ENSG00000073861,late_regulator
225,ENSG00000100393,late_regulator
226,ENSG00000105185,late_regulator
227,ENSG00000151503,late_regulator
228,ENSG00000187555,late_regulator
229,ENSG00000028310,late_regulator
230,ENSG00000160584,late_regulator
231,ENSG00000168918,late_regulator
232,ENSG00000196505,late_regulator
233,ENSG00000125534,late_regulator
234,ENSG00000106009,late_regulator
235,ENSG00000102580,late_regulator
236,ENSG00000157426,late_regulator
237,ENSG00000066933,late_regulator
238,ENSG00000162337,late_regulator
239,ENSG00000159921,late_regulator
240,ENSG00000128654,late_regulator
241,ENSG00000127481,late_regulator
242,ENSG00000143867,late_regulator
243,ENSG00000189007,late_regulator
244,ENSG00000127152,late_regulator
245,ENSG00000087152,general_regulator
246,ENSG00000125746,general_regulator
247,ENSG00000128340,general_regulator
248,ENSG00000198851,general_regulator
249,ENSG00000139197,general_regulator
250,ENSG00000130559,general_regulator
251,ENSG00000182866,general_regulator
252,ENSG00000116824,general_regulator
253,ENSG00000124181,general_regulator
254,ENSG00000120526,general_regulator
255,ENSG00000178562,general_regulator
256,ENSG00000156304,general_regulator
257,ENSG00000081237,general_regulator
258,ENSG00000079387,general_regulator
259,ENSG00000198821,general_regulator
260,ENSG00000142867,general_regulator
261,ENSG00000160654,general_regulator
262,ENSG00000150776,general_regulator
263,ENSG00000122145,general_regulator
264,ENSG00000221823,general_regulator
265,ENSG00000139921,general_regulator
266,ENSG00000112282,general_regulator
267,ENSG00000102471,general_regulator
268,ENSG00000105879,general_regulator
269,ENSG00000108061,general_regulator
270,ENSG00000161847,general_regulator
271,ENSG00000137076,general_regulator
272,ENSG00000043462,general_regulator
273,ENSG00000115085,general_regulator
274,ENSG00000168395,general_regulator
275,ENSG00000157999,general_regulator
276,ENSG00000136436,general_regulator
277,ENSG00000187821,general_regulator
