hdbscan,cluster_gene_size,corr_rest,corr_stim8hr,corr_stim48hr,corr_shared,corr_max,corr_std,corr_cov,corr_min,corr_mean,condition_specificity
0,7,0.4064815726486652,0.5129760821592928,0.496742847846206,0.35607590946914386,0.5129760821592928,0.057375511983857895,0.12154107813758273,0.4064815726486652,0.4720668342180547,across_condition
1,2,0.3827114395138128,0.4115639893317561,0.2920669358223227,0.3277207026637171,0.4115639893317561,0.06235441908679482,0.172195491351911,0.2920669358223227,0.36211412155596384,across_condition
2,11,0.2616803292537897,0.3042536185679069,0.28165853621510084,0.20715558396926062,0.3042536185679069,0.02130004484714603,0.0753901618347337,0.2616803292537897,0.2825308280122658,across_condition
3,3,0.5085553918317508,0.5035697475249864,0.4530380856617249,0.29677971906460154,0.5085553918317508,0.03071502559604167,0.06289065628641063,0.4530380856617249,0.4883877416728207,across_condition
4,2,0.4946905066126985,0.5187539967450883,0.5351795844902068,0.3765135888508559,0.5351795844902068,0.020364253474716987,0.039449703064509976,0.4946905066126985,0.5162080292826645,across_condition
5,2,0.5838471498621146,0.5960781679485188,0.5959400350770324,0.45855450764099626,0.5960781679485188,0.007022045724494014,0.011862463074256847,0.5838471498621146,0.5919551176292219,across_condition
6,6,0.28189776494507535,0.2842998588126965,0.2022504059257225,0.16879182340447554,0.2842998588126965,0.04669329818571097,0.18228935353615067,0.2022504059257225,0.25614934322783145,across_condition
7,10,0.37561466525575604,0.41273355039862,0.2502290503984347,0.27357749524192937,0.41273355039862,0.08515385738738622,0.24597262092310107,0.2502290503984347,0.34619242201760353,across_condition
8,7,0.28758969513171717,0.34453305238340015,0.2720318568291001,0.15659697275580442,0.34453305238340015,0.03816852024148092,0.1266437843420524,0.2720318568291001,0.30138486811473914,across_condition
9,34,0.35403665293375997,0.43224428218294964,0.3756523197017942,0.24589586427960666,0.43224428218294964,0.04038630242230219,0.10427355165579785,0.35403665293375997,0.3873110849395012,across_condition
10,42,0.31133769033107234,0.40465009802145707,0.2902194638195788,0.20646226366123369,0.40465009802145707,0.06089274034974858,0.1815512864321905,0.2902194638195788,0.3354024173907027,across_condition
11,2,0.7553894152985915,0.7933496394335209,0.719026201409181,0.4517191457799265,0.7933496394335209,0.037164578522429506,0.04916458406149154,0.719026201409181,0.7559217520470979,across_condition
12,2,0.2425031893068809,0.3438533841293254,0.3559059176502894,0.21874806608835384,0.3559059176502894,0.06228603956820278,0.19830792424852617,0.2425031893068809,0.3140874970288319,across_condition
13,2,0.4821802396529461,0.492350933365803,0.34789354864596,0.3012792924332543,0.492350933365803,0.08062701614254703,0.18290723431361275,0.34789354864596,0.44080824055490303,across_condition
14,4,0.26823638042983133,0.35780052073432506,0.1987553116761768,0.12201946751661596,0.35780052073432506,0.0797336531501214,0.29001360066995413,0.1987553116761768,0.2749307376134444,across_condition
15,88,0.2550340892150641,0.37283674663944616,0.37844895508888204,0.13771904465812204,0.37844895508888204,0.06969001853276015,0.20775707432155738,0.2550340892150641,0.3354399303144641,across_condition
16,2,0.3697940182303307,0.3833068470420155,0.3841621293645591,0.2711416552047948,0.3841621293645591,0.008059886970988835,0.021261274680520456,0.3697940182303307,0.37908766487896844,across_condition
17,5,0.25528761782811915,0.23844987720317956,0.2641002181752411,0.20704560428665308,0.2641002181752411,0.013032724364804758,0.05159174901574016,0.23844987720317956,0.2526125710688466,across_condition
