gene,delivery_modality,polarity,up_frac,n_concept_modules,stimulation_gated,ctx_specific_de,de_Rest,de_Stim8hr,de_Stim48hr,loeuf,druggability_tractability,is_surface_protein,has_extracellular_domain,extracellular_length,druggable_pathway,is_ctx_specific
CKAP4,CAR-T / ADC / 抗體 (細胞表面+胞外域),repressor,0.671201814058957,0,False,437.0,441.0,16.0,4.0,,,True,True,475.0,,False
CLCC1,抗體 (表面但胞外域有限),mixed,0.5767634854771784,0,False,1493.0,239.0,680.0,1732.0,0.8051613354337509,,True,False,0.0,,False
CLPB,待新模態 (無已知遞送方式),mixed,0.6433566433566433,0,False,281.0,5.0,5.0,286.0,,,False,False,,,False
CLUH,待新模態 (無已知遞送方式),activator,0.18446601941747573,0,False,71.0,32.0,27.0,103.0,,,False,False,,,False
CMTM7,抗體 (表面但胞外域有限),repressor,0.7816091954022989,0,False,35.0,82.0,47.0,92.0,,,True,False,0.0,,False
CMTR1,待新模態 (無已知遞送方式),repressor,0.7020057306590258,0,False,130.0,154.0,195.0,24.0,,,False,False,,,False
CNBP,待新模態 (無已知遞送方式),mixed,0.5326278659611993,0,False,209.0,53.0,262.0,252.0,,,,,,,False
CNOT10,待新模態 (無已知遞送方式),repressor,0.7151162790697675,0,False,48.0,43.0,81.0,91.0,,,False,False,,,False
CNOT4,待新模態 (無已知遞送方式),mixed,0.5180572851805728,0,False,815.0,143.0,505.0,958.0,,,,,,,False
CNOT6L,待新模態 (無已知遞送方式),mixed,0.3853211009174312,0,False,103.0,6.0,29.0,109.0,,,,,,,False
COA3,待新模態 (無已知遞送方式),mixed,0.6017797552836485,0,False,422.0,112.0,253.0,534.0,,,False,False,0.0,,False
COA6,待新模態 (無已知遞送方式),repressor,0.8867924528301887,0,False,101.0,5.0,10.0,106.0,,,,,,,False
COA7,待新模態 (無已知遞送方式),mixed,0.6021505376344086,0,True,501.0,43.0,200.0,544.0,,,,,,,True
COLGALT1,待新模態 (無已知遞送方式),mixed,0.5398773006134969,0,False,321.0,5.0,9.0,326.0,,,,,,,False
COMMD10,待新模態 (無已知遞送方式),repressor,0.7339667458432304,0,False,80.0,99.0,143.0,179.0,,,,,,,False
COMMD4,待新模態 (無已知遞送方式),mixed,0.5855855855855856,0,False,75.0,36.0,8.0,111.0,,,False,False,,,False
COMMD5,待新模態 (無已知遞送方式),mixed,0.6098265895953757,0,False,215.0,7.0,124.0,222.0,,,,,,,False
COMMD7,待新模態 (無已知遞送方式),repressor,0.6637168141592921,0,False,111.0,2.0,3.0,113.0,,,,,,,False
COMMD8,待新模態 (無已知遞送方式),repressor,0.7390029325513197,0,False,227.0,57.0,6.0,284.0,,,,,,,False
COP1,小分子 (胞內可成藥口袋),repressor,0.7570422535211268,0,False,142.0,71.0,213.0,40.0,,,False,False,0.0,CLINICALLY ACTIONABLE;ENZYME,False
COPRS,待新模態 (無已知遞送方式),repressor,0.7732962447844228,0,False,385.0,76.0,182.0,461.0,,,,,,,False
COPS9,待新模態 (無已知遞送方式),mixed,0.550561797752809,0,False,79.0,10.0,45.0,89.0,,,,,,,False
COQ6,小分子 (胞內可成藥口袋),mixed,0.5140913508260447,0,True,780.0,20.0,229.0,800.0,,,False,False,,DRUGGABLE GENOME,True
COX15,抗體 (表面但胞外域有限),mixed,0.4318840579710145,0,False,232.0,15.0,98.0,247.0,,,True,False,0.0,,False
COX16,待新模態 (無已知遞送方式),repressor,0.7096774193548387,0,False,60.0,2.0,4.0,62.0,,,False,False,0.0,,False
COX17,待新模態 (無已知遞送方式),mixed,0.6170212765957447,0,False,97.0,1.0,90.0,98.0,,,False,False,,,False
COX18,抗體 (表面但胞外域有限),mixed,0.47738693467336685,0,False,395.0,3.0,5.0,398.0,,,True,False,0.0,,False
COX19,待新模態 (無已知遞送方式),mixed,0.6183879093198993,0,False,458.0,26.0,310.0,484.0,,,,,,,False
COX20,抗體 (表面但胞外域有限),mixed,0.35135135135135137,0,False,107.0,111.0,4.0,6.0,,,True,False,0.0,,False
COX6B1,待新模態 (無已知遞送方式),mixed,0.4580152671755725,0,False,100.0,31.0,131.0,20.0,,,,,,,False
COX6C,小分子 (胞內可成藥口袋),mixed,0.6496350364963503,0,False,1227.0,267.0,1494.0,568.0,,,False,False,0.0,CLINICALLY ACTIONABLE;ENZYME,False
COX7C,待新模態 (無已知遞送方式),mixed,0.591304347826087,0,False,112.0,3.0,35.0,115.0,,,False,False,0.0,,False
CPOX,待新模態 (無已知遞送方式),activator,0.29754601226993865,0,False,322.0,326.0,4.0,13.0,,,False,False,0.0,,False
CPSF6,待新模態 (無已知遞送方式),repressor,0.6523612261806131,0,False,768.0,2158.0,2487.0,1390.0,0.2992907577699072,,,,,,False
CREB1,小分子 (胞內可成藥口袋),mixed,0.43466666666666665,0,False,289.0,200.0,436.0,489.0,,,False,False,,CLINICALLY ACTIONABLE;KINASE;TRANSCRIPTION FACTOR,False
CREBBP,小分子 (胞內可成藥口袋),mixed,0.6283908754623921,0,False,1407.0,1562.0,2969.0,1957.0,0.1051924869763193,,False,False,,CLINICALLY ACTIONABLE;DRUG RESISTANCE;DRUGGABLE GENOME;ENZYME;TRANSCRIPTION FACTOR;TRANSCRIPTION FACTOR COMPLEX,False
CRLS1,抗體 (表面但胞外域有限),mixed,0.48092369477911645,0,False,724.0,111.0,50.0,835.0,,,True,False,0.0,,False
CROT,小分子 (胞內可成藥口袋),repressor,0.7785547785547785,0,False,137.0,146.0,283.0,46.0,,,False,False,,DRUGGABLE GENOME,False
CRTAP,小分子 (胞內可成藥口袋),repressor,0.8151260504201681,0,False,84.0,77.0,161.0,8.0,,,False,False,,DRUGGABLE GENOME,False
CRTC2,待新模態 (無已知遞送方式),repressor,0.6539509536784741,0,False,364.0,367.0,3.0,7.0,,,,,,,False
CRY1,待新模態 (無已知遞送方式),repressor,0.8274111675126904,0,False,191.0,197.0,6.0,6.0,,,,,,,False
CRYZL1,小分子 (胞內可成藥口袋),repressor,0.7715605749486653,0,False,1195.0,1212.0,736.0,17.0,,,False,False,,DRUGGABLE GENOME,False
CSDE1,待新模態 (無已知遞送方式),mixed,0.4964858026426764,0,False,1124.0,1814.0,1053.0,690.0,,,,,,,False
CSK,小分子 (胞內可成藥口袋),mixed,0.5503432494279176,0,False,499.0,548.0,326.0,49.0,,,False,False,,DRUGGABLE GENOME;ENZYME;KINASE;TYROSINE KINASE,False
CSNK2A1,小分子 (胞內可成藥口袋),mixed,0.4945054945054945,0,False,157.0,296.0,139.0,293.0,,,False,False,,DRUGGABLE GENOME;ENZYME;KINASE;SERINE THREONINE KINASE;TRANSCRIPTION FACTOR;TUMOR SUPPRESSOR,False
CSNK2A2,小分子 (胞內可成藥口袋),activator,0.32727272727272727,0,False,98.0,110.0,23.0,12.0,,,False,False,,DRUGGABLE GENOME;ENZYME;KINASE;SERINE THREONINE KINASE;TRANSCRIPTION FACTOR,False
CTDSP2,待新模態 (無已知遞送方式),mixed,0.43333333333333335,0,False,118.0,2.0,3.0,120.0,,,,,,,False
CTDSPL2,待新模態 (無已知遞送方式),mixed,0.4014778325123153,0,False,328.0,409.0,478.0,737.0,,,,,,,False
CTH,待新模態 (無已知遞送方式),mixed,0.6233766233766234,0,False,152.0,2.0,0.0,154.0,,,False,False,,,False
CTNNB1,小分子 (胞內可成藥口袋),mixed,0.6333333333333333,0,False,53.0,7.0,24.0,60.0,,,False,False,,CLINICALLY ACTIONABLE;DRUG RESISTANCE;DRUGGABLE GENOME;TRANSCRIPTION FACTOR;TRANSCRIPTION FACTOR COMPLEX,False
CTPS1,待新模態 (無已知遞送方式),mixed,0.6094771241830066,0,False,813.0,79.0,892.0,253.0,,,False,False,,,False
CTSF,待新模態 (無已知遞送方式),mixed,0.6161971830985915,0,False,284.0,284.0,0.0,0.0,,,,,,,False
CTSO,小分子 (胞內可成藥口袋),activator,0.24489795918367346,0,False,96.0,2.0,3.0,98.0,,,False,False,,DRUGGABLE GENOME;ENZYME;PROTEASE,False
CTU1,待新模態 (無已知遞送方式),repressor,0.6978776529338327,0,False,404.0,454.0,297.0,50.0,,,False,False,,,False
CUL3,小分子 (胞內可成藥口袋),repressor,0.7186858316221766,0,False,108.0,693.0,585.0,670.0,,,False,False,,CLINICALLY ACTIONABLE;ENZYME;SERINE THREONINE KINASE,False
CUL4A,待新模態 (無已知遞送方式),mixed,0.3786407766990291,0,False,96.0,7.0,13.0,103.0,,,,,,,False
CUL4B,待新模態 (無已知遞送方式),activator,0.3472429210134128,0,False,550.0,572.0,99.0,22.0,,,False,False,,,False
CYB561D2,抗體 (表面但胞外域有限),mixed,0.446985446985447,0,False,386.0,393.0,88.0,7.0,,,True,False,0.0,,False
CYB5R4,待新模態 (無已知遞送方式),mixed,0.6173590003377237,0,False,1417.0,258.0,1675.0,1028.0,,,,,,,False
CYB5RL,待新模態 (無已知遞送方式),mixed,0.5372750642673522,0,False,378.0,11.0,1.0,389.0,,,,,,,False
CYLD,小分子 (胞內可成藥口袋),repressor,0.9270833333333334,0,False,94.0,96.0,46.0,2.0,,,False,False,,CLINICALLY ACTIONABLE;ENZYME;KINASE;PROTEASE,False
CYP4V2,小分子 (胞內可成藥口袋),mixed,0.4725,0,False,210.0,265.0,80.0,55.0,,,False,False,0.0,CYTOCHROME P450;DRUGGABLE GENOME;ENZYME,False
CYTH3,待新模態 (無已知遞送方式),activator,0.1919191919191919,0,False,63.0,36.0,99.0,1.0,,,,,,,False
DAP,待新模態 (無已知遞送方式),mixed,0.4543610547667343,0,False,260.0,6.0,227.0,266.0,,,,,,,False
DAXX,待新模態 (無已知遞送方式),repressor,0.7626582278481012,0,False,186.0,65.0,251.0,5.0,,,,,,,False
DCAF11,待新模態 (無已知遞送方式),repressor,0.8978102189781022,0,False,117.0,20.0,137.0,8.0,,,False,False,,,False
DCAF4,待新模態 (無已知遞送方式),mixed,0.4126984126984127,0,False,125.0,1.0,1.0,126.0,,,,,,,False
DCAF5,待新模態 (無已知遞送方式),repressor,0.7230215827338129,0,False,107.0,52.0,67.0,159.0,,,,,,,False
DCAKD,待新模態 (無已知遞送方式),repressor,0.7662337662337663,0,False,952.0,546.0,1498.0,112.0,,,False,False,,,False
DCTPP1,待新模態 (無已知遞送方式),repressor,0.6949152542372882,0,False,175.0,177.0,2.0,6.0,,,,,,,False
DDIT4,待新模態 (無已知遞送方式),mixed,0.6194968553459119,0,False,314.0,4.0,1.0,318.0,,,,,,,False
DDX17,待新模態 (無已知遞送方式),mixed,0.45069637883008357,0,False,750.0,891.0,763.0,141.0,,,,,,,False
DDX31,待新模態 (無已知遞送方式),mixed,0.631578947368421,0,False,69.0,7.0,39.0,76.0,,,,,,,False
DDX6,待新模態 (無已知遞送方式),repressor,0.7231316725978648,0,False,486.0,669.0,986.0,1155.0,,,,,,,False
DDX60L,待新模態 (無已知遞送方式),mixed,0.6212121212121212,0,False,191.0,6.0,197.0,67.0,,,False,False,,,False
DEF6,待新模態 (無已知遞送方式),mixed,0.5833333333333334,0,False,59.0,1.0,60.0,23.0,,,,,,,False
DEF8,待新模態 (無已知遞送方式),mixed,0.47345132743362833,0,False,142.0,103.0,104.0,245.0,,,,,,,False
DEGS1,抗體 (表面但胞外域有限),repressor,0.7647058823529411,0,False,57.0,28.0,85.0,3.0,,,True,False,0.0,,False
DEK,待新模態 (無已知遞送方式),repressor,0.8011363636363636,0,False,48.0,94.0,46.0,82.0,,,,,,,False
DENND2D,待新模態 (無已知遞送方式),repressor,0.8264984227129337,0,False,309.0,317.0,8.0,8.0,,,False,False,,,False
DENR,小分子 (胞內可成藥口袋),repressor,0.6695168875587858,0,False,1740.0,1897.0,3637.0,1483.0,0.3874194075618192,3.0,,,,,False
DEPDC5,待新模態 (無已知遞送方式),mixed,0.5142857142857142,0,False,69.0,70.0,9.0,1.0,,,False,False,0.0,,False
DGKZ,待新模態 (無已知遞送方式),mixed,0.581081081081081,0,False,100.0,28.0,128.0,94.0,,,False,False,,,False
DHRS7,小分子 (胞內可成藥口袋),mixed,0.4943820224719101,0,False,137.0,41.0,178.0,29.0,,,False,False,,DRUGGABLE GENOME;ENZYME;SHORT CHAIN DEHYDROGENASE REDUCTASE,False
DHX30,待新模態 (無已知遞送方式),mixed,0.51985559566787,0,False,272.0,5.0,26.0,277.0,,,False,False,,,False
DHX36,待新模態 (無已知遞送方式),mixed,0.6156954156954157,0,False,518.0,2327.0,1809.0,2299.0,0.4553339341486281,,False,False,0.0,,False
DIPK1A,待新模態 (無已知遞送方式),repressor,0.9225352112676056,0,False,141.0,1.0,142.0,1.0,,,False,False,0.0,,False
DIS3L,待新模態 (無已知遞送方式),repressor,0.7111111111111111,0,False,250.0,20.0,270.0,27.0,,,,,,,False
DIS3L2,小分子 (胞內可成藥口袋),repressor,0.8900473933649289,0,False,456.0,474.0,581.0,18.0,,,False,False,,CLINICALLY ACTIONABLE,False
DLAT,待新模態 (無已知遞送方式),mixed,0.5277777777777778,0,True,1113.0,3.0,1.0,1116.0,,,False,False,,,True
DLG4,待新模態 (無已知遞送方式),mixed,0.5769828926905132,0,False,1257.0,1286.0,41.0,29.0,,,,,,,False
DMXL1,待新模態 (無已知遞送方式),mixed,0.45098039215686275,0,False,50.0,1.0,14.0,51.0,,,False,False,,,False
DNAAF5,待新模態 (無已知遞送方式),mixed,0.36551724137931035,0,False,143.0,2.0,10.0,145.0,,,False,False,,,False
DNAJC24,待新模態 (無已知遞送方式),mixed,0.4431512981199642,0,False,253.0,211.0,442.0,464.0,,,,,,,False
DNAJC3,待新模態 (無已知遞送方式),mixed,0.58984375,0,False,59.0,69.0,59.0,128.0,,,False,False,,,False
DNTTIP1,待新模態 (無已知遞送方式),mixed,0.5378133990957665,0,False,2488.0,237.0,2725.0,1904.0,0.5940742399639497,,,,,,False
DOCK2,待新模態 (無已知遞送方式),mixed,0.578268876611418,0,False,852.0,1180.0,328.0,664.0,,,False,False,,,False
DOHH,待新模態 (無已知遞送方式),mixed,0.502708192281652,0,False,1224.0,339.0,1563.0,1052.0,,,,,,,False
DOLPP1,抗體 (表面但胞外域有限),repressor,0.6529975020815987,0,False,2138.0,580.0,2718.0,1506.0,0.6768439051045957,,True,False,0.0,,False
DOP1B,待新模態 (無已知遞送方式),mixed,0.5265441024581698,0,False,2252.0,989.0,611.0,3241.0,,,False,False,,,False
DOT1L,小分子 (胞內可成藥口袋),repressor,0.7714285714285715,0,False,313.0,123.0,176.0,436.0,,,False,False,,CLINICALLY ACTIONABLE;DNA REPAIR;DRUGGABLE GENOME;ENZYME,False
DPH1,待新模態 (無已知遞送方式),mixed,0.5720053835800808,0,False,418.0,91.0,509.0,143.0,,,False,False,,,False
DPH2,待新模態 (無已知遞送方式),mixed,0.5822222222222222,0,False,117.0,54.0,19.0,171.0,,,False,False,,,False
DPH5,待新模態 (無已知遞送方式),mixed,0.40668868703550787,0,False,770.0,484.0,684.0,1254.0,,,,,,,False
DPH6,待新模態 (無已知遞送方式),mixed,0.44114285714285717,0,True,686.0,32.0,157.0,718.0,,,False,False,,,True
DPM2,抗體 (表面但胞外域有限),repressor,0.7758620689655172,0,False,57.0,1.0,58.0,2.0,,,True,False,0.0,,False
DR1,待新模態 (無已知遞送方式),mixed,0.5551632833186231,0,False,492.0,103.0,435.0,595.0,,,,,,,False
DTWD1,待新模態 (無已知遞送方式),mixed,0.5953757225433526,0,False,135.0,38.0,38.0,173.0,,,False,False,,,False
DUSP4,小分子 (胞內可成藥口袋),repressor,0.6964285714285714,0,False,54.0,2.0,56.0,1.0,,,False,False,,DRUGGABLE GENOME;KINASE;PROTEIN PHOSPHATASE,False
DYNLT2B,待新模態 (無已知遞送方式),mixed,0.6031746031746031,0,False,188.0,189.0,1.0,1.0,,,False,False,,,False
DZIP1,待新模態 (無已知遞送方式),repressor,0.8613138686131386,0,False,130.0,7.0,137.0,38.0,,,,,,,False
EARS2,小分子 (胞內可成藥口袋),mixed,0.6285714285714286,0,False,358.0,50.0,277.0,408.0,,,False,False,,DRUGGABLE GENOME;ENZYME,False
ECI2,待新模態 (無已知遞送方式),mixed,0.6282051282051282,0,False,76.0,2.0,78.0,1.0,,,False,False,,,False
ECSIT,待新模態 (無已知遞送方式),mixed,0.4697406340057637,0,True,683.0,11.0,26.0,694.0,,,,,,,True
EDC3,待新模態 (無已知遞送方式),repressor,0.7653508771929824,0,False,782.0,914.0,778.0,132.0,,,,,,,False
EDF1,待新模態 (無已知遞送方式),repressor,0.75,0,False,55.0,9.0,11.0,64.0,,,,,,,False
EFHC1,待新模態 (無已知遞送方式),mixed,0.6282722513089005,0,False,382.0,382.0,1.0,0.0,,,,,,,False
EGLN1,待新模態 (無已知遞送方式),repressor,0.8981481481481481,0,False,107.0,1.0,108.0,13.0,,,,,,,False
EGR2,待新模態 (無已知遞送方式),mixed,0.4770063119927863,0,True,855.0,0.0,855.0,254.0,,,,,,,True
EGR3,待新模態 (無已知遞送方式),repressor,0.7549019607843137,0,False,91.0,11.0,102.0,2.0,,,,,,,False
EHBP1,待新模態 (無已知遞送方式),mixed,0.5714285714285714,0,False,52.0,4.0,56.0,15.0,,,False,False,,,False
EHMT2,待新模態 (無已知遞送方式),mixed,0.522136137244051,0,False,422.0,1429.0,1178.0,1007.0,,,,,,,False
EID2,待新模態 (無已知遞送方式),repressor,0.7859649122807018,0,False,2.0,96.0,95.0,94.0,,,,,,,False
EIF1,待新模態 (無已知遞送方式),mixed,0.6189873417721519,0,False,389.0,343.0,732.0,505.0,,,,,,,False
EIF1AX,待新模態 (無已知遞送方式),repressor,0.793067770305225,0,False,1288.0,1289.0,2577.0,47.0,,,,,,,False
EIF2AK1,待新模態 (無已知遞送方式),mixed,0.4065040650406504,0,False,122.0,1.0,1.0,123.0,,,,,,,False
EIF3L,待新模態 (無已知遞送方式),mixed,0.6153846153846154,0,False,64.0,142.0,198.0,206.0,,,False,False,,,False
EIF4B,待新模態 (無已知遞送方式),mixed,0.5951417004048583,0,False,49.0,103.0,54.0,90.0,,,,,,,False
EIF4G2,待新模態 (無已知遞送方式),mixed,0.6397866331973643,0,False,516.0,2014.0,2530.0,1830.0,0.1226951830624844,,,,,,False
EIF4H,待新模態 (無已知遞送方式),repressor,0.8495297805642633,0,False,131.0,94.0,225.0,25.0,,,,,,,False
ELAVL1,待新模態 (無已知遞送方式),mixed,0.380479344055503,0,False,156.0,2164.0,2170.0,2008.0,,,,,,,False
ELF4,待新模態 (無已知遞送方式),mixed,0.49673202614379086,0,False,74.0,86.0,67.0,12.0,,,,,,,False
ELOB,待新模態 (無已知遞送方式),repressor,0.7150951619933169,0,False,1561.0,1491.0,3052.0,2340.0,0.6023557757549423,,False,False,,,False
ELOC,小分子 (胞內可成藥口袋),repressor,0.8960244648318043,0,False,199.0,64.0,263.0,6.0,,,False,False,,CLINICALLY ACTIONABLE;ENZYME;TRANSCRIPTION FACTOR,False
ELP3,待新模態 (無已知遞送方式),mixed,0.5275675675675676,0,False,478.0,666.0,996.0,188.0,,,,,,,False
ELP5,待新模態 (無已知遞送方式),mixed,0.6331914893617021,0,False,190.0,397.0,571.0,207.0,,,False,False,,,False
ELP6,待新模態 (無已知遞送方式),mixed,0.5658914728682171,0,False,35.0,73.0,56.0,38.0,,,False,False,0.0,,False
EMB,CAR-T / ADC / 抗體 (細胞表面+胞外域),mixed,0.6333333333333333,0,False,51.0,9.0,60.0,46.0,,,True,True,228.0,,False
EMC3,抗體 (表面但胞外域有限),repressor,0.6540284360189573,0,False,145.0,12.0,54.0,157.0,,,True,False,0.0,,False
EMC4,抗體 (表面但胞外域有限),repressor,0.6514459665144596,0,False,535.0,61.0,39.0,596.0,,,True,False,0.0,,False
EMC9,待新模態 (無已知遞送方式),mixed,0.4318181818181818,0,False,138.0,38.0,176.0,23.0,,,False,False,,,False
EML2,待新模態 (無已知遞送方式),repressor,0.7580872011251758,0,False,284.0,59.0,343.0,309.0,,,False,False,0.0,,False
ENDOG,待新模態 (無已知遞送方式),repressor,0.852017937219731,0,False,280.0,287.0,159.0,7.0,,,,,,,False
EOLA1,待新模態 (無已知遞送方式),repressor,0.9448818897637795,0,False,72.0,75.0,52.0,3.0,,,,,,,False
EP300,待新模態 (無已知遞送方式),mixed,0.5669099756690997,0,False,104.0,74.0,159.0,178.0,,,,,,,False
EPB41L3,待新模態 (無已知遞送方式),mixed,0.649375,0,False,2397.0,2399.0,801.0,2.0,0.5592822688724435,,False,False,0.0,,False
EPC1,待新模態 (無已知遞送方式),mixed,0.5339308578745199,0,False,197.0,247.0,444.0,90.0,,,,,,,False
ERCC1,待新模態 (無已知遞送方式),mixed,0.6476624857468644,0,False,191.0,225.0,236.0,416.0,,,,,,,False
ERCC6L,待新模態 (無已知遞送方式),repressor,0.6896551724137931,0,False,41.0,117.0,76.0,97.0,,,False,False,,,False
ERCC6L2,待新模態 (無已知遞送方式),mixed,0.6416666666666667,0,False,231.0,9.0,240.0,17.0,,,False,False,,,False
ERF,待新模態 (無已知遞送方式),repressor,0.9038461538461539,0,False,51.0,52.0,1.0,3.0,,,False,False,,,False
ERGIC1,抗體 (表面但胞外域有限),mixed,0.5362318840579711,0,False,58.0,11.0,69.0,6.0,,,True,False,0.0,,False
ERGIC3,抗體 (表面但胞外域有限),mixed,0.6308724832214765,0,False,89.0,67.0,156.0,75.0,,,True,False,0.0,,False
ERN1,小分子 (胞內可成藥口袋),activator,0.07913669064748201,0,False,52.0,124.0,117.0,176.0,,,False,False,0.0,DRUGGABLE GENOME;ENZYME;KINASE;SERINE THREONINE KINASE;TRANSCRIPTION FACTOR,False
ETNK1,待新模態 (無已知遞送方式),repressor,0.65,0,False,280.0,300.0,34.0,20.0,,,False,False,,,False
EXT1,小分子 (胞內可成藥口袋),mixed,0.5760869565217391,0,False,91.0,92.0,2.0,1.0,,,False,False,0.0,CLINICALLY ACTIONABLE;ENZYME,False
EXT2,小分子 (胞內可成藥口袋),mixed,0.4723618090452261,0,False,395.0,398.0,8.0,3.0,,,False,False,0.0,CLINICALLY ACTIONABLE;ENZYME,False
EXTL2,小分子 (胞內可成藥口袋),repressor,0.84,0,False,31.0,19.0,50.0,15.0,,,False,False,0.0,DRUGGABLE GENOME,False
FAM118A,待新模態 (無已知遞送方式),mixed,0.6481481481481481,0,False,36.0,18.0,54.0,4.0,,,False,False,0.0,,False
FAM118B,待新模態 (無已知遞送方式),mixed,0.49137931034482757,0,False,342.0,6.0,8.0,348.0,,,,,,,False
FAM161A,待新模態 (無已知遞送方式),repressor,0.6927592954990215,0,False,363.0,74.0,437.0,12.0,,,,,,,False
FAM161B,待新模態 (無已知遞送方式),mixed,0.6402569593147751,0,False,265.0,29.0,294.0,173.0,,,,,,,False
FAM20B,待新模態 (無已知遞送方式),mixed,0.3862433862433862,0,False,167.0,22.0,189.0,14.0,,,False,False,0.0,,False
FAM3C,小分子 (胞內可成藥口袋),mixed,0.5754716981132075,0,False,185.0,212.0,31.0,27.0,,,False,False,,DRUGGABLE GENOME,False
FAM98B,待新模態 (無已知遞送方式),mixed,0.5306881587104774,0,False,535.0,893.0,905.0,1428.0,,,False,False,,,False
FAM98C,待新模態 (無已知遞送方式),activator,0.20253164556962025,0,False,78.0,79.0,1.0,2.0,,,,,,,False
FANCC,小分子 (胞內可成藥口袋),repressor,0.7402597402597403,0,False,76.0,1.0,8.0,77.0,,,False,False,,CLINICALLY ACTIONABLE;DNA REPAIR,False
FANCD2,小分子 (胞內可成藥口袋),repressor,0.6649214659685864,0,False,88.0,107.0,84.0,19.0,,,False,False,,CLINICALLY ACTIONABLE,False
FANCE,待新模態 (無已知遞送方式),repressor,0.7058823529411765,0,False,14.0,51.0,37.0,40.0,,,,,,,False
FANCF,待新模態 (無已知遞送方式),mixed,0.5490196078431373,0,False,72.0,81.0,9.0,72.0,,,,,,,False
FARS2,小分子 (胞內可成藥口袋),mixed,0.46462264150943394,0,False,420.0,4.0,6.0,424.0,,,False,False,,DRUGGABLE GENOME;ENZYME,False
FBRS,待新模態 (無已知遞送方式),repressor,0.678030303030303,0,False,148.0,40.0,188.0,76.0,,,,,,,False
FBXL15,待新模態 (無已知遞送方式),repressor,0.8047276464542652,0,False,1598.0,1709.0,126.0,111.0,1.1826789436555596,,,,,,False
FBXL3,待新模態 (無已知遞送方式),repressor,0.6814285714285714,0,False,213.0,211.0,424.0,65.0,,,,,,,False
FBXO11,小分子 (胞內可成藥口袋),activator,0.14545454545454545,0,False,66.0,47.0,113.0,107.0,,,False,False,,CLINICALLY ACTIONABLE;ENZYME,False
FBXO28,待新模態 (無已知遞送方式),activator,0.34959349593495936,0,False,277.0,302.0,67.0,25.0,,,,,,,False
FBXO3,待新模態 (無已知遞送方式),mixed,0.42386831275720166,0,False,179.0,179.0,64.0,0.0,,,,,,,False
FBXO32,待新模態 (無已知遞送方式),mixed,0.5080321285140562,0,False,968.0,1355.0,748.0,387.0,,,,,,,False
FBXO38,待新模態 (無已知遞送方式),repressor,0.7540983606557377,0,False,120.0,122.0,17.0,2.0,,,,,,,False
FBXO42,待新模態 (無已知遞送方式),repressor,0.7274401473296501,0,False,306.0,69.0,99.0,375.0,,,,,,,False
FBXW2,待新模態 (無已知遞送方式),mixed,0.5403225806451613,0,False,108.0,16.0,124.0,1.0,,,False,False,,,False
FBXW7,小分子 (胞內可成藥口袋),repressor,0.6957547169811321,0,False,142.0,50.0,192.0,182.0,,,False,False,0.0,CLINICALLY ACTIONABLE;DNA REPAIR,False
FCHO1,待新模態 (無已知遞送方式),mixed,0.508130081300813,0,False,244.0,2.0,18.0,246.0,,,False,False,,,False
FEM1A,待新模態 (無已知遞送方式),mixed,0.42105263157894735,0,False,49.0,46.0,95.0,6.0,,,,,,,False
FIGNL1,待新模態 (無已知遞送方式),mixed,0.5683615819209039,0,False,512.0,539.0,27.0,346.0,,,,,,,False
FITM1,抗體 (表面但胞外域有限),activator,0.29634831460674155,0,False,705.0,712.0,7.0,21.0,,,True,False,0.0,,False
FITM2,抗體 (表面但胞外域有限),repressor,0.7692830445124023,0,True,2586.0,21.0,2607.0,336.0,1.0450714524369302,,True,False,0.0,,True
FLCN,待新模態 (無已知遞送方式),mixed,0.5612745098039216,0,False,400.0,8.0,7.0,408.0,,,,,,,False
FLI1,待新模態 (無已知遞送方式),mixed,0.5113122171945701,0,False,250.0,315.0,283.0,65.0,,,,,,,False
FLT1,CAR-T / ADC / 抗體 (細胞表面+胞外域),repressor,0.6790123456790124,0,False,322.0,324.0,5.0,2.0,,,True,True,732.0,CLINICALLY ACTIONABLE;DRUGGABLE GENOME;KINASE;TYROSINE KINASE,False
FN3K,待新模態 (無已知遞送方式),mixed,0.640625,0,False,117.0,11.0,11.0,128.0,,,,,,,False
FNBP4,待新模態 (無已知遞送方式),repressor,0.7460861056751468,0,False,263.0,621.0,884.0,539.0,,,,,,,False
FOSL2,待新模態 (無已知遞送方式),mixed,0.5220883534136547,1,False,163.0,35.0,51.0,198.0,,,False,False,,,True
FOXK1,待新模態 (無已知遞送方式),repressor,0.71415770609319,0,False,662.0,157.0,819.0,140.0,,,,,,,False
FOXN2,待新模態 (無已知遞送方式),repressor,0.9723320158102767,0,False,52.0,255.0,301.0,203.0,,,,,,,False
FOXO1,待新模態 (無已知遞送方式),mixed,0.627721335268505,0,False,747.0,1328.0,847.0,581.0,,,,,,,False
FPGS,小分子 (胞內可成藥口袋),repressor,0.6697247706422018,0,False,100.0,9.0,33.0,109.0,,,False,False,,DRUGGABLE GENOME;ENZYME,False
FRS3,待新模態 (無已知遞送方式),mixed,0.5637583892617449,0,False,444.0,3.0,24.0,447.0,,,,,,,False
FUBP1,待新模態 (無已知遞送方式),mixed,0.519839946648883,0,False,700.0,553.0,1193.0,1253.0,,,,,,,False
GAB2,待新模態 (無已知遞送方式),mixed,0.4642857142857143,0,False,53.0,3.0,23.0,56.0,,,,,,,False
