matrix,source_pair,shape,data_cell_grid,n_data_cells_compared,n_mismatch,max_abs_diff,na_pattern_match,checksum_match,n_na_cells
effect_matrix,R_vs_Python,11526x4 (incl. index col; 3 data cols),11526x3=34578,34578,0,3.552713678800501e-15,True,,595
effect_matrix,Python_vs_artifact,11526x4 (incl. index col; 3 data cols),11526x3=34578,34578,0,0.0,True,True,595
de_matrix,R_vs_Python,11526x4 (incl. index col; 3 data cols),11526x3=34578,34578,0,0.0,True,,595
de_matrix,Python_vs_artifact,11526x4 (incl. index col; 3 data cols),11526x3=34578,34578,0,0.0,True,True,595
