"search_term","nctId","status","phases","title","conditions","interventions","url"
"rocatinlimab","NCT05724199","COMPLETED","PHASE3","A Study Assessing Rocatinlimab in Combination With Topical Corticosteroid and/or Topical Calcineurin Inhibitors in Adult Participants With Moderate-to-severe Atopic Dermatitis (AD)","Atopic Dermatitis","Rocatinlimab; Placebo","https://clinicaltrials.gov/study/NCT05724199"
"rocatinlimab","NCT05882877","ACTIVE_NOT_RECRUITING","PHASE3","A Study to Assess Long-term Safety, Tolerability, and Efficacy of Rocatinlimab in Adult and Adolescent Participants With Moderate-to-severe Atopic Dermatitis (AD)","Atopic Dermatitis","Rocatinlimab; Placebo","https://clinicaltrials.gov/study/NCT05882877"
"rocatinlimab","NCT05891119","COMPLETED","EARLY_PHASE1","Study to Investigate the Effect of Rocatinlimab (AMG 451) on the Pharmacokinetics of Multiple Cytochrome P450 (CYP450) Substrates in Participants With Moderate to Severe Atopic Dermatitis","Atopic Dermatitis","Caffeine; Metoprolol; Midazolam; Warfarin; Vitamin K; Omeprazole; Rocatinlimab","https://clinicaltrials.gov/study/NCT05891119"
"rocatinlimab","NCT05899816","COMPLETED","PHASE3","A Study Assessing Rocatinlimab on Vaccine Antibody Response in Moderate-to-severe Atopic Dermatitis (AD) (ROCKET - VOYAGER)","Atopic Dermatitis; Moderate-to-severe Atopic Dermatitis","Rocatinlimab; Placebo","https://clinicaltrials.gov/study/NCT05899816"
"rocatinlimab","NCT06224192","COMPLETED","PHASE3","A Study With Self-administered Rocatinlimab in Adolescent and Adult Participants With Moderate-to-severe Atopic Dermatitis","Atopic Dermatitis","Rocatinlimab Prefilled Syringe; Rocatinlimab AI","https://clinicaltrials.gov/study/NCT06224192"
"rocatinlimab","NCT06268860","COMPLETED","PHASE1","A Study to Assess Bioavailability of Rocatinlimab (AMG 451) Vial and Prefilled Syringe in Healthy Participants","Atopic Dermatitis","Rocatinlimab vial injection; Rocatinlimab prefilled syringe","https://clinicaltrials.gov/study/NCT06268860"
"rocatinlimab","NCT06376045","COMPLETED","PHASE2","A Phase 2, Dose Ranging Study Assessing Rocatinlimab in Moderate-to-severe Asthma","Asthma","Rocatinlimab; Placebo","https://clinicaltrials.gov/study/NCT06376045"
"rocatinlimab","NCT06438263","COMPLETED","PHASE1","A Study to Evaluate Bioavailability of Rocatinlimab Autoinjector and Vial in Healthy Participants","Atopic Dermatitis","Rocatinlimab; Rocatinlimab","https://clinicaltrials.gov/study/NCT06438263"
"rosnilimab","NCT05205070","UNKNOWN","PHASE2","A Study to Evaluate the Efficacy and Safety of Rosnilimab (ANB030) in Treatment of Subjects With Moderate-to-Severe Alopecia Areata","Alopecia Areata","Rosnilimab; Placebo","https://clinicaltrials.gov/study/NCT05205070"
"rosnilimab","NCT06041269","ACTIVE_NOT_RECRUITING","PHASE2","A Study of Efficacy and Safety of Rosnilimab in Subjects with Moderate to Severe Rheumatoid Arthritis (RENOIR)","Rheumatoid Arthritis","Rosnilimab; Placebo","https://clinicaltrials.gov/study/NCT06041269"
"rosnilimab","NCT06127043","ACTIVE_NOT_RECRUITING","PHASE2","A Study of Efficacy and Safety of Rosnilimab in Subjects With Moderate to Severe Ulcerative Colitis (ROSETTA)","Ulcerative Colitis","Rosnilimab; Placebo","https://clinicaltrials.gov/study/NCT06127043"
"secukinumab","NCT00809614","COMPLETED","PHASE2","Efficacy of AIN457 in Adults (18-65 Years) With Psoriatic Arthritis","Psoriatic Arthritis","AIN457; Placebo","https://clinicaltrials.gov/study/NCT00809614"
"secukinumab","NCT00941031","COMPLETED","PHASE2","AIN457 Regimen Finding Study in Patients With Moderate to Severe Psoriasis","Chronic Plaque-type Psoriasis","AIN457; AIN457A; AIN457A; Placebo","https://clinicaltrials.gov/study/NCT00941031"
"secukinumab","NCT02294227","COMPLETED","PHASE3","16-week Efficacy and 2-year Safety, Tolerability and Efficacy of Secukinumab in Participants With Active Psoriatic Arthritis","Arthritis, Psoriatic","Secukinumab; Placebo","https://clinicaltrials.gov/study/NCT02294227"
"secukinumab","NCT02763046","COMPLETED","PHASE4","Study to Examine the Clinical Efficacy and the Nonsteroidal Anti-inflammatory Drug (NSAID)-Sparing Effect of Secukinumab Over 16 Weeks in Patients With Ankylosing Spondylitis","Ankylosing Spondylitis","Secukinumab (AIN457) 150 mg s.c.; Secukinumab (AIN457) 150 mg s.c.; Placebo - Secukinumab (AIN457) 150 mg s.c.","https://clinicaltrials.gov/study/NCT02763046"
"secukinumab","NCT03136861","COMPLETED","PHASE3","SKIPPAIN - Speed of Onset of SecuKinumab-Induced Relief From Pain in Patients With AxIal SpoNdyloarthritis","Spondyloarthritis","AIN457; AIN457 Placebo","https://clinicaltrials.gov/study/NCT03136861"
"secukinumab","NCT03589885","COMPLETED","PHASE3","Study of Efficacy and Safety of Secukinumab 2 mL Auto-injector (300 mg) in Subjects With Moderate to Severe Plaque Psoriasis","Plaque Psoriasis","Placebo 2 mL auto-injector; Placebo 1 mL prefilled syringe; Secukinumab 2 mL auto-injector; Secukinumab 1 mL prefilled syringe","https://clinicaltrials.gov/study/NCT03589885"
"secukinumab","NCT04488185","WITHDRAWN","PHASE4","An Efficacy Study of Secukinumab in Plaque Psoriasis Patients With Subclinical Psoriatic Arthritis as Measured by Musculoskeletal Ultrasound","Psoriasis","Secukinumab 300 mg; Placebo","https://clinicaltrials.gov/study/NCT04488185"
"secukinumab","NCT04632927","COMPLETED","PHASE3","Efficacy of Secukinumab Compared to Ustekinumab in Adults With Active Psoriatic Arthritis and Failure of TNFÎ±-Inhibitor Treatment","Psoriatic Arthritis","Secukinumab; Ustekinumab","https://clinicaltrials.gov/study/NCT04632927"
"secukinumab","NCT06786936","RECRUITING","","Evaluating the Role of IL-17 as an Orchestrator of Peripheral-central Cross Talk in Depressive Symptoms","Psoriatic Arthritis; Depression; Psoriatic Plaque","Secukinumab; Bimekizumab; Ixekizumab; Placebo","https://clinicaltrials.gov/study/NCT06786936"
"secukinumab","NCT07151508","COMPLETED","","Successful Treatment of Netherton Syndrome With Combination of Secukinumab and Dupilumab","Neterton Syndrome","Secukinumab was administered in a weight-adapted dosing regimen ? Dupilumab was administered at a dose dependent on the patient's weight and age","https://clinicaltrials.gov/study/NCT07151508"
"tegoprubart","NCT05027906","RECRUITING","PHASE1;PHASE2","Safety, Pharmacokinetics, and Efficacy of AT 1501 in Patients Undergoing Kidney Transplant","Prevention of Rejection in Kidney Transplant","AT-1501","https://clinicaltrials.gov/study/NCT05027906"
"tegoprubart","NCT05983770","COMPLETED","PHASE2","Safety and Efficacy of Tegoprubart in Patients Undergoing Kidney Transplantation","Kidney Transplant Rejection","AT-1501; Tacrolimus","https://clinicaltrials.gov/study/NCT05983770"
"tegoprubart","NCT06126380","ENROLLING_BY_INVITATION","PHASE2","Long-Term Safety and Efficacy of Tegoprubart in Kidney Transplant Recipients","Kidney Transplant Rejection","AT-1501; Tacrolimus","https://clinicaltrials.gov/study/NCT06126380"
"tegoprubart","NCT06305286","RECRUITING","PHASE1;PHASE2","Safety, Tolerability, and Efficacy of Immunomodulation With A Monoclonal Antibody Against CD40L in Combination With Transplanted Islet Cells in Adults With Brittle Type 1 Diabetes Mellitus (T1D)","Type 1 Diabetes Mellitus","Islet transplantation with Tegoprubart (AT-1501) immunosupression-based therapy","https://clinicaltrials.gov/study/NCT06305286"
"tegoprubart","NCT06972069","RECRUITING","EARLY_PHASE1","Tolerance Through Mixed Chimerism (Sip-Tego)","Kidney Failure; Transplant Recipient (Kidney); Transplant Tolerance; Immunosuppresion; Immunosuppression After Kidney Transplantation","Combined Kidney/Bone Marrow Transplant; Donation of Kidney / Bone Marrow; Conditioning Regimen (Rituxan, Siplizumab (or ATGAM), Cyclophosphamide, Tegoprubart)","https://clinicaltrials.gov/study/NCT06972069"
"tegoprubart","NCT07592000","RECRUITING","PHASE1;PHASE2","Breakthrough - T1DM and Chronic Kidney Disease","Diabete Type 1; Chronic Kidney Disease","Tegoprubart; Islet Cell Transplant","https://clinicaltrials.gov/study/NCT07592000"
"teplizumab","NCT00129259","COMPLETED","PHASE2","Autoimmunity-blocking Antibody for Tolerance in Recently Diagnosed Type 1 Diabetes","Diabetes Mellitus, Type 1","Anti-CD3 mAb; Diabetes Standard of Care Treatment; Iron supplementation","https://clinicaltrials.gov/study/NCT00129259"
"teplizumab","NCT00239720","TERMINATED","PHASE2","PsA Treatment With hOKT3Î³1 (Ala-Ala)","Arthritis, Psoriatic","hOKT3gamma1(Ala-Ala); Placebo","https://clinicaltrials.gov/study/NCT00239720"
"teplizumab","NCT00806572","TERMINATED","PHASE2","Treatment With hOKT3gamma1(Ala-Ala) in T1DM","Diabetes Mellitus, Type 1","hOKT3gamma1(Ala-Ala)","https://clinicaltrials.gov/study/NCT00806572"
