"search_term","nctId","status","phases","title","conditions","interventions","url"
"ustekinumab","NCT07529236","RECRUITING","NA","Digestive Evolution of Children With Crohn's Disease or Ulcerative Colitis Whose Anti-TNFÎ± Treatment Was Switched to Ustekinumab Due to Paradoxical Psoriasis,","Chronic Inflammatory Bowel Diseases","switch of anti TNF for ustekinumab for paradoxical psoriasis.","https://clinicaltrials.gov/study/NCT07529236"
"vedolizumab","NCT02039505","COMPLETED","PHASE3","Phase III Study of MLN0002 (300 mg) in the Treatment of Ulcerative Colitis","Ulcerative Colitis","Vedolizumab; Vedolizumab placebo","https://clinicaltrials.gov/study/NCT02039505"
"vedolizumab","NCT02423512","COMPLETED","","The Impact of Anti-TNF Exposure on Vedolizumab Effectiveness","Inflammatory Bowel Disease; Crohn's Disease; Ulcerative Colitis","","https://clinicaltrials.gov/study/NCT02423512"
"vedolizumab","NCT02610569","COMPLETED","NA","Comparison of PillCamCOLON (C2) Capsule and Standard Endoscopy for the Evaluation of Patients With Ulcerative Colitis","Ulcerative Colitis","standard endoscopy; PillCamCOLON (C2)","https://clinicaltrials.gov/study/NCT02610569"
"vedolizumab","NCT02993783","TERMINATED","PHASE2","A Dose-Finding Study of Vedolizumab for Treatment of Steroid-Refractory Acute Intestinal Graft-Versus-Host Disease (GvHD) in Participants Who Have Undergone Allogeneic Hematopoietic Stem Cell Transplantation (Allo-HSCT)","Allogeneic Hematopoietic Stem Cell Transplantation","Vedolizumab","https://clinicaltrials.gov/study/NCT02993783"
"vedolizumab","NCT03375424","UNKNOWN","","Vedolizumab Study With Inflammatory Bowel Disease Patients in Germany","Inflammatory Bowel Diseases; Treatment","vedolizumab","https://clinicaltrials.gov/study/NCT03375424"
"vedolizumab","NCT04344249","COMPLETED","","Cohort of Patients With Inflammatory Bowel Disease During COVID-19 Pandemic","IBD; COVID","","https://clinicaltrials.gov/study/NCT04344249"
"vedolizumab","NCT04567628","COMPLETED","","Study of Relationship Between Vedolizumab Therapeutic Drug Monitoring, Biomarkers of Inflammation and Clinical Outcomes","Inflammatory Bowel Diseases; Colitis, Ulcerative; Crohn Disease","No Intervention","https://clinicaltrials.gov/study/NCT04567628"
"vedolizumab","NCT04779307","COMPLETED","PHASE3","A Study of Vedolizumab in Children and Teenagers With Moderate to Severe Ulcerative Colitis (UC)","Colitis, Ulcerative","Vedolizumab","https://clinicaltrials.gov/study/NCT04779307"
"vedolizumab","NCT04959851","COMPLETED","","A Study on How Vedolizumab is Given and the Outcomes for Adults With Inflammatory Bowel Disease (VARIETY-Belgium)","Inflammatory Bowel Diseases; Colitis, Ulcerative; Crohns Disease","","https://clinicaltrials.gov/study/NCT04959851"
"vedolizumab","NCT06400719","COMPLETED","PHASE1","Pilot Study of AVT16 in Healthy Adult Subjects","Healthy","AVT16","https://clinicaltrials.gov/study/NCT06400719"
