target_contrast_gene_name,max_de,mean_de,conditions_with_gt10,max_cells,any_offtarget,ontarget_sig_conditions,target_class
CATSPERG,223,80.33333333333333,2,532.0,False,1,ion_channel
MTOR,187,110.0,2,47.0,False,1,kinase
SLC25A28,142,56.0,2,342.0,False,3,transporter
ATP5F1B,124,49.0,2,173.0,False,3,transporter
TRIB2,108,70.66666666666667,2,406.0,False,3,kinase
IL21R,107,62.0,2,462.0,False,3,cytokine_receptor
ULK4,98,46.666666666666664,2,721.0,False,3,kinase
CCL5,98,40.333333333333336,2,251.0,False,3,cytokine
GPR146,88,47.333333333333336,2,620.0,False,2,gpcr
BMP8A,88,36.666666666666664,2,654.0,False,0,cytokine
SLC25A3,76,35.666666666666664,2,783.0,False,3,transporter
ATP5PD,59,28.333333333333332,2,139.0,True,3,transporter
NIPAL4,51,35.666666666666664,2,728.0,False,1,transporter
ATP11B,51,31.5,2,29.0,False,2,transporter
GPR27,45,22.0,2,575.0,False,0,gpcr
ANKK1,45,21.0,2,684.0,False,0,kinase
ITGAL,43,19.666666666666668,2,639.0,False,3,kinase
STK25,39,26.666666666666668,2,827.0,False,3,kinase
MAPK1,38,20.666666666666668,2,619.0,False,3,kinase
SLK,36,19.666666666666668,2,207.0,False,3,kinase
ABCA5,35,24.0,2,860.0,False,3,transporter
JAK2,34,22.333333333333332,2,956.0,False,3,kinase
SLC33A1,32,15.333333333333334,2,233.0,False,3,transporter
TNFRSF9,25,19.333333333333332,2,585.0,False,2,cytokine_receptor
ESRRA,25,15.666666666666666,2,857.0,False,3,nuclear_receptor
LTB,23,14.333333333333334,2,289.0,True,3,cytokine
RARA,21,14.666666666666666,2,440.0,False,3,nuclear_receptor
HIPK3,18,13.333333333333334,2,830.0,False,3,kinase
ADGRL1,17,12.666666666666666,2,544.0,False,0,gpcr
TAP1,16,12.666666666666666,2,799.0,True,3,transporter
PPARA,16,11.333333333333334,2,1495.0,False,3,nuclear_receptor
IL12RB1,16,11.0,2,386.0,False,3,cytokine_receptor
SLC37A3,14,10.666666666666666,2,225.0,False,3,transporter
LEPR,13,11.333333333333334,2,849.0,False,3,cytokine_receptor
TLK1,11,9.0,2,145.0,False,3,kinase
MTCH2,693,233.66666666666666,1,370.0,False,3,transporter
SLC35C2,673,225.33333333333334,1,454.0,True,3,transporter
CCR10,505,169.33333333333334,1,748.0,False,0,gpcr;cytokine_receptor
CDK12,423,423.0,1,27.0,False,0,kinase
NR2E1,403,137.66666666666666,1,1084.0,False,0,nuclear_receptor
ITPR1,392,131.33333333333334,1,279.0,False,3,ion_channel
SLC16A1,387,131.0,1,314.0,False,3,transporter
HNF4A,360,121.33333333333333,1,730.0,False,0,nuclear_receptor
AVPR2,327,109.66666666666667,1,765.0,False,0,gpcr
IKBKB,293,99.66666666666667,1,785.0,False,3,kinase
TNFRSF10B,267,92.0,1,656.0,False,3,cytokine_receptor
SLC7A6,262,91.33333333333333,1,246.0,False,3,transporter
IL23R,256,87.0,1,661.0,False,1,cytokine_receptor
IGF2,236,79.0,1,665.0,False,0,cytokine
ABCB7,231,231.0,1,26.0,False,0,transporter
GDF11,206,206.0,1,125.0,False,0,cytokine
CHEK2,196,101.5,1,95.0,False,2,kinase
SLC27A3,188,63.0,1,800.0,False,2,transporter
ABCA3,185,64.66666666666667,1,201.0,False,1,transporter
SLC5A3,170,60.333333333333336,1,331.0,False,3,transporter
IL9,169,56.333333333333336,1,414.0,False,0,cytokine
TAOK2,165,56.0,1,195.0,False,3,kinase
FLVCR2,150,53.333333333333336,1,461.0,False,0,transporter
RXRG,120,62.5,1,107.0,False,0,nuclear_receptor
