target_contrast_gene_name,culture_condition,n_cells_target,n_up_genes,n_down_genes,n_total_de_genes,ontarget_effect_size,ontarget_significant,target_baseMean,offtarget_flag,crossdonor_correlation_mean,crossguide_correlation
MED12,Rest,229.0,1659,1184,2843,-8.979948184824966,True,43.833905504895625,False,0.723523675656954,0.7786355479438286
MED15,Rest,1294.0,1099,1708,2807,-25.02247865139637,True,128.59304724940682,False,0.647521738684884,0.8421596538368974
SENP5,Stim48hr,2184.0,1839,959,2798,-32.91260145603273,True,58.16790852139976,False,0.6491376775965109,-0.0209167663489065
AHR,Rest,1214.0,1572,1218,2790,-14.455686669745589,True,67.27409868914711,False,0.674344039341895,0.873622614602888
SMARCA5,Rest,223.0,1331,1455,2786,-15.575834259022333,True,118.87740265658272,False,0.6263183063468368,
RPRD2,Stim48hr,612.0,1649,1106,2755,-16.037433639147977,True,53.24346931283021,False,0.5491856419491061,0.7550709194043199
ATF7IP2,Stim8hr,2412.0,2102,629,2731,-15.165205141858202,True,12.841361418699147,False,0.3127628620089985,-0.1684527141872568
CCNC,Rest,3530.0,1630,1101,2731,-31.16137177899652,True,71.94863487264222,False,0.4181245999832098,0.3235936238070167
DNTTIP1,Stim8hr,1450.0,1435,1290,2725,-23.71096140773837,True,44.50774162894039,False,0.6468283964592814,0.759086417129463
DOLPP1,Stim8hr,2042.0,1829,889,2718,-17.8874823057354,True,18.947700090794378,False,0.6281508283420049,0.8589264145866988
SMG1,Stim8hr,454.0,2042,642,2684,-3.471467132562452,True,71.35641431818178,False,0.2653850184461674,
LEO1,Stim8hr,226.0,1408,1256,2664,-13.311349892022893,True,100.00124347830524,False,0.6252815380618597,0.6824137697364737
ARNT,Stim8hr,844.0,1509,1134,2643,-14.1844449860405,True,29.64951544780498,False,0.7339685531481474,0.8636618495465386
YTHDF2,Stim48hr,434.0,1682,936,2618,-21.815594176327807,True,134.52927828851796,False,0.5798157101137172,0.7860540772723364
FITM2,Stim8hr,457.0,2003,604,2607,-4.166284234536167,True,4.459412035444436,False,0.5922428228430764,-0.2143409197272871
EIF1AX,Stim8hr,535.0,1962,615,2577,-3.5969192268731933,True,6.29508516650681,False,0.0861731501254319,
ITK,Stim48hr,361.0,1307,1259,2566,-2.4336315713977874,True,239.752390154943,False,0.607055441442549,0.7053227267087128
CARMIL2,Stim8hr,512.0,1650,895,2545,-17.935612295155313,True,137.19419246164733,False,0.564187370466586,
EIF4G2,Stim8hr,298.0,1639,891,2530,-10.718678286206217,True,50.65346606560245,False,0.4976514968146144,0.542288795561421
NFRKB,Stim48hr,1321.0,1229,1291,2520,-15.23017454080511,True,21.78031621925816,False,0.7221617549881034,0.7755376072577786
SLC3A2,Stim8hr,1296.0,1799,693,2492,-13.36924455990757,True,352.1960481494458,False,0.6183246026635073,0.1545276822220782
CPSF6,Stim8hr,217.0,1593,894,2487,-9.642752985111011,True,70.16757513731856,False,0.6114086564946415,
ZAP70,Stim48hr,52.0,1763,723,2486,-3.329774443322945,True,196.99169178761272,False,0.5264068168035176,
POGLUT3,Stim8hr,238.0,1339,1138,2477,-4.611995880995179,True,14.913800589101385,False,,
WAC,Stim8hr,412.0,975,1501,2476,-7.912762706010021,True,19.352730017348136,False,0.6827108877017606,0.8085899598911285
ACLY,Stim48hr,282.0,1436,996,2432,-17.329000580256267,True,130.27306104933706,False,0.5895239131438289,0.7156443039767082
LCK,Stim8hr,116.0,1745,669,2414,-8.989514710597316,True,129.01373253695797,False,0.6090761699866419,
SKIC8,Stim48hr,64.0,1104,1296,2400,-4.458591383862938,True,51.34566769259044,False,,
USP22,Stim8hr,1371.0,1667,714,2381,-25.18999757044618,True,60.33919057713685,False,0.6331400198250203,0.7117315512056206
SMARCE1,Rest,149.0,1474,906,2380,-9.429734593804016,True,76.08825595857887,False,0.711098727950493,
CALCOCO2,Stim8hr,488.0,1793,559,2352,-13.131464260901431,True,50.36655367904381,False,0.6103302898705644,0.0817567753333477
TMX1,Stim8hr,544.0,1553,794,2347,-23.881790020529383,True,135.9590742700375,False,0.6525195134794975,0.7721554489242916
ELOB,Stim48hr,762.0,1513,827,2340,-15.399258391731934,True,123.01160877720017,False,0.3506489459880372,0.4000534001670109
DHX36,Rest,208.0,1316,1011,2327,-9.57246537151692,True,72.91701124798975,False,0.6187924098967912,0.7506213676614301
ARNT,Rest,1001.0,1186,1134,2320,-17.67732833735752,True,34.19539193610704,False,0.7906346406857209,0.8420601284143232
KDM1A,Stim8hr,541.0,1576,725,2301,-21.050216811445004,True,106.64384856336176,False,0.7311487532523359,0.8441142924343499
DHX36,Stim48hr,142.0,1574,725,2299,-9.363145639568671,True,91.28911001982016,False,0.5957430843162715,0.565086265909605
MPI,Stim8hr,211.0,1374,921,2295,-8.64872831254815,True,50.98662120519693,False,0.6657864269191665,0.7243849627388663
SETDB1,Rest,4563.0,1475,816,2291,-27.330085435392103,True,26.99173660033583,False,0.7865887849061134,0.909149851719182
