target_contrast_gene_name,culture_condition,n_cells_target,n_total_de_genes,ontarget_effect_size,offtarget_flag,crossdonor_correlation_mean,crossguide_correlation,has_crossdonor,has_crossguide,low_crossdonor,low_crossguide,low_cells
CCNC,Rest,3530.0,2731,-31.16137177899652,False,0.4181245999832098,0.3235936238070167,True,True,False,False,False
CCNC,Stim48hr,3051.0,4091,-43.159386311488575,False,0.4126232658457596,0.4169825401144647,True,True,False,False,False
CCNC,Stim8hr,3668.0,2271,-41.36951285831497,False,0.3101490193323785,0.2606274805231479,True,True,False,False,False
CCND2,Rest,690.0,1287,-22.060438492731155,False,0.6724306262244473,0.8136453271819676,True,True,False,False,False
CCND2,Stim8hr,707.0,1321,-26.17590141254648,False,0.5453522625748931,0.7068547756340976,True,True,False,False,False
CCND3,Stim48hr,1404.0,200,-18.42962581714094,False,-0.1316263074531647,,True,False,True,False,False
CCNF,Rest,574.0,615,-13.120773524094185,False,0.6868543977042952,0.779806857985189,True,True,False,False,False
CCNF,Stim48hr,505.0,197,-16.599356694948007,False,0.5546483861105247,0.9262641598071976,True,True,False,False,False
CCNF,Stim8hr,497.0,125,-11.953050924377877,False,0.6532852741132609,0.97419179543295,True,True,False,False,False
CCNK,Rest,231.0,148,-8.350795565435424,False,0.4670913816797408,,True,False,False,False,False
CCNK,Stim48hr,188.0,368,-8.161654844599155,False,0.2381600606278484,,True,False,False,False,True
CCNK,Stim8hr,258.0,662,-12.016829254914038,True,0.4248327266220792,,True,False,False,False,False
CCNQ,Rest,168.0,466,-6.624950761971538,False,0.3555920302046315,,True,False,False,False,True
CCNQ,Stim48hr,213.0,412,-5.609985370723356,False,0.514353826178301,,True,False,False,False,False
CCNQ,Stim8hr,249.0,777,-9.525613340784812,False,0.4563093053640787,,True,False,False,False,False
CCNT1,Stim48hr,136.0,222,-9.05721014377082,False,0.3038330988378783,0.7470666104658128,True,True,False,False,True
CCR10,Rest,504.0,505,0.0,False,0.1402081195622162,0.8229902042615409,True,True,True,False,False
CCR4,Rest,305.0,508,-10.184477483402066,False,0.2492200407360408,0.5454596458403934,True,True,False,False,False
CCR4,Stim8hr,437.0,61,-11.087061379957031,False,-0.1202180924259496,0.1550561963777094,True,True,True,True,False
CCR6,Rest,515.0,87,-1.56764981999476,True,0.1230616489467158,,True,False,True,False,False
CCR6,Stim48hr,464.0,153,-0.5583746402130825,True,0.1050509085201623,-0.0447535915754644,True,True,True,True,False
CCS,Rest,177.0,289,-4.587666420849623,False,0.3616617580711663,,True,False,False,False,True
CCS,Stim48hr,140.0,85,-3.988017329219729,False,0.2389767583669971,,True,False,False,False,True
CCS,Stim8hr,193.0,885,-4.146947658007219,False,0.5161610324695413,0.4490899614435264,True,True,False,False,True
CD2,Stim48hr,478.0,989,-40.504026954392685,False,0.6231279253799458,0.6071166171408899,True,True,False,False,False
CD2,Stim8hr,378.0,669,-50.578725404681904,False,0.6733894037113334,0.8936696495583537,True,True,False,False,False
CD244,Rest,2819.0,62,0.0,False,-0.0028254227610571,0.4458920686685104,True,True,True,False,False
CD244,Stim8hr,2620.0,52,0.0,False,0.0829962616952672,-0.031260271464582,True,True,True,True,False
CD247,Stim48hr,266.0,828,-8.466475121091358,False,0.5406447435057834,0.588417101242967,True,True,False,False,False
CD247,Stim8hr,412.0,4330,-11.933472010237974,False,0.7169121804958944,0.7065782713786124,True,True,False,False,False
CD274,Stim48hr,1514.0,102,-7.600914391240054,False,-0.0652945926023709,0.1093536592150895,True,True,True,True,False
CD274,Stim8hr,1490.0,167,-13.196582436494383,False,-0.0604426850734414,0.4478892341889023,True,True,True,False,False
CD28,Stim48hr,514.0,1798,-18.47592015820881,False,0.6339792467565301,0.7595886530371406,True,True,False,False,False
CD28,Stim8hr,675.0,1506,-22.40595141825408,False,0.670151507520421,0.8566755038988356,True,True,False,False,False
CD2BP2,Rest,167.0,81,-8.03015405078509,False,0.3841364466276064,0.4967230422558903,True,True,False,False,True
CD2BP2,Stim48hr,166.0,72,-7.503505642684695,False,0.4223855668969008,0.5855538112596147,True,True,False,False,True
CD3D,Stim48hr,85.0,1432,-2.4576415770233297,True,0.7247564260978901,,True,False,False,False,True
CD3D,Stim8hr,185.0,4984,-14.856732152029188,True,0.7717318145748416,,True,False,False,False,True
CD3E,Stim48hr,91.0,1586,-6.924726721158388,False,0.690809559341854,,True,False,False,False,True
CD3E,Stim8hr,234.0,5711,-17.891807119280895,False,0.7880160711069452,,True,False,False,False,False
CD3G,Stim48hr,126.0,1374,-8.88429025068251,False,0.5344581360171473,,True,False,False,False,True
CD3G,Stim8hr,230.0,4966,-12.164764217189468,True,0.7486901133575331,0.8354910524488847,True,True,False,False,False
CD5,Stim48hr,1112.0,1201,-27.804247897441144,False,0.6074105663802617,0.7761339638035037,True,True,False,False,False
CD5,Stim8hr,1092.0,358,-20.05923062320436,False,0.7760901943973386,0.4992659426658999,True,True,False,False,False
CD99L2,Stim48hr,470.0,113,-7.205992355611798,False,0.6925945720303147,,True,False,False,False,False
CD99L2,Stim8hr,404.0,50,-7.510804389007405,False,0.4145112189752142,,True,False,False,False,False
CDADC1,Rest,487.0,173,-6.940583275865983,False,0.315165783608822,-0.0569483950950664,True,True,False,True,False
CDC123,Stim8hr,349.0,56,-21.36799293587221,True,0.5684554750951736,,True,False,False,False,False
CDC25B,Rest,428.0,1256,-18.45535731798765,False,0.4281310915168507,0.2747202251682822,True,True,False,False,False
CDC25B,Stim8hr,381.0,1208,-9.793112612801773,False,0.3681068416914532,0.3000678500424981,True,True,False,False,False
CDCA2,Stim8hr,510.0,136,-7.840907679720979,True,-0.176225842961607,-0.1741997744284172,True,True,True,True,False
CDCA3,Rest,361.0,127,-9.669195103152637,False,0.2648485689381217,-0.0876699638678741,True,True,False,True,False
CDCA3,Stim48hr,251.0,70,-10.58410108059996,False,0.3335544036052184,0.2113097743144951,True,True,False,False,False
CDCA3,Stim8hr,313.0,74,-7.270898533934929,False,0.5113247063861224,0.3564687518478598,True,True,False,False,False
CDIPT,Stim8hr,336.0,376,-10.862685771002896,False,0.4612039480032701,0.200408011102341,True,True,False,False,False
CDK12,Stim48hr,27.0,423,0.0,False,,,False,False,False,False,True
CDK13,Rest,683.0,558,-13.990399292073818,False,0.6008962720246177,0.7346683409491171,True,True,False,False,False
CDK13,Stim48hr,752.0,890,-14.615639098431886,False,0.6611064756838126,0.7688825526278151,True,True,False,False,False
CDK13,Stim8hr,714.0,672,-16.715302548926637,False,0.7193679066070886,0.7117501835634353,True,True,False,False,False
CDK2,Stim48hr,598.0,347,-21.88494718232642,False,0.5811813579043191,0.7839269753441876,True,True,False,False,False
CDK2,Stim8hr,612.0,58,-12.1990678824926,False,0.6933823398927679,0.9094197429810256,True,True,False,False,False
CDK2AP2,Stim8hr,378.0,57,-11.12954431409296,True,0.6626174132438202,0.4256200488549297,True,True,False,False,False
CDK5RAP3,Rest,793.0,132,-18.474361452722057,False,0.5941389823023578,,True,False,False,False,False
CDK5RAP3,Stim48hr,611.0,52,-19.038921271047016,False,0.519658298680742,0.366659313364827,True,True,False,False,False
CDK5RAP3,Stim8hr,660.0,240,-17.765300844275366,False,0.5467600271778191,0.573584406671406,True,True,False,False,False
CDKN2AIP,Rest,505.0,113,-8.652133904749588,False,0.6363401334688242,0.71380578624552,True,True,False,False,False
CDKN2AIP,Stim48hr,483.0,120,-8.859799724331738,False,0.7508431541837037,0.8721491945796643,True,True,False,False,False
CDKN2AIP,Stim8hr,478.0,102,-8.403342735026484,False,0.552845375971873,0.7784814756744668,True,True,False,False,False
CDS2,Stim48hr,43.0,60,-2.309570571556615,False,,,False,False,False,False,True
CDS2,Stim8hr,118.0,921,-6.939856353546112,True,0.5878805434070733,,True,False,False,False,True
CDYL,Stim48hr,146.0,65,-5.314761175562501,False,0.7055476173313302,,True,False,False,False,True
CENPE,Stim48hr,53.0,71,-5.538392817693761,False,0.1334826302793279,,True,False,True,False,True
CENPE,Stim8hr,58.0,72,-3.544505358449988,False,0.1122260942315653,,True,False,True,False,True
CENPJ,Rest,45.0,55,-1.946486390436574,False,,,False,False,False,False,True
CEP104,Rest,398.0,58,-10.032066337716133,False,0.659101280190324,,True,False,False,False,False
CEP135,Stim48hr,306.0,125,-7.001658404976221,False,0.3419804278614184,,True,False,False,False,False
CEP350,Stim8hr,149.0,74,-8.361743895045537,False,0.1003571155297555,,True,False,True,False,True
CEP43,Rest,183.0,995,-6.7237464594236425,False,,,False,False,False,False,True
CEP43,Stim48hr,248.0,483,-8.670320913306218,False,,,False,False,False,False,False
CEP43,Stim8hr,250.0,229,-9.254500001303748,False,,,False,False,False,False,False
CEP44,Rest,346.0,72,-8.90162476017045,False,0.7141995264179518,,True,False,False,False,False
CEP57,Rest,90.0,386,-1.9858730797075583,False,0.2071724457908735,,True,False,False,False,True
CEP89,Stim48hr,270.0,176,-5.075481424030037,False,0.4460021004327786,0.8562081432372485,True,True,False,False,False
CEPT1,Stim48hr,138.0,188,-7.81068257305409,True,0.4815573415705225,,True,False,False,False,True
CERT1,Stim8hr,219.0,83,-12.29323681342424,True,,,False,False,False,False,False
CFAP20,Rest,301.0,455,-8.638691002575477,False,0.5345549755733008,0.599954205994473,True,True,False,False,False
CFAP20,Stim48hr,177.0,1293,-7.863919562635687,False,0.6350409980617463,,True,False,False,False,True
CFAP20,Stim8hr,255.0,863,-11.183314261037998,False,0.6153470816613077,0.6308658025112518,True,True,False,False,False
CFAP298,Rest,277.0,487,-4.466479985704573,False,0.0210577720298074,,True,False,True,False,False
CFAP298,Stim8hr,455.0,1425,-3.8475659670869335,False,0.1180193032674424,,True,False,True,False,False
CFAP97,Rest,382.0,601,-11.47302472926066,False,0.3093102491139762,,True,False,False,False,False
CFD,Rest,520.0,128,-0.9481441624558492,False,0.3962222035039311,,True,False,False,False,False
CFD,Stim48hr,458.0,131,-0.8345694669992714,False,0.0793640654838236,,True,False,True,False,False
CFD,Stim8hr,508.0,74,-0.2904362965465969,False,0.3548840309016968,,True,False,False,False,False
CHD4,Rest,292.0,1200,-7.612728670009502,False,0.6339158018393732,0.6634308695048764,True,True,False,False,False
CHD4,Stim48hr,233.0,417,-4.195739609002636,False,0.5791540223128554,0.5119046753777625,True,True,False,False,False
CHD4,Stim8hr,246.0,1517,-7.854961327872931,False,0.5885438166591767,0.6873538595835504,True,True,False,False,False
CHD7,Rest,697.0,1254,-9.646620365810916,False,0.4248096399022894,-0.021865404130326,True,True,False,True,False
CHD7,Stim48hr,503.0,1030,-8.40862908295484,False,0.4022411654281796,-0.0253843552213802,True,True,False,True,False
CHD7,Stim8hr,569.0,2278,-15.66791744343354,False,0.5123846653760314,0.0420680899742332,True,True,False,True,False
CHEK2,Rest,84.0,196,-4.301556541470408,False,0.00653388170463,,True,False,True,False,True
CHIC2,Stim48hr,2350.0,59,-23.923736845986973,False,0.6394998998135255,0.3222261954728844,True,True,False,False,False
CHIC2,Stim8hr,2317.0,75,-27.68164106521361,False,0.4087388643927858,0.2146140369159751,True,True,False,False,False
CHMP1A,Rest,205.0,570,-5.3079560350062645,False,0.3605277024099799,0.2342418552747843,True,True,False,False,False
CHMP1A,Stim8hr,296.0,87,-9.509422672606744,False,0.3612724405194405,0.0110390117342584,True,True,False,True,False
CHMP4A,Stim8hr,698.0,100,-25.89934028963503,False,-0.0724072274795961,0.2952805986277914,True,True,True,False,False
CHORDC1,Rest,76.0,159,-4.7161508327753,False,0.5574893854210681,,True,False,False,False,True
CHORDC1,Stim48hr,46.0,69,-3.681208234849133,False,,,False,False,False,False,True
CHTF18,Rest,274.0,136,-4.473263312844851,False,0.3071907222905544,0.7711234245724962,True,True,False,False,False
CHTF18,Stim48hr,200.0,858,-4.647590944993896,False,0.4549985598186228,0.7520186625933504,True,True,False,False,False
CHTF18,Stim8hr,229.0,86,-4.391082618077215,False,0.3257372645790578,0.0131654741278243,True,True,False,True,False
CHURC1,Rest,194.0,158,-15.395259301522673,False,0.0189167835382496,0.5252311289208517,True,True,True,False,True
CHURC1,Stim8hr,191.0,118,-14.849418265073384,False,-0.2036977142660753,0.1542337451527768,True,True,True,True,True
CIB2,Rest,33.0,56,0.4601762169964133,False,,,False,False,False,False,True
CIB2,Stim8hr,54.0,76,0.5502174639677494,False,0.2656445034111316,,True,False,False,False,True
CIP2A,Stim8hr,238.0,174,-2.48330737486877,False,-0.1799441231729864,,True,False,True,False,False
CISD1,Rest,669.0,90,-15.408113437564865,True,-0.1494521111499493,0.5440584924663439,True,True,True,False,False
CIT,Rest,228.0,74,-10.234204755509374,False,0.6361710586008037,0.848310373519356,True,True,False,False,False
CIT,Stim8hr,237.0,54,-7.360271638247233,False,0.3274597633814148,,True,False,False,False,False
CKAP4,Rest,412.0,441,-3.5332129684547384,False,0.2208728356985675,0.4281664810525069,True,True,False,False,False
CKLF-CMTM1,Rest,420.0,112,0.0,False,-0.1567321877285369,0.4612427256102615,True,True,True,False,False
CLASRP,Rest,112.0,157,-5.196542208935637,False,0.3042909964251217,,True,False,False,False,True
CLASRP,Stim48hr,137.0,362,-5.647120263884456,False,0.4264587876942867,,True,False,False,False,True
CLASRP,Stim8hr,110.0,197,-6.9022000367216725,False,0.2198147482271032,,True,False,False,False,True
CLCC1,Rest,892.0,239,-13.347402399590042,False,0.1194237454453148,0.6414553533359988,True,True,True,False,False
CLCC1,Stim48hr,911.0,1732,-15.2996381298409,False,0.6075791369798736,0.8365671774953869,True,True,False,False,False
CLCC1,Stim8hr,1040.0,680,-16.635371928910605,False,0.3957450074684161,0.791214670888831,True,True,False,False,False
CLDN5,Stim48hr,907.0,86,-2.076825616309292,False,-0.2518567041498838,,True,False,True,False,False
CLDN7,Rest,507.0,121,0.0,False,0.4607646369464651,-0.0624464025015818,True,True,False,True,False
CLDN7,Stim48hr,540.0,318,0.0,False,0.5062284018141621,0.1333298751945296,True,True,False,True,False
CLDN7,Stim8hr,629.0,284,0.0,False,0.4098733092836752,0.2172196329429748,True,True,False,False,False
CLDND1,Stim48hr,452.0,56,-27.95554257786019,True,0.2159926268298267,0.1231011556641813,True,True,False,True,False
CLPB,Stim48hr,241.0,286,-7.223912577901449,False,0.6127753384418697,0.7302735332423812,True,True,False,False,False
CLUH,Stim48hr,482.0,103,-8.776140504821912,False,0.4267926641636384,0.1880797828463757,True,True,False,True,False
CMAS,Rest,126.0,96,-7.226719143148793,False,0.6789439059253088,0.4804093920696016,True,True,False,False,True
CMAS,Stim8hr,171.0,62,-10.1874093299376,False,0.5117120511238392,0.6543401090705667,True,True,False,False,True
CMTM7,Rest,479.0,82,-8.590397027367509,False,-0.1923883588478256,,True,False,True,False,False
CMTM7,Stim48hr,575.0,92,-10.27570904805947,False,0.1132915005677631,,True,False,True,False,False
CMTR1,Rest,257.0,154,-8.464774215072554,False,0.4190831617189176,0.62703836676333,True,True,False,False,False
CMTR1,Stim8hr,276.0,195,-9.43609272385052,False,0.0680939791487916,0.2517223461003432,True,True,True,False,False
CMTR2,Rest,47.0,79,-2.531793525079818,False,,,False,False,False,False,True
CMTR2,Stim48hr,33.0,460,-1.807556371937028,False,,,False,False,False,False,True
CMTR2,Stim8hr,48.0,674,-3.3185628605685977,False,,,False,False,False,False,True
CNBP,Rest,1173.0,53,-32.46691146634949,False,0.7833178859708784,0.9381966135710434,True,True,False,False,False
CNBP,Stim48hr,1235.0,252,-30.495107277533968,False,0.7302272098340395,0.9696315902340118,True,True,False,False,False
CNBP,Stim8hr,1141.0,262,-42.20610871682854,False,0.5106414268042319,0.9456044900141009,True,True,False,False,False
CNOT10,Stim48hr,275.0,91,-6.643319059362727,False,0.2354969439437414,0.6505241317612857,True,True,False,False,False
CNOT10,Stim8hr,305.0,81,-5.690033641043884,False,0.1332140102122555,0.2773953585567784,True,True,True,False,False
CNOT11,Rest,119.0,352,-11.143419898805003,False,0.1692969970368392,,True,False,True,False,True
CNOT11,Stim48hr,120.0,387,-12.795577296464051,False,0.4312354008427738,,True,False,False,False,True
CNOT11,Stim8hr,158.0,661,-14.460955088774448,False,0.3129406170031801,0.4204883301575537,True,True,False,False,True
CNOT4,Rest,351.0,143,-7.261444624282904,False,0.3674718321866593,0.7047496812895234,True,True,False,False,False
CNOT4,Stim48hr,294.0,958,-7.281844479646781,False,0.5914391964411468,0.7284458272047359,True,True,False,False,False
CNOT4,Stim8hr,316.0,505,-7.089118736220353,False,0.5655346799697453,0.5832025771414375,True,True,False,False,False
CNOT6L,Stim48hr,937.0,109,-15.593002892968242,False,0.14249934487527,0.9557504595658338,True,True,True,False,False
CNOT9,Stim48hr,90.0,64,-6.124626391529078,False,0.1960638652343043,,True,False,True,False,True
CNOT9,Stim8hr,144.0,251,-10.455157888484695,False,0.3728111391864401,,True,False,False,False,True
COA3,Rest,282.0,112,-9.056846880461846,False,0.5093438943533833,0.9885899938356224,True,True,False,False,False
COA3,Stim48hr,155.0,534,-6.155003125835364,False,0.3881336739466767,0.6841987813461946,True,True,False,False,True
COA3,Stim8hr,316.0,253,-12.637151415431909,False,0.177513210250323,0.638346800920555,True,True,True,False,False
COA5,Rest,380.0,72,-6.224388630885328,True,0.3173543011594839,0.7077182642410671,True,True,False,False,False
COA5,Stim48hr,275.0,265,-6.124466454712411,True,0.4675127071088087,0.546398698838384,True,True,False,False,False
COA5,Stim8hr,403.0,303,-6.415017106881867,True,0.5460964832325156,0.7683278340587429,True,True,False,False,False
COA6,Stim48hr,675.0,106,-18.99179321779476,False,0.44135115883588,0.1568940415021727,True,True,False,True,False
COA7,Stim48hr,317.0,544,-6.152635082568198,False,0.5849093851075778,,True,False,False,False,False
COA7,Stim8hr,457.0,200,-11.64324220067359,False,0.4295548445520693,0.5735832493269446,True,True,False,False,False
COASY,Rest,55.0,699,-2.559915339180196,False,0.3771539322133859,,True,False,False,False,True
COASY,Stim48hr,40.0,303,-2.9933083762708503,False,,,False,False,False,False,True
COASY,Stim8hr,57.0,623,-3.1869415482584755,False,0.3826497440462283,,True,False,False,False,True
COG5,Rest,153.0,780,-4.888832662092154,True,0.0323874165531832,0.0773956173208825,True,True,True,True,True
COG5,Stim8hr,152.0,580,-5.714607529212086,True,0.0219327957707186,0.206652166814822,True,True,True,False,True
COG6,Rest,161.0,827,-2.487363011739355,False,-0.0080906304486206,0.0646031822866039,True,True,True,True,True
COG6,Stim48hr,110.0,672,-2.80749641671836,False,0.2614962530958505,,True,False,False,False,True
COG6,Stim8hr,159.0,1162,-2.694523900483848,False,0.1586414399719433,0.2244839411453369,True,True,True,False,True
COL1A1,Rest,585.0,56,0.0,False,-0.456653351221129,-0.3709582339807085,True,True,True,True,False
COL4A1,Rest,498.0,74,0.0,False,0.9000497290070937,,True,False,False,False,False
COL6A1,Stim48hr,137.0,370,0.0,False,0.2254801811550062,,True,False,False,False,True
COLGALT1,Stim48hr,446.0,326,-10.304701294163614,False,0.5642512222228461,0.3606310734780888,True,True,False,False,False
COMMD10,Rest,317.0,99,-9.600010763883102,False,0.3274067123481504,,True,False,False,False,False
COMMD10,Stim48hr,296.0,179,-10.461720384885078,False,0.3188218234716706,0.6234963470875478,True,True,False,False,False
COMMD10,Stim8hr,330.0,143,-11.76660254748936,False,0.4070216635317314,-0.0267599817959637,True,True,False,True,False
COMMD4,Stim48hr,478.0,111,-11.40467262707947,False,0.4535437456353615,0.8708040524395361,True,True,False,False,False
COMMD5,Stim48hr,142.0,222,-6.5429228968414925,False,0.4372724666387153,,True,False,False,False,True
COMMD5,Stim8hr,261.0,124,-10.943316218508844,False,0.4937596418191536,,True,False,False,False,False
COMMD7,Stim48hr,610.0,113,-20.58353185370776,False,0.4854164680528981,0.6256471502648675,True,True,False,False,False
COMMD8,Rest,264.0,57,-7.747417394830544,False,0.4789076760164462,0.9092750358231432,True,True,False,False,False
COMMD8,Stim48hr,350.0,284,-10.552501628546132,False,0.4899249592115204,0.7697371700250565,True,True,False,False,False
COP1,Rest,528.0,71,-8.933263340415536,False,0.3826660712095808,0.0490311324370621,True,True,False,True,False
COP1,Stim8hr,525.0,213,-10.024904880494883,False,0.4959982423982885,0.3368273861963734,True,True,False,False,False
COPRS,Rest,876.0,76,-16.863247599627414,False,-0.0513716583279495,0.3611435634243781,True,True,True,False,False
COPRS,Stim48hr,885.0,461,-18.55226480312633,False,-0.0616922270246963,-0.1187889817931895,True,True,True,True,False
COPRS,Stim8hr,831.0,182,-31.516138013575443,False,-0.0082164996747242,-0.0689570268357613,True,True,True,True,False
COPS8,Rest,71.0,546,-3.581208907866716,False,0.5122003403004803,,True,False,False,False,True
COPS8,Stim48hr,28.0,197,-3.343257846722299,False,,,False,False,False,False,True
COPS8,Stim8hr,58.0,214,-2.685558358568624,False,0.1925173565581577,,True,False,True,False,True
COPS9,Stim48hr,551.0,89,-11.921083641681786,False,0.6141688623603612,0.7168970769640063,True,True,False,False,False
COQ2,Rest,65.0,179,-2.926533521915056,False,-0.0260055238212303,,True,False,True,False,True
COQ2,Stim8hr,54.0,361,-3.549659218396246,False,0.2490947892678278,,True,False,False,False,True
COQ3,Rest,170.0,699,-3.7690017658562738,False,0.3976327632242245,0.5194591385840205,True,True,False,False,True
COQ3,Stim48hr,95.0,358,-4.300362156234221,False,0.2725340413242599,,True,False,False,False,True
COQ3,Stim8hr,144.0,232,-5.019809316938137,False,0.1365440816322166,,True,False,True,False,True
COQ4,Stim48hr,99.0,63,-4.509302165663273,True,0.3282279348741749,0.913846547539167,True,True,False,False,True
COQ4,Stim8hr,225.0,95,-9.762914877020908,True,0.6647359268266494,0.8982172708917188,True,True,False,False,False
COQ6,Stim48hr,256.0,800,-6.410652324929829,False,0.5794666815541424,0.2970213658962839,True,True,False,False,False
COQ6,Stim8hr,347.0,229,-6.260147196808599,False,0.6019934200846523,0.6076155133130088,True,True,False,False,False
COX10,Rest,92.0,72,-3.8931623309018666,False,0.308415639122898,,True,False,False,False,True
COX10,Stim48hr,40.0,396,-2.692398650938513,False,,,False,False,False,False,True
COX10,Stim8hr,65.0,245,-4.736799113393046,False,0.5868807041274334,,True,False,False,False,True
COX11,Rest,150.0,169,-4.705701609808068,True,0.2608887792194809,-0.7570680563962524,True,True,False,True,True
COX11,Stim48hr,57.0,1098,-2.348339853607317,False,0.5252549293091668,,True,False,False,False,True
COX11,Stim8hr,133.0,374,-5.021591086004295,True,0.3764439346279372,0.4755546285142892,True,True,False,False,True
COX15,Stim48hr,482.0,247,-16.214395790031986,False,0.4860209730157522,0.791935875301994,True,True,False,False,False
COX15,Stim8hr,704.0,98,-16.366802417765165,False,0.6103683908605946,0.720211511026793,True,True,False,False,False
COX16,Stim48hr,336.0,62,-20.7503729671472,False,0.5940372302346545,0.6256468837085104,True,True,False,False,False
COX17,Stim48hr,444.0,98,-13.799857463505168,False,0.3085524375866349,0.3921353075568003,True,True,False,False,False
COX17,Stim8hr,605.0,90,-17.11875289549958,False,0.3531974585995834,0.7846399004526183,True,True,False,False,False
COX18,Stim48hr,599.0,398,-18.681825355007184,False,0.5506956176104657,0.7678109230879718,True,True,False,False,False
COX19,Stim48hr,150.0,484,-3.802389850488273,False,0.3375483638837109,,True,False,False,False,True
COX19,Stim8hr,228.0,310,-6.362562164244811,False,0.131055058713187,,True,False,True,False,False
COX20,Rest,308.0,111,-3.880950902896625,False,0.3272680164158268,,True,False,False,False,False
COX4I1,Rest,145.0,429,-15.97068870156173,True,0.4059764658335225,0.3448561097024967,True,True,False,False,True
COX4I1,Stim48hr,65.0,132,-12.373419437327511,False,0.2377070693641251,,True,False,False,False,True
COX4I1,Stim8hr,131.0,484,-15.856365979245291,True,0.2837815783702289,0.4324793016666913,True,True,False,False,True
COX5A,Rest,117.0,388,0.0,False,0.1815079915419186,-0.0543322482050752,True,True,True,True,True
COX5A,Stim48hr,40.0,443,0.0,False,,,False,False,False,False,True
COX5A,Stim8hr,128.0,478,0.0,False,0.1307649752814625,0.396791068079644,True,True,True,False,True
COX5B,Rest,106.0,537,-7.024633770888041,False,0.1440207906553989,,True,False,True,False,True
COX6B1,Stim8hr,336.0,131,-12.928019821768732,False,0.6750051278272565,0.8038174679004981,True,True,False,False,False
COX6C,Rest,251.0,267,-16.946609761907812,False,0.1074802037146859,0.1870483863677589,True,True,True,True,False
COX6C,Stim48hr,125.0,568,-12.749319887967182,False,0.2886723117611184,0.432480221751738,True,True,False,False,True
COX6C,Stim8hr,255.0,1494,-17.78242717547921,False,0.3667798857785515,0.7243802167461828,True,True,False,False,False
COX7C,Stim48hr,230.0,115,-6.817817591885986,False,0.3764816947437135,0.5205952087908544,True,True,False,False,False
CPNE1,Stim8hr,23.0,91,-4.702965212986335,False,,,False,False,False,False,True
CPNE7,Stim48hr,63.0,95,0.0,False,0.1016261240777344,,True,False,True,False,True
CPOX,Rest,291.0,326,-10.889400632841976,False,0.4968240669810601,,True,False,False,False,False
CPSF6,Rest,234.0,2158,-8.087159725145787,False,0.6575468652647319,,True,False,False,False,False
CPSF6,Stim48hr,111.0,1390,-5.5853051517492665,False,0.5244972340192555,,True,False,False,False,True
CPSF6,Stim8hr,217.0,2487,-9.642752985111011,False,0.6114086564946415,,True,False,False,False,False
CREB1,Rest,782.0,200,-22.032250190323715,False,0.556365444209905,0.8891591295002297,True,True,False,False,False
CREB1,Stim48hr,797.0,489,-23.27678606148442,False,0.5542370876635695,0.7450037076612781,True,True,False,False,False
CREB1,Stim8hr,726.0,436,-23.971545856976405,False,0.5291442838149228,0.8155111412258529,True,True,False,False,False
CREB3L2,Rest,227.0,262,-0.6146893510951553,False,0.1095666867105745,,True,False,True,False,False
CREBBP,Rest,1015.0,1562,-22.97737843672975,False,0.5371945634735814,0.7593274148480518,True,True,False,False,False
CREBBP,Stim48hr,1166.0,1957,-18.12720780562422,False,0.6798162034925976,0.8410541148258576,True,True,False,False,False
CREBBP,Stim8hr,1150.0,2969,-23.397890150711373,False,0.6167776522643735,0.7974837361872694,True,True,False,False,False
CRIPT,Stim8hr,439.0,97,-16.109905980636935,True,0.3442528934640016,,True,False,False,False,False
CRLS1,Rest,309.0,111,-11.81589710025878,False,0.4493544616493474,,True,False,False,False,False
CRLS1,Stim48hr,277.0,835,-15.326319780730133,False,0.4792838646760223,0.5204207382712196,True,True,False,False,False
CRLS1,Stim8hr,386.0,50,-23.728083932837528,False,0.8290957008914276,0.8328004348841702,True,True,False,False,False
CROT,Rest,475.0,146,-7.024416092772015,False,0.5245507865772435,,True,False,False,False,False
CROT,Stim8hr,491.0,283,-4.946436192729975,False,0.4448711792877602,,True,False,False,False,False
CRTAP,Rest,393.0,77,-12.804378220399038,False,0.2454268481804546,0.1294700946376332,True,True,False,True,False
CRTAP,Stim8hr,433.0,161,-11.055804425404991,False,0.0925778106225229,0.0571456325488453,True,True,True,True,False
CRTC2,Rest,265.0,367,-8.556325688447716,False,0.333810872229241,0.0827790433452722,True,True,False,True,False
CRY1,Rest,925.0,197,-11.450709821539792,False,0.1177080040070624,0.2324123310224366,True,True,True,False,False
CRYZL1,Rest,456.0,1212,-7.39134354986494,False,-0.2389878826258399,-0.2369707911020627,True,True,True,True,False
CRYZL1,Stim8hr,565.0,736,-7.675741344761684,True,-0.2131581497215557,-0.3474268801804058,True,True,True,True,False
CS,Stim48hr,232.0,310,-2.353298301293552,False,0.4051410436463242,0.39365440478384,True,True,False,False,False
CSDE1,Rest,676.0,1814,-25.93760748273524,False,0.5368751814224545,0.5461054408487127,True,True,False,False,False
CSDE1,Stim48hr,530.0,690,-28.70515570717301,False,0.4782726412727534,0.4329933094695564,True,True,False,False,False
CSDE1,Stim8hr,519.0,1053,-29.370138796098185,False,0.5727314916565088,0.5142130220334538,True,True,False,False,False
CSH1,Stim8hr,630.0,65,0.0,False,0.2496696290416361,0.233980307105095,True,True,False,False,False
CSK,Rest,1192.0,548,-43.65002216134179,False,0.7118876816944034,0.320515617563892,True,True,False,False,False
