target_contrast_gene_name,culture_condition,n_cells_target,n_total_de_genes,ontarget_effect_size,offtarget_flag,crossdonor_correlation_mean,crossguide_correlation,has_crossdonor,has_crossguide,low_crossdonor,low_crossguide,low_cells
ADCY4,Stim48hr,405.0,221,-1.0074706364046295,False,0.2305390288253644,,True,False,False,False,False
ADHFE1,Stim48hr,99.0,184,-1.228004589226757,False,0.5283385641522955,,True,False,False,False,True
ADNP,Stim8hr,1221.0,50,-24.71793717915088,False,0.7155672407079702,0.7989968366149817,True,True,False,False,False
ADNP2,Rest,1236.0,58,-21.15445945535488,False,0.9271349358354156,0.8433994341580927,True,True,False,False,False
ADNP2,Stim48hr,1307.0,97,-28.927028333210835,False,0.7482440008850877,0.8580377809540924,True,True,False,False,False
ADNP2,Stim8hr,1065.0,92,-21.222086777295576,False,0.9172673004554094,0.889480564283744,True,True,False,False,False
ADO,Rest,139.0,668,-3.584626296400296,False,0.4129800178156877,,True,False,False,False,True
ADO,Stim8hr,115.0,50,-6.06973549465534,False,0.7922473987222706,,True,False,False,False,True
ADPRM,Stim48hr,736.0,460,-9.30627515519959,True,0.5184916099771956,0.8356548432682107,True,True,False,False,False
ADSS2,Rest,37.0,466,-2.8591923753361925,False,,,False,False,False,False,True
ADSS2,Stim8hr,40.0,81,-5.529568172259089,False,,,False,False,False,False,True
AEBP2,Stim48hr,575.0,510,-23.311349888781063,False,0.5543473791169351,,True,False,False,False,False
AEBP2,Stim8hr,518.0,55,-23.099562280105808,False,0.7584093267518103,,True,False,False,False,False
AFG3L2,Rest,67.0,64,-2.4808032779861686,False,0.0281803615720983,,True,False,True,False,True
AFG3L2,Stim48hr,43.0,171,0.875262607809694,False,,,False,False,False,False,True
AFG3L2,Stim8hr,51.0,83,-2.63089287528342,False,0.2275477975334568,,True,False,False,False,True
AGPAT1,Rest,109.0,203,-7.324490009236622,True,0.0901625407649083,,True,False,True,False,True
AGRN,Rest,273.0,66,-1.7972578011777798,False,0.1094614873079016,-0.1843796946135424,True,True,True,True,False
AHR,Rest,1214.0,2790,-14.455686669745589,False,0.674344039341895,0.873622614602888,True,True,False,False,False
AHR,Stim48hr,1260.0,1822,-15.61920191067684,False,0.7679028497179644,0.833735143934332,True,True,False,False,False
AHR,Stim8hr,1080.0,1777,-17.84083577171312,False,0.7400353771299804,0.8902995014237045,True,True,False,False,False
AHSA1,Rest,1211.0,63,-18.84058285108067,False,0.8474528809084964,0.9588669586564998,True,True,False,False,False
AIFM1,Stim48hr,102.0,998,-7.33423051794611,True,0.5171072752158207,,True,False,False,False,True
AIFM1,Stim8hr,265.0,58,-11.633401624774432,True,0.7636277189755534,0.7615171433073259,True,True,False,False,False
AIP,Rest,503.0,104,-27.90315071418119,False,0.1852171876947891,0.6071771170666918,True,True,True,False,False
AIP,Stim48hr,504.0,249,-23.850459093098088,False,0.3761982667155353,0.933115667637054,True,True,False,False,False
AIP,Stim8hr,499.0,303,-29.68431258406681,False,0.5945766893868938,0.6099833674720376,True,True,False,False,False
AIRIM,Stim8hr,367.0,292,-2.610283899138232,False,,,False,False,False,False,False
AK3,Rest,1002.0,324,-14.25053711602616,False,0.1291981741815893,,True,False,True,False,False
AK3,Stim48hr,752.0,58,-15.020528450442978,False,0.0332181503845644,0.615164654394509,True,True,True,False,False
AK3,Stim8hr,852.0,213,-11.563155826045293,False,0.0386766603766105,,True,False,True,False,False
AK9,Rest,789.0,149,-5.259115917774463,True,0.7953763524352748,0.9915035527949874,True,True,False,False,False
AKAP10,Stim8hr,306.0,56,-10.12436049620233,False,0.0712984787142148,,True,False,True,False,False
AKAP17A,Stim48hr,881.0,86,-18.72200856480859,False,0.1806454197295726,-0.1797199160936302,True,True,True,True,False
AKAP17A,Stim8hr,761.0,71,-18.187131815363166,False,0.4755039026111141,0.3881312152279961,True,True,False,False,False
AKR1C1,Rest,75.0,1775,0.0,False,0.232405806903426,,True,False,False,False,True
AKR1C1,Stim48hr,143.0,242,0.0,False,0.320460333157002,,True,False,False,False,True
ALAS1,Stim8hr,96.0,61,-4.659713125262166,False,0.3652754467141736,,True,False,False,False,True
ALDH18A1,Rest,561.0,119,-7.778280876637654,False,0.5751742494104389,0.6025645853717729,True,True,False,False,False
ALDH18A1,Stim8hr,538.0,175,-13.40345944541909,False,0.7516559505281443,0.8215412507545358,True,True,False,False,False
ALDOA,Stim8hr,173.0,233,0.0,False,0.6340933663747209,,True,False,False,False,True
ALG1,Rest,72.0,133,-0.5226607899744061,False,0.0529171494832687,,True,False,True,False,True
ALG1,Stim8hr,73.0,400,-3.519349559147316,False,0.3353560202639227,,True,False,False,False,True
ALG12,Stim48hr,604.0,56,-10.327551081311915,True,0.5516496654486585,0.6650062449114087,True,True,False,False,False
ALG12,Stim8hr,710.0,68,-12.201052757642428,True,0.5105194327946155,0.8611528230469124,True,True,False,False,False
ALG13,Stim8hr,365.0,186,-10.038634031308654,False,0.4632653795005962,,True,False,False,False,False
ALG14,Stim8hr,49.0,55,-1.9050035813703337,False,,,False,False,False,False,True
ALG2,Rest,236.0,60,-6.561022196152478,True,0.0778655961985651,0.0516421038286214,True,True,True,True,False
ALG2,Stim8hr,213.0,107,-8.92134373745001,True,0.3824923501172803,0.493845544189429,True,True,False,False,False
ALG3,Stim8hr,457.0,122,-17.163613734046656,False,0.1742878082614656,0.3176088121816891,True,True,True,False,False
