variable,baseMean,log_fc,lfcSE,stat,p_value,adj_p_value,contrast,zscore
CCL5,1384.437112155415,-10.564511986039006,0.5514656835529637,-19.157152115022534,8.436479193364017e-82,1.3162529941492745e-79,Th2_vs_Th1,-19.157152115022537
PRAG1,64.46959644250582,-1.5666705501924376,0.08180813964159647,-19.15054610771081,9.577710428670075e-82,1.484789134543955e-79,Th2_vs_Th1,-19.15054610771081
NUCB2,786.625027875471,-0.7948350167004881,0.04165369199179361,-19.08198238122763,3.564782690089058e-81,5.491344676840353e-79,Th2_vs_Th1,-19.08198238122763
AC015849.1,7.911874018902241,-6.414359261320196,0.33685988319828486,-19.04162407354553,7.7099442270882195e-81,1.1802033493276741e-78,Th2_vs_Th1,-19.041624073545528
PRF1,1323.4648578566469,-2.130798390295375,0.1119174890110965,-19.039011767714953,8.104233173842498e-81,1.2328058201134535e-78,Th2_vs_Th1,-19.039011767714953
GALNT1,730.5092091794303,-0.8032889913248524,0.04223422025527064,-19.019860825407463,1.1679312075663371e-80,1.76560730813398e-78,Th2_vs_Th1,-19.019860825407463
EPHX2,829.3853184266948,0.9532049038363642,0.05012709747391766,19.015760973041374,1.262910030042654e-80,1.8974053840251946e-78,Th2_vs_Th1,19.015760973041374
NCALD,312.3156310643326,-2.284075239765202,0.12027360797818572,-18.99066036315689,2.0375017578905127e-80,3.042377624864858e-78,Th2_vs_Th1,-18.99066036315689
PPP5C,342.28780522248746,-0.57808660808335,0.03044683538379435,-18.986755135512137,2.194785216799046e-80,3.2572486214434134e-78,Th2_vs_Th1,-18.986755135512137
AC004585.1,86.63359034579346,-2.4082156252170464,0.12689121751978683,-18.978583957881252,2.564139778468058e-80,3.7823392768566097e-78,Th2_vs_Th1,-18.97858395788125
PARP8,2033.561388763217,-0.741147379890201,0.03905746808243202,-18.97581733475365,2.702752785034748e-80,3.962789158732574e-78,Th2_vs_Th1,-18.975817334753653
