variable,baseMean,log_fc,lfcSE,stat,p_value,adj_p_value,contrast,zscore
NAV2,17.679133682079343,-2.2296255302134633,0.5045426849529993,-4.419101885148061,9.911191732859675e-06,0.0006336555247874951,Th2_vs_Th1,-4.419101885148061
TMEM201,279.6689854992523,0.5705795159094325,0.1291607143879967,4.4175933728224885,9.980595908022598e-06,0.0006348371897210087,Th2_vs_Th1,4.4175933728224885
SERPINB9,1138.0728290120205,-0.7913259951371202,0.17935561644887718,-4.412050265304498,1.023963326795601e-05,0.0006480076545766881,Th2_vs_Th1,-4.412050265304497
KIF5B,2804.508470210683,0.5594778364258312,0.12687940314543145,4.409524497719679,1.0359783928395812e-05,0.0006492449493578614,Th2_vs_Th1,4.409524497719678
KCNQ1,434.8530271824155,0.5706585367940088,0.12941716348956203,4.409450195066549,1.0363338808230883e-05,0.0006492449493578614,Th2_vs_Th1,4.409450195066549
TESPA1,1701.4880846121837,0.4888786337929739,0.11120637507328317,4.396138561937757,1.1019360656889233e-05,0.0006868918465471903,Th2_vs_Th1,4.396138561937757
MBOAT1,577.9962950536427,-0.753212772626132,0.1714691827356726,-4.392700546005652,1.1195127991194481e-05,0.0006943764212249831,Th2_vs_Th1,-4.392700546005652
MAST4,905.1876089514813,0.7789760721245106,0.17758397944279922,4.386522222154747,1.1517740268627383e-05,0.0007108498412325623,Th2_vs_Th1,4.386522222154747
RCBTB2,180.97995403901834,0.9195933597921269,0.21039572564184636,4.370779667632305,1.2380367217519371e-05,0.0007603253108414482,Th2_vs_Th1,4.370779667632305
LRFN4,97.2250163881484,1.0697990233944468,0.24522456886992705,4.362527899730527,1.2856818415695879e-05,0.0007857154666101986,Th2_vs_Th1,4.362527899730527
GSTK1,4092.8103603513614,0.42858408534838727,0.09833279741936932,4.358505977619691,1.3095334628403794e-05,0.0007963879844502932,Th2_vs_Th1,4.358505977619691
ANK1,251.4231570220393,1.692354849623746,0.3893721265233642,4.346368767416628,1.3840979733657006e-05,0.000837648030774281,Th2_vs_Th1,4.346368767416628
ATP6V0A1,90.77628966652055,1.3852696666339794,0.31899254985208325,4.342639560943754,1.4078099845980469e-05,0.0008478824675354516,Th2_vs_Th1,4.342639560943754
C1orf174,330.24996108852395,-0.47671512633719565,0.10996205801328941,-4.335269227860236,1.4558183244118793e-05,0.0008725811081943701,Th2_vs_Th1,-4.335269227860236
MAP4K4,1980.3303294290756,0.4545538526537145,0.10514530910938928,4.323101586784186,1.5385084725220616e-05,0.000917731345786246,Th2_vs_Th1,4.323101586784186
NRROS,213.23677898105402,1.0223087453063808,0.23663723049687527,4.3201517494090185,1.5592194119142926e-05,0.0009256565908731184,Th2_vs_Th1,4.3201517494090185
MCTP2,64.44269535969637,-1.303989053441896,0.3027593990949967,-4.307014273841731,1.6547293593849457e-05,0.0009761664932390452,Th2_vs_Th1,-4.307014273841731
SLC25A33,76.01442739329217,1.2181642116012308,0.2829650728527409,4.304998490874459,1.669868739279765e-05,0.0009761664932390452,Th2_vs_Th1,4.304998490874458
AIM1L,20.947883903099115,-1.9166803597476358,0.4452433699123833,-4.304792590454087,1.6714225473104847e-05,0.0009761664932390452,Th2_vs_Th1,-4.304792590454087
C1orf228,148.12480663078102,0.8866350410926077,0.20599121315004792,4.304237193101853,1.6756206750072646e-05,0.0009761664932390452,Th2_vs_Th1,4.304237193101852
ZC2HC1A,110.4452567959474,1.6301068876815303,0.380686856548729,4.2820151514027165,1.8520836768351304e-05,0.001073950102283887,Th2_vs_Th1,4.282015151402717
FXYD7,128.76983717780706,0.7576981840030811,0.17746058366626255,4.269670302832036,1.9576212670058332e-05,0.0011298918673963761,Th2_vs_Th1,4.269670302832036
TGFBI,35.923734181076874,-1.7408770749928364,0.4081338784319357,-4.265455937354051,1.9949438430324612e-05,0.0011461274143357463,Th2_vs_Th1,-4.265455937354051
SIPA1,1509.2552954883745,-0.6946187710471134,0.16290704252070307,-4.263896516068897,2.008925118612924e-05,0.001148865571272813,Th2_vs_Th1,-4.263896516068897
APOBEC3H,28.904565414114526,-1.9230590524194662,0.45154398399538703,-4.258852117580448,2.054793461825709e-05,0.0011641698412899663,Th2_vs_Th1,-4.258852117580449
RGS2,1746.9809900304374,-0.5396988676364967,0.12673688204049333,-4.258419955952989,2.0587691115037843e-05,0.0011641698412899663,Th2_vs_Th1,-4.258419955952988
PLD6,187.4017532690652,0.8339985490496207,0.19587155283542224,4.257885011767757,2.0637004485849245e-05,0.0011641698412899663,Th2_vs_Th1,4.257885011767757
MZB1,8.437854271873999,-4.091288720981637,0.9624619318396594,-4.250857707339662,2.129534332448091e-05,0.0011958966001184843,Th2_vs_Th1,-4.250857707339662
TSPAN32,870.6859455184181,-1.0444708260054876,0.24607872282684012,-4.244458090513,2.1912231391287515e-05,0.001225021474238482,Th2_vs_Th1,-4.244458090513
NEDD9,961.595221570316,-0.7872655868404309,0.18582925472369713,-4.236499726649542,2.270311970852504e-05,0.0012596490999527486,Th2_vs_Th1,-4.236499726649542
FYN,2793.824801962431,-0.3845974822440161,0.09078837748386578,-4.236197329469444,2.273370076918011e-05,0.0012596490999527486,Th2_vs_Th1,-4.236197329469444
GDPD5,2026.6152609781518,0.7973914865248105,0.18859628365329414,4.2280339308843145,2.3574224665135035e-05,0.0013004418535408782,Th2_vs_Th1,4.228033930884315
DTX1,118.04190632053849,0.81728645459591,0.19361634216674423,4.221164626134994,2.43043350225007e-05,0.001334811210244565,Th2_vs_Th1,4.221164626134994
SIPA1L2,28.8225114374627,-1.8889034784537606,0.4480021093790331,-4.216282555169064,2.4836253919284122e-05,0.001358042007068926,Th2_vs_Th1,-4.216282555169065
