variable,baseMean,log_fc,lfcSE,stat,p_value,adj_p_value,contrast,zscore
USP10,25.18085932748595,-0.7609453346605726,0.05670905400187979,-13.418409953291563,4.71726020152287e-41,2.250807010440912e-39,CytotoxicCD4,-13.418409953291563
CORO1B,71.70596146260206,-0.45281744849842903,0.03376072718934528,-13.412550208377503,5.105260720740597e-41,2.4239978108379127e-39,CytotoxicCD4,-13.412550208377501
UBE2E3,21.372545146067473,0.4887503386695188,0.036441578368659494,13.411887205463474,5.151112753000026e-41,2.433837957344305e-39,CytotoxicCD4,13.411887205463474
CHN2,1.7838809174079788,1.7746033648298136,0.13242502069510398,13.400816216715338,5.980183104175812e-41,2.811847259565384e-39,CytotoxicCD4,13.400816216715338
CCNH,32.095603322646745,0.4499537634593799,0.03360133672606015,13.390948316362953,6.830303199874504e-41,3.1960539514002145e-39,CytotoxicCD4,13.390948316362953
VAV3,2.381218170354463,1.56884209590712,0.1174836792488306,13.35370245414523,1.127049032882377e-40,5.248363909855146e-39,CytotoxicCD4,13.353702454145228
SH3BGRL3,551.0315390599085,0.38722531537902044,0.029012564206322,13.346814594714173,1.236231632778968e-40,5.729253394783294e-39,CytotoxicCD4,13.346814594714171
CD81,7.690062734961771,0.8386846153022804,0.06297409447605395,13.317930528102982,1.8208503696888298e-40,8.398455562288575e-39,CytotoxicCD4,13.317930528102984
HINT1,615.2918918147569,-0.20888937142135283,0.015738445900341604,-13.272553894080412,3.3400053256620132e-40,1.533236567979254e-38,CytotoxicCD4,-13.272553894080412
COLQ,3.953670629663631,1.266833279878505,0.09555897329363784,13.25708341367088,4.1055466583859775e-40,1.8757700440154046e-38,CytotoxicCD4,13.25708341367088
GPR155,23.59105562639239,-0.5645340209515824,0.04259725048043303,-13.252827696259413,4.345173805808045e-40,1.975932088406419e-38,CytotoxicCD4,-13.252827696259413
CDC42EP3,18.21406752719542,0.8164010827939467,0.06176139303200624,13.218631295619709,6.849906647869222e-40,3.10038298090006e-38,CytotoxicCD4,13.218631295619709
CCDC85B,93.65375654400256,0.2671590190563964,0.0202183124960746,13.213714997642137,7.312443734426824e-40,3.294340930774801e-38,CytotoxicCD4,13.213714997642137
