gene_name,padj_hollbacher,zscore_hollbacher,padj_ota,zscore_ota,padj_Diff043,zscore_Diff043
TBX21,2.5587407544270394e-27,-11.590988663406316,1.3719197031739175e-290,-36.630762221528414,2.3908093746143603e-118,-23.43974950205757
GZMK,2.7358491414288452e-17,-9.33829135148497,0.0,-40.69994080387637,4.6803238010983664e-08,-5.934090898414188
LYAR,1.0324481538168321e-12,-8.098987273914796,0.0,-58.0905045782036,3.051002514844907e-37,-13.13632795503697
GNLY,2.3208087901070538e-11,-7.691573825986039,2.762516492823368e-83,-19.57850050366973,2.475290162379546e-38,-13.326088415910126
EOMES,2.306846663061695e-10,-7.3743901333475765,0.0,-40.29972423818802,0.0006839964633765065,3.8840689390795093
NKG7,3.855082320277519e-08,-6.628497897504099,4.269774413774402e-191,-29.700255279950543,1.1189421338875076e-07,-5.777200255484585
ENC1,3.855082320277519e-08,-6.626010254321321,1.274757280098357e-47,-14.76392910129914,5.558820524641048e-05,-4.517868527878148
F2R,4.083514695548369e-08,-6.603394307229706,0.0,-42.552850176248114,8.676774740279725e-40,-13.581047591229673
CCR4,8.620321051558125e-08,6.478657398125739,0.0,55.86975065059234,1.3398517843075517e-101,21.717118814049247
IL18RAP,9.63677298572048e-08,-6.449694894567984,4.1574889422067724e-148,-26.138735439871528,2.1751915536818705e-25,-10.819188596505308
AKAP12,1.6633501936764497e-07,6.344458902520178,2.8147829663256595e-125,24.038552966546774,1.0853663970191693e-09,6.556296178825923
SYNM,2.88220806478661e-07,-6.249202259830776,3.7100500352665193e-28,-11.300386421731174,3.4368481362438926e-20,-9.623771525626879
GBP5,3.101000989380833e-07,-6.228269921200548,1.041676035335173e-136,-25.112106512160572,8.945552389384662e-80,-19.23944740844183
STOM,4.822304700797913e-07,-6.149650522093179,0.0,-65.5659037815235,8.483025431998837e-93,-20.757710372072463
PRF1,5.476930284741981e-07,-6.120819907850616,1.885340623160522e-115,-23.07303015671182,1.360408790909856e-23,-10.419998083504996
TMEM62,6.866408949037078e-06,-5.681368736571173,1.317943090274397e-199,-30.35799157410083,0.12402835332485755,-1.9806078929435775
SLAMF7,6.866408949037078e-06,-5.679433792758157,3.1199029661120006e-241,-33.36978803674485,2.514822945950209e-148,-26.268256317808504
MRC2,7.134745575338928e-06,5.665255681448415,4.0906572587938324e-99,21.369924558141435,0.6627696634510517,-0.6886829432527332
CXCR6,1.1924925602500793e-05,-5.569114600516274,8.395585790366471e-196,-30.06435678885137,1.3077159257137929e-07,-5.748727335726806
CCR5,1.2379019988517636e-05,-5.555472851808584,6.800307294022203e-141,-25.493469337293973,2.0438375482953556e-90,-20.48296165233501
SLC22A23,3.3184352487302556e-05,5.366778392249114,8.011862106615562e-123,23.800693844807945,0.06182578574911749,-2.326628064727189
GZMA,3.755807717103052e-05,-5.337802237349699,0.0,-47.46651166992462,0.035730791600700286,-2.5690414455295576
NCALD,4.837468461531824e-05,-5.285294917612056,8.486787208348371e-92,-20.559998783934166,1.4010629084166388e-23,-10.41663253722422
ABCB1,7.050566461632258e-05,-5.209621603688548,2.3933890476043653e-85,-19.82127305992547,0.0013789935222705667,-3.6895183030752947
ZNF532,0.0001165716807231623,-5.1033361473106496,4.8662054392649555e-21,-9.72591584737574,0.22874031473265438,-1.617915481717189
IL12RB2,0.00014233366066084577,-5.053875123507916,1.705275912302552e-80,-19.244453544887833,1.1686128010601827e-138,-25.37201211761261
ARHGAP26,0.00014716336353447676,-5.041958748836251,6.816109043843208e-138,-25.22083050910087,0.0012135477239991865,-3.7253357649268275
LAG3,0.0001658193384980387,-5.013661245534454,5.418149252332402e-172,-28.176037996188185,2.535950154474666e-13,-7.762992507472482
TRPS1,0.0002663069020130763,-4.916401456105816,3.912392129103909e-93,-20.710369092731337,7.808418167903246e-83,-19.606040478065797
CST7,0.0003375825245304378,-4.86447268499404,4.131087260660555e-124,-23.925221653073187,0.015539402154058473,-2.90185371413719
FHIT,0.00036361127049320527,4.844604965674374,1.0130052839265239e-39,13.466496934255268,1.93501131418335e-05,-4.757152871132343
GLUL,0.0005069414454648676,4.773105332946617,7.578848633097164e-45,14.320925427446888,0.23426168617443635,-1.6006639999279253
PTGDR2,0.000616195874226222,4.723755951169406,2.8927555457028512e-179,28.76430343138765,1.3628183800434448e-14,8.139585046201583
CHDH,0.0006360007991918885,4.712530490150602,1.4651035142595045e-148,26.179131317777625,0.001727781150395969,3.6235187571945158
NCAPH,0.0006564553838368231,4.701386596530867,5.0872689391377276e-08,5.817034604221353,0.0040029661334960946,3.3680241606578027
IRF8,0.000944829813397015,-4.617271276289996,8.537240363788986e-97,-21.116233424984824,3.0699953290936467e-08,-6.0079564703489865
CRTAM,0.001044548250701221,-4.591913730693326,1.4601244618200734e-91,-20.533336583083106,0.0006119392802903441,-3.913593461838443
SCD,0.0011078400844713111,-4.575218571511638,2.63403510687177e-42,-13.903308840687881,0.9847394357724955,-0.034760031552288295
RIPK2,0.0014663139214135133,-4.511807560891503,1.0258206185682138e-21,-9.886682345171877,1.4113723433499333e-20,-9.717812750460265
PTPRM,0.0017156241704894659,-4.469846022858206,5.036588478817333e-32,-12.068592324948268,4.079572483924296e-12,-7.381297009050852
ANK1,0.0017654847145839407,4.459377584654719,2.5564256686609354e-75,18.611306892766052,0.5752603740649157,0.8529739614569325
TNFSF11,0.0018477666696399692,4.439056231920563,8.105071057645215e-150,26.289897627808802,1.0742405631405994e-05,4.886082972501462
C1orf162,0.0018477666696399692,4.437719171221793,4.286580632449061e-151,26.403756310034602,4.4097310727816015e-67,17.633731390630214
MAP3K8,0.002004481203441543,-4.416264239131953,2.1069048094402025e-62,-16.927836824687855,5.1093913154843e-14,-7.9707698454443054
CADM1,0.0022005474758896404,4.3884122103976715,7.916766161698976e-94,20.78851103531319,0.7780301620381526,0.4668685870029833
SMAD3,0.0028352987271435095,-4.329197838867928,3.070068277825208e-132,-24.69847219659265,1.9901204556591753e-10,-6.818700234068533
ZEB2,0.003089291000365619,-4.3065460021568835,1.923132064041147e-28,-11.359028476753863,0.07433721715807366,-2.2417867025309475
