gene,breadth_max_de,ctx_specific_de,ctx_specific_eff,max_abs_effect,passes_gate,de_Rest,de_Stim8hr,de_Stim48hr,eff_Rest,eff_Stim8hr,eff_Stim48hr,loeuf,pli,druggability_tractability,n_concept_modules,stimulation_gated
ANKAR,292.0,285.0,0.6020392019583078,3.54706911863424,True,292.0,136.0,7.0,-3.54706911863424,-3.316479141939097,-2.945029916675932,,,,0,False
ANKRD11,69.0,54.0,5.374807141572727,20.40297621867781,True,15.0,69.0,19.0,-17.033522746078223,-20.40297621867781,-11.658715604505495,,,,0,False
ANKRD61,1177.0,1176.0,1.273546534748639,1.393747424048395,True,1.0,82.0,1177.0,-0.1202008892997559,-1.393747424048395,-0.1174970186142307,,,,0,True
ANP32B,274.0,181.0,2.0817967956619245,16.703117659046068,True,93.0,274.0,31.0,-14.621320863384144,-16.703117659046068,-16.26184081985995,,,,0,False
AP1S2,221.0,217.0,2.075973767662733,11.399047786808408,True,221.0,146.0,4.0,-9.323074019145675,-9.740506544149367,-11.399047786808408,,,,0,False
AP3D1,72.0,71.0,5.054037964287398,19.44904780815052,True,72.0,1.0,2.0,-14.395009843863123,-19.44904780815052,-15.449528519027078,,,,0,False
APOBEC3B,185.0,72.0,2.748942662099563,8.652358261464906,True,113.0,185.0,47.0,-5.903415599365343,-5.179939629518646,-8.652358261464906,,,,0,False
APOBEC3G,104.0,103.0,7.283706268481852,17.73943123994814,True,104.0,1.0,2.0,-17.624964719568762,-10.34125845108691,-17.73943123994814,,,,0,False
APPL2,460.0,458.0,1.561420312782312,12.222760825744952,True,2.0,460.0,9.0,-11.581750584890177,-10.020330272107865,-12.222760825744952,,,,0,False
ARF1,1754.0,1746.0,2.4253874600451653,13.94040699830986,True,1754.0,58.0,8.0,-11.515019538264696,-13.94040699830986,-9.801152569687783,0.263708322947604,0.99917045222594,,0,False
ARF4,154.0,148.0,2.7050227681287726,10.85828881723755,True,6.0,154.0,13.0,-8.153266049108778,-10.85828881723755,-7.92761655717464,,,,0,False
ARHGAP27,934.0,925.0,2.1693488384554183,8.555444982977969,True,9.0,934.0,76.0,-8.555444982977969,-6.386096144522551,-6.550188547029189,,,,0,True
ARHGAP30,1840.0,1541.0,26.054933929652144,58.547976668913336,True,1840.0,299.0,1484.0,-58.547976668913336,-32.49304273926119,-53.60639477490099,0.4528866412654388,0.9991164905958896,,0,False
ARHGAP45,50.0,33.0,4.835829623329522,10.765635788020695,True,34.0,50.0,1.0,-10.765635788020695,-7.686299384928706,-5.929806164691174,,,,0,False
ARID2,298.0,82.0,1.0486191545692662,16.766453703494445,True,298.0,216.0,270.0,-15.833949902733496,-16.766453703494445,-14.78533074816423,,,,0,False
ARID4B,242.0,234.0,0.7187905543885371,13.185847415094974,True,8.0,242.0,18.0,-13.09571879112822,-12.376928236739683,-13.185847415094974,,,,0,False
ARIH1,871.0,437.0,0.7615235642025482,14.155651958105896,True,434.0,601.0,871.0,-13.394128393903348,-14.155651958105896,-14.085724317053543,,,,0,False
ARL1,137.0,136.0,8.209511195279962,20.38759518766698,True,1.0,10.0,137.0,-12.17808399238702,-20.38759518766698,-17.445296968110426,,,,0,False
ARL6IP1,118.0,117.0,3.385735357745574,19.55837209122885,True,1.0,1.0,118.0,-19.55837209122885,-16.172636733483277,-17.94198267130957,,,,0,False
ARMC8,85.0,48.0,2.487715567225784,27.980158409116683,True,37.0,85.0,63.0,-25.4924428418909,-27.980158409116683,-25.28223374183271,,,,0,False
ARMH3,116.0,109.0,0.7355000018007178,9.316639672319166,True,116.0,7.0,13.0,-9.20075969907164,-9.316639672319166,-8.465259697270922,,,,0,False
ARNT,2947.0,627.0,3.492883351317019,19.14767371704712,True,2320.0,2643.0,2947.0,-17.67732833735752,-14.1844449860405,-19.14767371704712,0.3873464603285701,0.9999996812420346,,0,False
ARPC1B,65.0,61.0,6.81515753571562,27.14788361533128,True,4.0,44.0,65.0,-22.903114741883364,-16.087957206167744,-27.14788361533128,,,,0,False
ARPC2,1039.0,823.0,1.3463249827166557,18.0333091589308,True,216.0,1039.0,856.0,-16.686984176214143,-18.0333091589308,-15.341082513738767,,,,0,False
ARPC3,906.0,758.0,2.420370537121153,12.912890195305932,True,148.0,906.0,720.0,-12.912890195305932,-11.771401813390504,-10.49251965818478,,,,0,False
ASXL1,275.0,266.0,7.143547221523772,37.5080155845783,True,275.0,42.0,9.0,-30.36446836305453,-37.5080155845783,-35.80807313437384,,,,0,False
ATAD3A,720.0,718.0,10.334147711960163,19.71488824757584,True,2.0,7.0,720.0,-9.380740535615674,-19.71488824757584,-6.05311898885792,,,,0,True
ATF4,1062.0,976.0,2.175365007624442,12.4229267819471,True,86.0,1062.0,393.0,-10.247561774322657,-8.996019991844117,-12.4229267819471,,,,0,False
ATF7IP,74.0,66.0,3.261846585163523,8.04989054029416,True,8.0,6.0,74.0,-4.788043955130636,-8.04989054029416,-8.012345524354819,,,,0,False
ATF7IP2,2731.0,1877.0,1.388426889620412,16.553632031478614,True,854.0,2731.0,1380.0,-16.553632031478614,-15.165205141858202,-16.182922866531978,0.8461628384545281,1.7715256641434115e-09,,0,False
ATG14,267.0,248.0,1.3394384488234108,5.002109345834038,True,19.0,6.0,267.0,-4.940491169679616,-5.002109345834038,-3.601052720856205,,,,0,False
ATM,143.0,46.0,5.263497230072673,19.681374934630888,True,97.0,71.0,143.0,-19.681374934630888,-14.417877704558215,-15.85428307718476,,,,0,False
ATP1B3,329.0,167.0,3.942387966569859,11.833498073956582,True,329.0,216.0,162.0,-7.891110107386723,-11.833498073956582,-6.332418052402413,,,,0,False
ATP23,97.0,43.0,3.5092460603562348,15.383683477951289,True,54.0,67.0,97.0,-11.874437417595054,-9.848334081855125,-15.383683477951289,,,,0,False
ATP2A2,3519.0,1953.0,5.588317988409738,15.645571410880336,True,3519.0,3260.0,1566.0,-10.057253422470598,-15.645571410880336,-10.141806976806311,0.2003169158021933,0.9999999999999998,,0,False
ATP2A3,80.0,72.0,11.294122106912509,20.09476388047129,True,8.0,80.0,5.0,-20.09476388047129,-8.800641773558782,-16.250395349101304,,,,0,False
ATP5F1E,426.0,402.0,2.4136539321639727,14.652594972187456,True,24.0,4.0,426.0,-12.238941040023484,-14.652594972187456,-11.135866498250536,,,,0,False
ATP5ME,733.0,368.0,0.5906777684865396,14.038880112479324,True,365.0,101.0,733.0,-13.448202343992785,-14.038880112479324,-13.209834139078133,,,,0,False
ATP5MF,689.0,593.0,2.146517296088252,10.619944538658022,True,96.0,12.0,689.0,-10.401304543986823,-10.619944538658022,-8.254787247898571,,,,0,False
ATP5PO,1157.0,734.0,1.8703567203803064,5.766912331095463,True,423.0,94.0,1157.0,-5.766912331095463,-5.404041102992315,-3.896555610715156,,,,0,False
ATRX,831.0,617.0,2.9409913337185607,17.846882007213758,True,214.0,831.0,347.0,-17.846882007213758,-15.36785354393968,-14.905890673495197,,,,0,False
ATXN1L,98.0,95.0,2.1618952048611044,4.777782573878014,True,98.0,3.0,4.0,-2.6158873690169093,-4.117783628068032,-4.777782573878014,,,,0,False
ATXN2L,120.0,32.0,3.788584273271381,18.917188595392027,True,118.0,120.0,86.0,-15.128604322120646,-18.917188595392027,-18.25280872272949,,,,0,False
ATXN7L3,1942.0,1397.0,3.026076635439251,13.557483353777297,True,545.0,1942.0,503.0,-11.36005317568072,-13.557483353777297,-8.33397654024147,,,,0,False
AUP1,241.0,231.0,3.112780204429063,13.96580639273371,True,10.0,128.0,241.0,-10.853026188304646,-13.96580639273371,-8.843505434333304,,,,0,False
AVEN,157.0,154.0,3.143834232367007,13.114138803755644,True,3.0,157.0,1.0,-9.970304571388636,-13.114138803755644,-9.104127578528372,,,,0,False
B3GAT1,195.0,188.0,0.2153171487537492,0.2312815034795149,True,195.0,7.0,8.0,-0.2312815034795149,-0.0159643547257657,-0.0471383906144003,,,,0,False
BAHD1,393.0,362.0,2.484097294395328,13.749327266557064,True,31.0,96.0,393.0,-12.701891289583704,-13.749327266557064,-10.217793995188376,,,,0,False
BAZ1A,89.0,85.0,2.6950174360113586,12.241019108640025,True,89.0,4.0,16.0,-9.546001672628666,-12.241019108640025,-11.94628149607751,,,,0,False
BBS10,79.0,35.0,0.2266130974043072,10.424105606562218,True,44.0,79.0,23.0,-10.246822482280171,-10.424105606562218,-10.020209384875864,,,,0,False
BCAP29,105.0,104.0,3.3570240190607983,17.543760205362716,True,1.0,105.0,15.0,-14.186736186301918,-15.358994790048872,-17.543760205362716,,,,0,False
BCL10,3456.0,3455.0,7.767464793186336,18.312643813851704,True,1.0,3456.0,2980.0,-18.312643813851704,-13.113211002631488,-10.545179020665367,0.5462126708195334,0.9432447077010372,,1,True
BCL6,68.0,52.0,1.4666614362584216,3.898610196277424,True,16.0,28.0,68.0,-2.431948760019002,-1.479012940659017,-3.898610196277424,,,,0,False
BCLAF1,115.0,72.0,3.580787518738175,14.739506400267024,True,43.0,107.0,115.0,-11.158718881528848,-14.739506400267024,-11.969095409390269,,,,0,False
BEX3,311.0,298.0,2.7486626049815825,8.32361064339585,True,311.0,16.0,13.0,-7.168518453573399,-4.4198558485918165,-8.32361064339585,,,,0,False
BHLHE40,1997.0,1532.0,5.452303056550322,18.5204767496614,True,465.0,1997.0,1687.0,-18.5204767496614,-17.857106625639812,-13.068173693111076,0.2171883786993017,0.99999860099106,,0,False
BICDL1,79.0,75.0,1.208590862568382,6.638906215788699,True,4.0,4.0,79.0,-6.375714061714213,-6.638906215788699,-5.167123199145831,,,,0,False
BLOC1S2,53.0,26.0,3.453375723565486,17.69105565334947,True,27.0,45.0,53.0,-14.237679929783983,-17.69105565334947,-16.318987413605083,,,,0,False
BLOC1S4,82.0,80.0,1.381833258699542,8.607808460758802,True,2.0,82.0,4.0,-7.22597520205926,-8.085141997137343,-8.607808460758802,,,,0,False
BLZF1,454.0,448.0,1.052198756436198,10.728292932688566,True,454.0,6.0,108.0,-9.676094176252368,-10.172433688254271,-10.728292932688566,,,,0,False
BPTF,604.0,167.0,7.262034264784769,13.228097149523151,True,437.0,604.0,386.0,-13.228097149523151,-10.700764047586109,-5.966062884738382,,,,0,False
BRAT1,219.0,198.0,2.739798370402976,10.11582691522317,True,219.0,21.0,144.0,-7.376028544820194,-10.11582691522317,-8.494623390672315,,,,0,False
BRD1,292.0,227.0,2.2848911265088834,12.360408858965396,True,65.0,292.0,136.0,-10.075517732456513,-12.360408858965396,-9.992878806381844,,,,0,False
BRD10,119.0,118.0,3.5765642547304894,7.706537464862625,True,119.0,57.0,1.0,-4.129973210132135,-3.2473327445217333,-7.706537464862625,,,,0,False
BRD7,80.0,72.0,7.071703962433009,26.125682070851067,True,80.0,45.0,8.0,-19.053978108418058,-26.125682070851067,-21.591210379547608,,,,0,False
BRK1,1277.0,655.0,3.0446521279655556,15.557711465435036,True,622.0,1277.0,426.0,-15.557711465435036,-13.597903956757454,-12.51305933746948,,,,0,False
BRPF1,1788.0,783.0,2.964809613711654,16.502082893558093,True,1005.0,1788.0,802.0,-14.690160408252568,-16.502082893558093,-11.725350794540914,,,,0,False
BSG,114.0,113.0,3.655753537745016,11.192146728894482,True,1.0,1.0,114.0,-7.5363931911494655,-11.192146728894482,-10.394858242083684,,,,0,False
BTAF1,1493.0,440.0,5.250676726774284,21.72385678835028,True,1053.0,1493.0,1296.0,-16.473180061575995,-21.72385678835028,-18.3151079945977,,,,0,False
BZW2,88.0,84.0,19.692990277990024,38.07829600950437,True,4.0,2.0,88.0,-18.385305731514347,-38.07829600950437,-29.396064618164388,,,,0,False
C11orf54,1045.0,886.0,1.608917084740125,6.70805224685489,True,1045.0,159.0,656.0,-6.70805224685489,-6.417906370600576,-5.099135162114765,,,,0,False
C16orf87,182.0,74.0,9.6654930977392,21.80292638880316,True,129.0,182.0,55.0,-12.13743329106396,-21.80292638880316,-19.324209234269627,,,,0,False
C18orf32,74.0,40.0,0.8366002959957353,10.06265297080134,True,34.0,74.0,40.0,-9.226052674805604,-10.06265297080134,-9.762583015004797,,,,0,False
C1D,960.0,405.0,3.198242999068807,11.48845158583641,True,555.0,960.0,894.0,-8.290208586767603,-11.48845158583641,-8.626219110942989,,,,0,False
C1orf21,843.0,834.0,2.9778359026676338,9.946827336105551,True,843.0,9.0,9.0,-8.742933102152794,-5.76509719948516,-9.946827336105551,,,,0,False
C2CD2L,63.0,40.0,1.7180365005509142,6.60835591602004,True,23.0,63.0,5.0,-4.890319415469126,-6.60835591602004,-5.832198088349443,,,,0,False
C2CD5,61.0,59.0,2.211266326837844,21.67391211809361,True,2.0,61.0,2.0,-19.462645791255767,-17.64199265211617,-21.67391211809361,,,,0,False
C2orf15,267.0,259.0,0.7620681109038199,0.8799666381544479,True,8.0,14.0,267.0,-0.8799666381544479,-0.5547738020335015,-0.117898527250628,,,,0,False
C6orf120,56.0,39.0,4.109999498152483,20.466297590677364,True,17.0,40.0,56.0,-16.35629809252488,-20.466297590677364,-18.50969781477896,,,,0,False
C8orf33,264.0,250.0,11.301436756454786,24.49845336823674,True,264.0,85.0,14.0,-13.197016611781953,-24.49845336823674,-15.66325953203133,,,,0,False
CAAP1,65.0,58.0,3.9779104155782186,10.569610864951429,True,7.0,5.0,65.0,-6.59170044937321,-10.569610864951429,-8.975337065844453,,,,0,False
CAB39,129.0,119.0,1.6740552652257392,18.54453054108936,True,10.0,129.0,23.0,-16.870475275863622,-15.983469072568257,-18.54453054108936,,,,0,False
CABIN1,191.0,164.0,7.521128613898379,12.205210196362742,True,27.0,191.0,182.0,-4.684081582464363,-7.663605453317666,-12.205210196362742,,,,0,False
CALCOCO2,2352.0,2347.0,4.358594699522943,17.490058960424374,True,5.0,2352.0,484.0,-17.490058960424374,-13.131464260901431,-16.94831862645223,0.8696402064773731,7.441149884659058e-10,,0,True
CALR,63.0,50.0,3.584028910949882,14.180284100899131,True,63.0,13.0,35.0,-10.596255189949249,-13.338884032828448,-14.180284100899131,,,,0,False
CAMK1,61.0,16.0,7.234391573467883,10.879698110229633,True,46.0,30.0,61.0,-3.6453065367617503,-7.349514021730594,-10.879698110229633,,,,0,False
CAND1,1159.0,321.0,10.346604520271985,41.21398806461617,True,838.0,1159.0,929.0,-30.867383544344182,-40.10763809249842,-41.21398806461617,,,,0,False
CAP1,190.0,110.0,1.160884426512789,6.555670063201558,True,190.0,102.0,80.0,-6.555670063201558,-5.394785636688769,-5.641633550617785,,,,0,False
CAPZA1,55.0,52.0,2.614066719151552,23.02381926074684,True,3.0,55.0,53.0,-23.02381926074684,-21.86689575262942,-20.40975254159529,,,,0,False
CARD6,78.0,32.0,2.605000719459954,7.416949357840456,True,55.0,23.0,78.0,-7.416949357840456,-5.093588114556797,-4.811948638380502,,,,0,False
