gene,n_known_drugs,tractability_summary,novelty_flag,ot_status
IFNGR1,1,"SM: 2 bucket(s) [Structure with Ligand, Med-Quality Pocket]; AB: 4 bucket(s) [UniProt loc high conf, GO CC high conf, UniProt SigP or TMHMM...]; PR: 3 bucket(s) [UniProt Ubiquitination, Database Ubiquitination, Half-life Data]; OC: 1 bucket(s) [Approved Drug]",druggable_known,ok
IFNGR2,1,"SM: 1 bucket(s) [Structure with Ligand]; AB: 3 bucket(s) [UniProt loc high conf, GO CC high conf, UniProt SigP or TMHMM]; PR: 1 bucket(s) [Database Ubiquitination]; OC: 1 bucket(s) [Approved Drug]",druggable_known,ok
IKBKB,6,"SM: 4 bucket(s) [Advanced Clinical, Structure with Ligand, High-Quality Ligand...]; PR: 4 bucket(s) [UniProt Ubiquitination, Database Ubiquitination, Half-life Data...]",druggable_known,ok
IL23R,0,"AB: 3 bucket(s) [UniProt loc high conf, GO CC high conf, UniProt SigP or TMHMM]; PR: 1 bucket(s) [Small Molecule Binder]",novel_untapped,ok
IL4R,2,"AB: 5 bucket(s) [Approved Drug, GO CC high conf, UniProt loc med conf...]; PR: 1 bucket(s) [Database Ubiquitination]; OC: 1 bucket(s) [Advanced Clinical]",druggable_known,ok
IL7R,0,"AB: 4 bucket(s) [GO CC high conf, UniProt loc med conf, UniProt SigP or TMHMM...]; PR: 2 bucket(s) [UniProt Ubiquitination, Database Ubiquitination]",novel_untapped,ok
INPP5D,1,"SM: 2 bucket(s) [Advanced Clinical, Structure with Ligand]; AB: 3 bucket(s) [UniProt loc high conf, UniProt loc med conf, GO CC med conf]; PR: 2 bucket(s) [Database Ubiquitination, Half-life Data]",druggable_known,ok
INSIG1,0,"AB: 1 bucket(s) [UniProt SigP or TMHMM]; PR: 2 bucket(s) [UniProt Ubiquitination, Database Ubiquitination]",novel_untapped,ok
IRF1,0,"PR: 2 bucket(s) [UniProt Ubiquitination, Database Ubiquitination]",novel_untapped,ok
IRF4,0,"PR: 2 bucket(s) [Database Ubiquitination, Half-life Data]",novel_untapped,ok
ITK,4,"SM: 5 bucket(s) [Approved Drug, Structure with Ligand, High-Quality Ligand...]; AB: 1 bucket(s) [GO CC med conf]; PR: 5 bucket(s) [Literature, UniProt Ubiquitination, Database Ubiquitination...]",druggable_known,ok
LAMTOR4,0,"SM: 1 bucket(s) [Structure with Ligand]; PR: 2 bucket(s) [Database Ubiquitination, Half-life Data]",novel_untapped,ok
LAT,0,"AB: 4 bucket(s) [UniProt loc high conf, GO CC high conf, UniProt SigP or TMHMM...]; PR: 3 bucket(s) [UniProt Ubiquitination, Database Ubiquitination, Half-life Data]",novel_untapped,ok
LIG3,0,"SM: 2 bucket(s) [Structure with Ligand, High-Quality Pocket]; PR: 3 bucket(s) [Database Ubiquitination, Half-life Data, Small Molecule Binder]",novel_untapped,ok
LRBA,0,"SM: 1 bucket(s) [High-Quality Pocket]; AB: 3 bucket(s) [UniProt loc med conf, UniProt SigP or TMHMM, GO CC med conf]; PR: 2 bucket(s) [Database Ubiquitination, Half-life Data]",novel_untapped,ok
MALT1,1,"SM: 3 bucket(s) [Approved Drug, Structure with Ligand, High-Quality Ligand]; PR: 3 bucket(s) [Database Ubiquitination, Half-life Data, Small Molecule Binder]",druggable_known,ok
MED13,0,PR: 1 bucket(s) [Database Ubiquitination],novel_untapped,ok
MMGT1,0,"SM: 1 bucket(s) [Structure with Ligand]; AB: 2 bucket(s) [UniProt SigP or TMHMM, GO CC med conf]; PR: 2 bucket(s) [Database Ubiquitination, Half-life Data]",novel_untapped,ok
MTA3,0,"PR: 2 bucket(s) [Database Ubiquitination, Half-life Data]",novel_untapped,ok
MTCH2,0,"AB: 1 bucket(s) [UniProt SigP or TMHMM]; PR: 2 bucket(s) [Database Ubiquitination, Half-life Data]",novel_untapped,ok
MTG1,0,"SM: 1 bucket(s) [Structure with Ligand]; AB: 1 bucket(s) [UniProt loc high conf]; PR: 2 bucket(s) [Database Ubiquitination, Half-life Data]",novel_untapped,ok
MTHFD1L,0,"PR: 2 bucket(s) [Database Ubiquitination, Half-life Data]",novel_untapped,ok
