flagship,direction,pathway_name,overlap,query_size,p_value,fdr,expression_artifact_flag,pathway_size_bg
BCL10,down,Orc1 removal from chromatin,29,2037,7.652001397555246e-10,1.4208975008908625e-08,False,48
BCL10,down,Degradation of CRY and PER proteins,25,2037,8.617304686332429e-10,1.546806191196671e-08,False,38
BCL10,down,Respiratory electron transport,58,2037,8.611043161870624e-10,1.546806191196671e-08,False,136
BCL10,down,FBXL7 down-regulates AURKA during mitotic entry and in early mitosis,22,2037,9.829544852075132e-10,1.7354786566696584e-08,True,31
BCL10,down,S Phase,56,2037,1.0679351354985782e-09,1.8551066789225307e-08,False,130
BCL10,down,Regulation of expression of SLITs and ROBOs,28,2037,1.179622930908116e-09,2.0165934866476852e-08,False,46
BCL10,down,NIK-->noncanonical NF-kB signaling,24,2037,1.253941321773684e-09,2.1101481305472777e-08,False,36
BCL10,down,Regulation of activated PAK-2p34 by proteasome mediated degradation,21,2037,1.31415019358083e-09,2.1774457822870066e-08,False,29
BCL10,down,Metabolism of proteins,339,2037,1.482854182926562e-09,2.4197484166847084e-08,False,1294
BCL10,down,Aerobic respiration and respiratory electron transport,82,2037,1.6531102041276002e-09,2.657312969918546e-08,False,222
BCL10,down,APC/C:Cdc20 mediated degradation of Securin,27,2037,1.8119819261990667e-09,2.8282674413281084e-08,False,44
BCL10,down,GSK3B-mediated proteasomal degradation of PD-L1(CD274),23,2037,1.8031181569175883e-09,2.8282674413281084e-08,False,34
BCL10,down,Transport of Ribonucleoproteins into the Host Nucleus,19,2037,2.1324629448851303e-09,3.28094655948755e-08,False,25
BCL10,down,Regulation of Apoptosis,22,2037,2.5560668696467047e-09,3.823450025846529e-08,False,32
BCL10,down,SCF-beta-TrCP mediated degradation of Emi1,22,2037,2.5560668696467047e-09,3.823450025846529e-08,False,32
BCL10,down,Cap-dependent Translation Initiation,17,2037,2.822104858163661e-09,4.107306665192248e-08,True,21
BCL10,down,Eukaryotic Translation Initiation,17,2037,2.822104858163661e-09,4.107306665192248e-08,True,21
BCL10,down,Dectin-1 mediated noncanonical NF-kB signaling,24,2037,2.898539731419055e-09,4.162303054317764e-08,False,37
BCL10,down,APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1,29,2037,2.9378559859422582e-09,4.1632511800787006e-08,False,50
BCL10,down,Cellular responses to stress,155,2037,3.129428376009896e-09,4.3771355337177386e-08,False,509
BCL10,down,Vpu mediated degradation of CD4,21,2037,3.561010207401928e-09,4.916933324835739e-08,False,30
BCL10,down,Degradation of DVL,23,2037,4.272599615854225e-09,5.824797197816458e-08,False,35
BCL10,down,Transport of Mature mRNA derived from an Intron-Containing Transcript,29,2037,5.525688381166755e-09,7.438957983145748e-08,True,51
BCL10,down,Autodegradation of Cdh1 by Cdh1:APC/C,26,2037,5.691991434834068e-09,7.568240463353445e-08,False,43
BCL10,down,Vif-mediated degradation of APOBEC3G,22,2037,6.231964280062041e-09,8.185153084910754e-08,False,33
BCL10,down,SCF(Skp2)-mediated degradation of p27/p21,24,2037,6.390212753337584e-09,8.291878476318768e-08,False,38
BCL10,down,CDK-mediated phosphorylation and removal of Cdc6,28,2037,8.731972787140478e-09,1.1195636537797969e-07,False,49
BCL10,down,Autodegradation of the E3 ubiquitin ligase COP1,21,2037,8.974927224010212e-09,1.1371760729716469e-07,False,31
BCL10,down,Late Phase of HIV Life Cycle,44,2037,9.708441039753084e-09,1.2158129069551244e-07,False,97
BCL10,down,Complex I biogenesis,32,2037,1.3229115236006422e-08,1.637673230940105e-07,False,61
BCL10,down,Asymmetric localization of PCP proteins,22,2037,1.4351515505826871e-08,1.7173980221972829e-07,False,34
BCL10,down,Negative Regulation of DNA Double Strand Break Response,22,2037,1.4351515505826871e-08,1.7173980221972829e-07,False,34
BCL10,down,Somitogenesis,22,2037,1.4351515505826871e-08,1.7173980221972829e-07,False,34
BCL10,down,HIV Life Cycle,47,2037,1.5693740999744274e-08,1.8573801161235805e-07,False,108
BCL10,down,Activation of NF-kappaB in B cells,25,2037,1.7620477831647823e-08,2.040565013406957e-07,False,42
BCL10,down,Ribosome Quality Control (RQC) complex extracts and degrades nascent peptide,25,2037,1.7620477831647823e-08,2.040565013406957e-07,True,42
BCL10,down,Cross-presentation of soluble exogenous antigens (endosomes),21,2037,2.1229115173249612e-08,2.4067112675357716e-07,False,32
BCL10,down,GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2,21,2037,2.1229115173249612e-08,2.4067112675357716e-07,False,32
BCL10,down,Cdc20:Phospho-APC/C mediated degradation of Cyclin A,27,2037,2.5573209510793783e-08,2.8394171797035985e-07,False,48
BCL10,down,Ribosome-associated quality control,27,2037,2.5573209510793783e-08,2.8394171797035985e-07,True,48
BCL10,down,Ubiquitin-Mediated Degradation of Phosphorylated Cdc25A,24,2037,2.7409650534304776e-08,2.9818377399440653e-07,False,40
BCL10,down,p53-Independent G1/S DNA Damage Checkpoint,24,2037,2.7409650534304776e-08,2.9818377399440653e-07,False,40
BCL10,down,mRNA Splicing - Minor Pathway,20,2037,3.105468993031644e-08,3.344590105495081e-07,True,30
BCL10,down,Regulation of RUNX2 expression and activity,25,2037,3.41878200494447e-08,3.64557249438138e-07,False,43
BCL10,down,SUMOylation of SUMOylation proteins,19,2037,4.4809829605093574e-08,4.731390831831939e-07,False,28
BCL10,down,APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint,27,2037,4.624200003527745e-08,4.77847076518926e-07,True,49
BCL10,down,GTP hydrolysis and joining of the 60S ribosomal subunit,15,2037,4.735207347385298e-08,4.77847076518926e-07,True,19
BCL10,down,Hh mutants are degraded by ERAD,21,2037,4.7474129236327854e-08,4.77847076518926e-07,False,33
BCL10,down,NS1 Mediated Effects on Host Pathways,21,2037,4.7474129236327854e-08,4.77847076518926e-07,False,33
BCL10,down,Negative regulation of NOTCH4 signaling,21,2037,4.7474129236327854e-08,4.77847076518926e-07,False,33
BCL10,down,rRNA modification in the nucleus and cytosol,14,2037,5.179569085624201e-08,5.16518139371969e-07,True,17
BCL10,down,Assembly of the pre-replicative complex,34,2037,5.7846091235408786e-08,5.715618372526171e-07,False,70
BCL10,down,Stabilization of p53,22,2037,6.565717612442998e-08,6.428434426001007e-07,False,36
BCL10,down,Degradation of AXIN,21,2037,1.0097988987790637e-07,9.535982574720902e-07,False,34
BCL10,down,Degradation of GLI2 by the proteasome,21,2037,1.0097988987790637e-07,9.535982574720902e-07,False,34
BCL10,down,GLI3 is processed to GLI3R by the proteasome,21,2037,1.0097988987790637e-07,9.535982574720902e-07,False,34
BCL10,down,Hh mutants abrogate ligand secretion,21,2037,1.0097988987790637e-07,9.535982574720902e-07,False,34
BCL10,down,Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha,24,2037,1.0182339796591493e-07,9.535982574720902e-07,False,42
BCL10,down,DNA Replication,47,2037,1.184932375317919e-07,1.1001484208770678e-06,True,114
BCL10,down,Protein localization,53,2037,1.306271520886007e-07,1.20243968204635e-06,False,135
BCL10,down,APC/C:Cdc20 mediated degradation of mitotic proteins,27,2037,1.4082927776131138e-07,1.285365526685867e-06,True,51
BCL10,down,Cyclin E associated events during G1/S transition,30,2037,1.5340125242441398e-07,1.3864942841158885e-06,False,60
BCL10,down,SUMOylation of ubiquitinylation proteins,20,2037,1.544840427984277e-07,1.3864942841158885e-06,False,32
BCL10,down,DNA Replication Pre-Initiation,38,2037,1.570804040440764e-07,1.3981454145080188e-06,True,85
BCL10,down,Cellular responses to stimuli,165,2037,1.777961333393039e-07,1.5695609475936906e-06,False,580
BCL10,down,"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",14,2037,1.9030419011581445e-07,1.6528839738284851e-06,True,18
BCL10,down,Ribosomal scanning and start codon recognition,14,2037,1.9030419011581445e-07,1.6528839738284851e-06,True,18
BCL10,down,Cytosolic tRNA aminoacylation,12,2037,2.1913254657893402e-07,1.8880460213240957e-06,True,14
BCL10,down,Cellular response to hypoxia,26,2037,2.260984163334056e-07,1.9326031300879195e-06,False,49
BCL10,down,Nuclear events mediated by NFE2L2,32,2037,2.3176279030503402e-07,1.965421457941115e-06,False,67
BCL10,down,Nuclear Pore Complex (NPC) Disassembly,19,2037,2.3482350640089457e-07,1.975819659326277e-06,False,30
BCL10,down,Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins,27,2037,2.378674530951215e-07,1.985916643282526e-06,True,52
BCL10,down,Defective CFTR causes cystic fibrosis,22,2037,2.542895846632147e-07,2.106691405248325e-06,False,38
BCL10,down,AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274),24,2037,3.347975336196527e-07,2.7316435129421663e-06,False,44
BCL10,down,Formation of paraxial mesoderm,24,2037,3.347975336196527e-07,2.7316435129421663e-06,False,44
BCL10,down,Cyclin A:Cdk2-associated events at S phase entry,30,2037,3.852394812386856e-07,3.1195708367974763e-06,False,62
BCL10,down,Degradation of GLI1 by the proteasome,21,2037,4.008899800656571e-07,3.1982111743015757e-06,False,36
BCL10,down,Hedgehog ligand biogenesis,21,2037,4.008899800656571e-07,3.1982111743015757e-06,False,36
BCL10,down,Selenoamino acid metabolism,15,2037,4.413084148851729e-07,3.4947732561127294e-06,False,21
BCL10,down,G1/S Transition,43,2037,5.060330978481788e-07,3.9780850100911565e-06,False,105
BCL10,down,Postmitotic nuclear pore complex (NPC) reformation,14,2037,5.905701167133065e-07,4.609014606523413e-06,True,19
BCL10,down,Regulation of APC/C activators between G1/S and early anaphase,27,2037,6.396332645200639e-07,4.956007380489991e-06,False,54
BCL10,down,L13a-mediated translational silencing of Ceruloplasmin expression,13,2037,7.536450823612692e-07,5.680489764751164e-06,True,17
BCL10,down,Regulation of RUNX3 expression and activity,21,2037,7.54234017046812e-07,5.680489764751164e-06,False,37
BCL10,down,SUMOylation of RNA binding proteins,21,2037,7.54234017046812e-07,5.680489764751164e-06,False,37
BCL10,down,Translation initiation complex formation,13,2037,7.536450823612692e-07,5.680489764751164e-06,True,17
BCL10,down,Cell Cycle,152,2037,8.720822472227256e-07,6.522448474019968e-06,True,538
BCL10,down,APC/C-mediated degradation of cell cycle proteins,29,2037,9.58296932750102e-07,7.069080798437397e-06,True,61
BCL10,down,Regulation of mitotic cell cycle,29,2037,9.58296932750102e-07,7.069080798437397e-06,True,61
BCL10,down,Nuclear Envelope Breakdown,24,2037,9.910146569861193e-07,7.211640443067909e-06,False,46
BCL10,down,Regulation of PTEN stability and activity,24,2037,9.910146569861193e-07,7.211640443067909e-06,False,46
BCL10,down,PERK regulates gene expression,15,2037,1.1319768979087224e-06,8.182141738575126e-06,False,22
BCL10,down,Regulation of RAS by GAPs,22,2037,1.5050136188350564e-06,1.0805997783235704e-05,False,41
BCL10,down,Glycolysis,26,2037,1.6432267486489971e-06,1.1664712302694117e-05,False,53
BCL10,down,The role of GTSE1 in G2/M progression after G2 checkpoint,24,2037,1.6462732312065977e-06,1.1664712302694117e-05,False,47
BCL10,down,Mitotic Anaphase,62,2037,1.680395543391463e-06,1.1828666668186964e-05,True,178
BCL10,down,Metabolism of nucleotides,32,2037,1.7339290986577064e-06,1.2126244410742532e-05,False,72
BCL10,down,Mitotic Metaphase and Anaphase,62,2037,2.0818179402201485e-06,1.4465276913658709e-05,True,179
BCL10,down,SUMOylation of DNA replication proteins,21,2037,2.4187826674128e-06,1.66989034154076e-05,True,39
BCL10,down,FCERI mediated NF-kB activation,26,2037,2.5751349839115808e-06,1.7665097946960334e-05,False,54
BCL10,down,"Cell Cycle, Mitotic",124,2037,2.653918746529302e-06,1.786945752484745e-05,True,429
BCL10,down,p53-Dependent G1 DNA Damage Response,23,2037,2.654701210747996e-06,1.786945752484745e-05,False,45
BCL10,down,p53-Dependent G1/S DNA damage checkpoint,23,2037,2.654701210747996e-06,1.786945752484745e-05,False,45
BCL10,down,SLC transporter disorders,24,2037,2.6768856305376405e-06,1.7906868472602726e-05,False,48
BCL10,down,Glucose metabolism,27,2037,3.7559442202685313e-06,2.4970073612525977e-05,False,58
BCL10,down,Mitochondrial RNA degradation,9,2037,3.840997682114418e-06,2.5071239415983205e-05,False,10
BCL10,down,Nucleotide biosynthesis,9,2037,3.840997682114418e-06,2.5071239415983205e-05,False,10
BCL10,down,SARS-CoV-2 modulates host translation machinery,9,2037,3.840997682114418e-06,2.5071239415983205e-05,True,10
BCL10,down,Mitochondrial translation,14,2037,3.941423732708915e-06,2.5571767229683745e-05,True,21
BCL10,down,Downstream signaling events of B Cell Receptor (BCR),26,2037,3.968926639522338e-06,2.5596011920751845e-05,False,55
BCL10,down,Degradation of CDH1,21,2037,4.144485710431917e-06,2.6569113750804612e-05,False,40
BCL10,down,TNFR2 non-canonical NF-kB pathway,30,2037,4.372834461024677e-06,2.786711665398566e-05,False,68
BCL10,down,Cristae formation,17,2037,4.759817038223446e-06,2.9978496784600304e-05,False,29
BCL10,down,tRNA Aminoacylation,17,2037,4.759817038223446e-06,2.9978496784600304e-05,True,29
BCL10,down,Disease,323,2037,5.082399302373651e-06,3.1824093306141986e-05,False,1319
BCL10,down,Antimicrobial mechanism of IFN-stimulated genes,52,2037,5.4498647099339e-06,3.3927770477449774e-05,False,146
BCL10,down,G2/M Checkpoints,44,2037,5.714217087331685e-06,3.5166924588892714e-05,False,117
BCL10,down,SARS-CoV-2-host interactions,44,2037,5.714217087331685e-06,3.5166924588892714e-05,False,117
BCL10,down,G1/S DNA Damage Checkpoints,26,2037,6.021306904635743e-06,3.684629281984486e-05,False,56
BCL10,down,DNA Double-Strand Break Repair,54,2037,6.169354808542943e-06,3.753895552994774e-05,False,154
BCL10,down,Separation of Sister Chromatids,51,2037,6.400582988212769e-06,3.8727122911826696e-05,False,143
BCL10,down,tRNA modification in the nucleus and cytosol,20,2037,6.6845245524527165e-06,4.0219178452466904e-05,True,38
BCL10,down,ABC transporter disorders,22,2037,6.970910525919313e-06,4.1709281313417226e-05,False,44
BCL10,down,Cell Cycle Checkpoints,74,2037,7.400916227615215e-06,4.4037496006307104e-05,True,232
BCL10,down,Mitotic G1 phase and G1/S transition,45,2037,8.1290806862548e-06,4.7831848256900705e-05,True,122
BCL10,down,RNA Polymerase III Transcription Initiation From Type 1 Promoter,12,2037,8.171829228662702e-06,4.7831848256900705e-05,False,17
BCL10,down,rRNA processing in the mitochondrion,12,2037,8.171829228662702e-06,4.7831848256900705e-05,True,17
BCL10,down,ABC-family protein mediated transport,27,2037,8.313462371770538e-06,4.8397832294037134e-05,False,60
BCL10,down,RUNX1 regulates transcription of genes involved in differentiation of HSCs,24,2037,1.0248725113645917e-05,5.9343424448369095e-05,False,51
