target_gene,directionality_index,binom_fdr,binom_p,footprint_class,signed_net,primary_rank,n_hits,neglog10fdr
CRTAP,0.5934959349593496,2.2846398404843918e-20,1.296966308854839e-21,net_derepressed_on_KO,146,145.0,246,19.641182254070518
CAB39,0.5925925925925926,1.6477001338085008e-13,1.2998168966363252e-14,net_derepressed_on_KO,96,146.0,162,12.78312182302841
IRF8,0.5918367346938775,2.7482420201191192e-08,2.8720914669754686e-09,net_derepressed_on_KO,58,147.0,98,7.560945024387592
ATF7IP2,0.590735146022155,0.0,0.0,net_derepressed_on_KO,2933,148.0,4965,300.0
PRCP,0.5897435897435898,9.274980358459723e-10,8.889484446408731e-11,net_derepressed_on_KO,69,149.0,117,9.032687001413358
EIF1AX,0.5895732174801942,1.7936203094e-314,1.652954e-317,net_derepressed_on_KO,2307,150.0,3913,300.0
TGIF2,0.5892857142857143,2.410887366428264e-09,2.3795598280754504e-10,net_derepressed_on_KO,66,151.0,112,8.617823078830888
RNF19B,0.589041095890411,4.1529928142010624e-47,1.1443598299199316e-48,net_derepressed_on_KO,344,152.0,584,46.38163882033619
XBP1,-0.589010989010989,3.605246342803902e-73,5.548577451370857e-75,net_reduced_on_KO,-536,153.0,910,72.44306505503187
CRY1,0.5885167464114832,4.523895505135528e-17,3.0226009042698898e-18,net_derepressed_on_KO,123,154.0,209,16.344487435149578
RSBN1L,-0.5874439461883408,4.083490486772559e-18,2.585345096684866e-19,net_reduced_on_KO,-131,155.0,223,17.38896845184161
GBA1,0.5862068965517241,5.7284247698215226e-05,8.219663963332515e-06,net_derepressed_on_KO,34,156.0,58,4.241964786030183
DEK,0.5855855855855856,6.410779932393612e-18,4.1119738576591594e-19,net_derepressed_on_KO,130,157.0,222,17.19308913120978
TBL1X,0.5843137254901961,2.0166565295098326e-20,1.1411179698820729e-21,net_derepressed_on_KO,149,158.0,255,19.695368063136122
TBC1D31,0.5833333333333334,6.77088338058804e-08,7.319367989521492e-09,net_derepressed_on_KO,56,159.0,96,7.169354666279855
PFDN5,0.5807560137457045,5.926136358806767e-23,3.0365236526555727e-24,net_derepressed_on_KO,169,160.0,291,22.227228359741552
RHEB,0.58,1.6575581341210858e-85,2.0011069539200283e-87,net_derepressed_on_KO,638,161.0,1100,84.78053123101655
ZNF554,0.5798561151079137,6.480394393968355e-108,5.49439023357376e-110,net_derepressed_on_KO,806,162.0,1390,107.18839856235287
PABIR1,0.5737704918032787,3.1341146504770375e-14,2.377086312176391e-15,net_derepressed_on_KO,105,163.0,183,13.503885120452374
EID2,0.5719298245614035,8.869985945996422e-22,4.716599291162046e-23,net_derepressed_on_KO,163,164.0,285,21.052077068283385
MYH9,0.5714285714285714,4.891106679358115e-14,3.750254130703116e-15,net_derepressed_on_KO,104,165.0,182,13.310592864729054
MANEA,0.5704225352112676,1.3893440803950881e-21,7.426224003586315e-23,net_derepressed_on_KO,162,166.0,284,20.857190184995687
ATP1B3,0.57001414427157,3.8842643193908604e-53,9.772409540076535e-55,net_derepressed_on_KO,403,167.0,707,52.41069122455521
TRIM14,-0.5697674418604651,3.2807951737434833e-13,2.6334647464109974e-14,net_reduced_on_KO,-98,168.0,172,12.484020882594661
RESF1,0.5681818181818182,6.596990991058506e-07,7.8366246313468e-08,net_derepressed_on_KO,50,169.0,88,6.1806541089976506
TMEM245,0.5668202764976958,2.2131747375978267e-16,1.5113468625564367e-17,net_derepressed_on_KO,123,170.0,217,15.654984295707333
SMG1,0.5659349213763039,0.0,0.0,net_derepressed_on_KO,3635,171.0,6423,300.0
SAMD1,0.565816678152998,6.410923035582433e-107,5.671814684507546e-109,net_derepressed_on_KO,821,172.0,1451,106.19307943687738
WRN,0.5643564356435643,9.221388942414425e-08,1.0121347553603893e-08,net_derepressed_on_KO,57,173.0,101,7.035203659792825
LIG4,0.5614035087719298,1.2764817136224605e-08,1.3151843662610918e-09,net_derepressed_on_KO,64,174.0,114,7.893985402347975
UBE2H,0.5596330275229358,1.2004528381277107e-31,4.712864335475115e-33,net_derepressed_on_KO,244,175.0,436,30.920654897283942
NIPSNAP3A,-0.559322033898305,0.0001278362965739,1.9167786796225883e-05,net_reduced_on_KO,-33,176.0,59,3.8933458193881605
HSDL2,0.5589519650655022,3.808207200398521e-33,1.4529515998202815e-34,net_derepressed_on_KO,256,177.0,458,32.419279430155825
CEP44,-0.5584415584415584,6.813302347033244e-06,8.909847968334875e-07,net_reduced_on_KO,-43,178.0,77,5.1666423383856195
IFFO2,0.5569620253164557,1.2875115378043132e-11,1.1200911360125994e-12,net_derepressed_on_KO,88,179.0,158,10.890248870417027
PXMP4,0.556135770234987,1.7475378106963367e-27,7.746435231268436e-29,net_derepressed_on_KO,213,180.0,383,26.757573418844583
SLC25A32,0.5555555555555556,4.071592147144958e-06,5.204403564731414e-07,net_derepressed_on_KO,45,181.0,81,5.390235731927579
