gene,kinetic_archetype,de_Rest,de_Stim8hr,de_Stim48hr,is_ctx_specific
BZW2,late_sustained(晚期持續),4.0,2.0,88.0,False
C11orf54,other(其他),1045.0,159.0,656.0,False
C16orf87,early_transient(早期瞬態),129.0,182.0,55.0,False
C18orf32,other(其他),34.0,74.0,40.0,False
C1D,other(其他),555.0,960.0,894.0,False
C1orf21,other(其他),843.0,9.0,9.0,False
C2CD2L,early_transient(早期瞬態),23.0,63.0,5.0,False
C2CD5,early_transient(早期瞬態),2.0,61.0,2.0,False
C2orf15,late_sustained(晚期持續),8.0,14.0,267.0,False
C6orf120,late_sustained(晚期持續),17.0,40.0,56.0,False
C8orf33,other(其他),264.0,85.0,14.0,False
CAAP1,late_sustained(晚期持續),7.0,5.0,65.0,False
CAB39,early_transient(早期瞬態),10.0,129.0,23.0,False
CABIN1,other(其他),27.0,191.0,182.0,False
CALCOCO2,early_transient(早期瞬態),5.0,2352.0,484.0,True
CALR,other(其他),63.0,13.0,35.0,False
CAMK1,late_sustained(晚期持續),46.0,30.0,61.0,False
CAND1,other(其他),838.0,1159.0,929.0,False
CAP1,other(其他),190.0,102.0,80.0,False
CAPZA1,other(其他),3.0,55.0,53.0,False
CARD6,late_sustained(晚期持續),55.0,23.0,78.0,False
CARM1,late_sustained(晚期持續),108.0,203.0,379.0,False
CARMIL2,other(其他),86.0,2545.0,1918.0,False
CARNMT1,late_sustained(晚期持續),13.0,47.0,58.0,False
CASC3,other(其他),1239.0,1431.0,1028.0,False
CASK,late_sustained(晚期持續),121.0,17.0,170.0,False
CASP9,other(其他),754.0,1.0,4.0,False
CATSPERG,late_sustained(晚期持續),5.0,13.0,223.0,False
CAV1,other(其他),95.0,1.0,10.0,False
CBFA2T2,other(其他),300.0,2.0,2.0,False
CBLB,early_transient(早期瞬態),6.0,1028.0,180.0,True
CBLL1,early_transient(早期瞬態),302.0,532.0,232.0,False
CBX3,late_sustained(晚期持續),66.0,97.0,132.0,False
CBX5,late_sustained(晚期持續),49.0,233.0,562.0,True
CCDC134,late_sustained(晚期持續),9.0,32.0,112.0,False
CCDC136,late_sustained(晚期持續),17.0,38.0,263.0,False
CCDC138,early_transient(早期瞬態),178.0,962.0,16.0,False
CCDC22,late_sustained(晚期持續),116.0,1.0,619.0,False
CCDC6,other(其他),102.0,185.0,145.0,False
CCDC90B,late_sustained(晚期持續),1.0,1.0,106.0,False
CCDC93,late_sustained(晚期持續),102.0,92.0,403.0,False
CCL5,other(其他),98.0,20.0,3.0,False
CCNA2,early_transient(早期瞬態),467.0,818.0,384.0,False
CCNC,late_sustained(晚期持續),2731.0,2271.0,4091.0,False
CCND2,early_transient(早期瞬態),1287.0,1321.0,3.0,False
CCND3,late_sustained(晚期持續),1.0,1.0,200.0,True
CCNF,other(其他),615.0,125.0,197.0,False
CCNK,other(其他),148.0,662.0,368.0,False
CCNQ,other(其他),466.0,777.0,412.0,False
CCR4,other(其他),508.0,61.0,5.0,False
CD2,late_sustained(晚期持續),4.0,669.0,989.0,True
CD247,early_transient(早期瞬態),5.0,4330.0,828.0,True
CD274,other(其他),24.0,167.0,102.0,False
CD28,late_sustained(晚期持續),5.0,1506.0,1798.0,True
CD3E,early_transient(早期瞬態),4.0,5711.0,1586.0,True
CD5,late_sustained(晚期持續),8.0,358.0,1201.0,True
CD99L2,unknown,,50.0,113.0,False
CDADC1,other(其他),173.0,36.0,4.0,False
CDC25B,other(其他),1256.0,1208.0,31.0,False
CDCA3,other(其他),127.0,74.0,70.0,False
CDIPT,early_transient(早期瞬態),24.0,376.0,1.0,False
CDK13,late_sustained(晚期持續),558.0,672.0,890.0,False
CDK2,late_sustained(晚期持續),1.0,58.0,347.0,False
CDK5RAP3,early_transient(早期瞬態),132.0,240.0,52.0,False
CDKN2AIP,late_sustained(晚期持續),113.0,102.0,120.0,False
CEP104,other(其他),58.0,4.0,7.0,False
CEP135,late_sustained(晚期持續),2.0,38.0,125.0,False
CEP43,other(其他),995.0,229.0,483.0,False
CEP44,other(其他),72.0,2.0,3.0,False
CEP89,late_sustained(晚期持續),31.0,49.0,176.0,False
CFAP20,late_sustained(晚期持續),455.0,863.0,1293.0,False
CFAP298,unknown,487.0,1425.0,,False
CFAP97,other(其他),601.0,1.0,3.0,False
CHD4,early_transient(早期瞬態),1200.0,1517.0,417.0,False
CHD7,early_transient(早期瞬態),1254.0,2278.0,1030.0,False
CHIC2,other(其他),32.0,75.0,59.0,False
CHMP1A,other(其他),570.0,87.0,7.0,False
CHMP4A,early_transient(早期瞬態),41.0,100.0,20.0,False
CHTF18,late_sustained(晚期持續),136.0,86.0,858.0,False
CIT,other(其他),74.0,54.0,35.0,False
CKAP4,other(其他),441.0,16.0,4.0,False
CLCC1,late_sustained(晚期持續),239.0,680.0,1732.0,False
CLPB,late_sustained(晚期持續),5.0,5.0,286.0,False
CLUH,late_sustained(晚期持續),32.0,27.0,103.0,False
CMTM7,late_sustained(晚期持續),82.0,47.0,92.0,False
CMTR1,early_transient(早期瞬態),154.0,195.0,24.0,False
CNBP,other(其他),53.0,262.0,252.0,False
CNOT10,late_sustained(晚期持續),43.0,81.0,91.0,False
CNOT4,late_sustained(晚期持續),143.0,505.0,958.0,False
CNOT6L,late_sustained(晚期持續),6.0,29.0,109.0,False
COA3,late_sustained(晚期持續),112.0,253.0,534.0,False
COA6,late_sustained(晚期持續),5.0,10.0,106.0,False
COA7,late_sustained(晚期持續),43.0,200.0,544.0,True
COLGALT1,late_sustained(晚期持續),5.0,9.0,326.0,False
COMMD10,late_sustained(晚期持續),99.0,143.0,179.0,False
COMMD4,late_sustained(晚期持續),36.0,8.0,111.0,False
COMMD5,late_sustained(晚期持續),7.0,124.0,222.0,False
COMMD7,late_sustained(晚期持續),2.0,3.0,113.0,False
COMMD8,late_sustained(晚期持續),57.0,6.0,284.0,False
COP1,early_transient(早期瞬態),71.0,213.0,40.0,False
COPRS,late_sustained(晚期持續),76.0,182.0,461.0,False
COPS9,late_sustained(晚期持續),10.0,45.0,89.0,False
COQ6,late_sustained(晚期持續),20.0,229.0,800.0,True
COX15,late_sustained(晚期持續),15.0,98.0,247.0,False
COX16,late_sustained(晚期持續),2.0,4.0,62.0,False
COX17,late_sustained(晚期持續),1.0,90.0,98.0,False
COX18,late_sustained(晚期持續),3.0,5.0,398.0,False
COX19,late_sustained(晚期持續),26.0,310.0,484.0,False
COX20,other(其他),111.0,4.0,6.0,False
COX6B1,early_transient(早期瞬態),31.0,131.0,20.0,False
COX6C,early_transient(早期瞬態),267.0,1494.0,568.0,False
COX7C,late_sustained(晚期持續),3.0,35.0,115.0,False
CPOX,other(其他),326.0,4.0,13.0,False
CPSF6,other(其他),2158.0,2487.0,1390.0,False
CREB1,late_sustained(晚期持續),200.0,436.0,489.0,False
CREBBP,other(其他),1562.0,2969.0,1957.0,False
CRLS1,late_sustained(晚期持續),111.0,50.0,835.0,False
CROT,early_transient(早期瞬態),146.0,283.0,46.0,False
CRTAP,early_transient(早期瞬態),77.0,161.0,8.0,False
CRTC2,other(其他),367.0,3.0,7.0,False
CRY1,other(其他),197.0,6.0,6.0,False
CRYZL1,other(其他),1212.0,736.0,17.0,False
CSDE1,other(其他),1814.0,1053.0,690.0,False
CSK,other(其他),548.0,326.0,49.0,False
CSNK2A1,other(其他),296.0,139.0,293.0,False
CSNK2A2,other(其他),110.0,23.0,12.0,False
CTDSP2,late_sustained(晚期持續),2.0,3.0,120.0,False
CTDSPL2,late_sustained(晚期持續),409.0,478.0,737.0,False
CTH,late_sustained(晚期持續),2.0,0.0,154.0,False
CTNNB1,late_sustained(晚期持續),7.0,24.0,60.0,False
CTPS1,early_transient(早期瞬態),79.0,892.0,253.0,False
CTSF,other(其他),284.0,0.0,0.0,False
CTSO,late_sustained(晚期持續),2.0,3.0,98.0,False
CTU1,other(其他),454.0,297.0,50.0,False
CUL3,other(其他),693.0,585.0,670.0,False
CUL4A,late_sustained(晚期持續),7.0,13.0,103.0,False
CUL4B,other(其他),572.0,99.0,22.0,False
CYB561D2,other(其他),393.0,88.0,7.0,False
CYB5R4,other(其他),258.0,1675.0,1028.0,False
CYB5RL,late_sustained(晚期持續),11.0,1.0,389.0,False
CYLD,other(其他),96.0,46.0,2.0,False
CYP4V2,other(其他),265.0,80.0,55.0,False
CYTH3,early_transient(早期瞬態),36.0,99.0,1.0,False
DAP,late_sustained(晚期持續),6.0,227.0,266.0,False
DAXX,early_transient(早期瞬態),65.0,251.0,5.0,False
DCAF11,early_transient(早期瞬態),20.0,137.0,8.0,False
DCAF4,late_sustained(晚期持續),1.0,1.0,126.0,False
DCAF5,late_sustained(晚期持續),52.0,67.0,159.0,False
DCAKD,early_transient(早期瞬態),546.0,1498.0,112.0,False
DCTPP1,other(其他),177.0,2.0,6.0,False
DDIT4,late_sustained(晚期持續),4.0,1.0,318.0,False
DDX17,other(其他),891.0,763.0,141.0,False
DDX31,late_sustained(晚期持續),7.0,39.0,76.0,False
DDX6,late_sustained(晚期持續),669.0,986.0,1155.0,False
DDX60L,early_transient(早期瞬態),6.0,197.0,67.0,False
DEF6,early_transient(早期瞬態),1.0,60.0,23.0,False
DEF8,late_sustained(晚期持續),103.0,104.0,245.0,False
DEGS1,early_transient(早期瞬態),28.0,85.0,3.0,False
DEK,other(其他),94.0,46.0,82.0,False
DENND2D,other(其他),317.0,8.0,8.0,False
DENR,early_transient(早期瞬態),1897.0,3637.0,1483.0,False
DEPDC5,other(其他),70.0,9.0,1.0,False
DGKZ,other(其他),28.0,128.0,94.0,False
DHRS7,early_transient(早期瞬態),41.0,178.0,29.0,False
DHX30,late_sustained(晚期持續),5.0,26.0,277.0,False
DHX36,other(其他),2327.0,1809.0,2299.0,False
DIPK1A,early_transient(早期瞬態),1.0,142.0,1.0,False
DIS3L,early_transient(早期瞬態),20.0,270.0,27.0,False
DIS3L2,early_transient(早期瞬態),474.0,581.0,18.0,False
DLAT,late_sustained(晚期持續),3.0,1.0,1116.0,True
DLG4,other(其他),1286.0,41.0,29.0,False
DMXL1,late_sustained(晚期持續),1.0,14.0,51.0,False
DNAAF5,late_sustained(晚期持續),2.0,10.0,145.0,False
DNAJC24,late_sustained(晚期持續),211.0,442.0,464.0,False
DNAJC3,late_sustained(晚期持續),69.0,59.0,128.0,False
DNTTIP1,other(其他),237.0,2725.0,1904.0,False
DOCK2,other(其他),1180.0,328.0,664.0,False
DOHH,other(其他),339.0,1563.0,1052.0,False
DOLPP1,other(其他),580.0,2718.0,1506.0,False
DOP1B,late_sustained(晚期持續),989.0,611.0,3241.0,False
DOT1L,late_sustained(晚期持續),123.0,176.0,436.0,False
DPH1,early_transient(早期瞬態),91.0,509.0,143.0,False
DPH2,late_sustained(晚期持續),54.0,19.0,171.0,False
DPH5,late_sustained(晚期持續),484.0,684.0,1254.0,False
DPH6,late_sustained(晚期持續),32.0,157.0,718.0,True
DPM2,early_transient(早期瞬態),1.0,58.0,2.0,False
DR1,late_sustained(晚期持續),103.0,435.0,595.0,False
DTWD1,late_sustained(晚期持續),38.0,38.0,173.0,False
DUSP4,early_transient(早期瞬態),2.0,56.0,1.0,False
DYNLT2B,other(其他),189.0,1.0,1.0,False
DZIP1,early_transient(早期瞬態),7.0,137.0,38.0,False
EARS2,late_sustained(晚期持續),50.0,277.0,408.0,False
ECI2,early_transient(早期瞬態),2.0,78.0,1.0,False
ECSIT,late_sustained(晚期持續),11.0,26.0,694.0,True
EDC3,other(其他),914.0,778.0,132.0,False
EDF1,late_sustained(晚期持續),9.0,11.0,64.0,False
EFHC1,other(其他),382.0,1.0,0.0,False
EGLN1,early_transient(早期瞬態),1.0,108.0,13.0,False
EGR2,early_transient(早期瞬態),0.0,855.0,254.0,True
EGR3,early_transient(早期瞬態),11.0,102.0,2.0,False
EHBP1,early_transient(早期瞬態),4.0,56.0,15.0,False
EHMT2,other(其他),1429.0,1178.0,1007.0,False
EID2,other(其他),96.0,95.0,94.0,False
EIF1,other(其他),343.0,732.0,505.0,False
EIF1AX,early_transient(早期瞬態),1289.0,2577.0,47.0,False
EIF2AK1,late_sustained(晚期持續),1.0,1.0,123.0,False
EIF3L,late_sustained(晚期持續),142.0,198.0,206.0,False
EIF4B,other(其他),103.0,54.0,90.0,False
EIF4G2,other(其他),2014.0,2530.0,1830.0,False
EIF4H,early_transient(早期瞬態),94.0,225.0,25.0,False
ELAVL1,other(其他),2164.0,2170.0,2008.0,False
ELF4,other(其他),86.0,67.0,12.0,False
ELOB,other(其他),1491.0,3052.0,2340.0,False
ELOC,early_transient(早期瞬態),64.0,263.0,6.0,False
ELP3,early_transient(早期瞬態),666.0,996.0,188.0,False
ELP5,early_transient(早期瞬態),397.0,571.0,207.0,False
ELP6,other(其他),73.0,56.0,38.0,False
EMB,other(其他),9.0,60.0,46.0,False
EMC3,late_sustained(晚期持續),12.0,54.0,157.0,False
EMC4,late_sustained(晚期持續),61.0,39.0,596.0,False
EMC9,early_transient(早期瞬態),38.0,176.0,23.0,False
EML2,other(其他),59.0,343.0,309.0,False
ENDOG,other(其他),287.0,159.0,7.0,False
EOLA1,other(其他),75.0,52.0,3.0,False
EP300,late_sustained(晚期持續),74.0,159.0,178.0,False
EPB41L3,other(其他),2399.0,801.0,2.0,False
EPC1,early_transient(早期瞬態),247.0,444.0,90.0,False
ERCC1,late_sustained(晚期持續),225.0,236.0,416.0,False
ERCC6L,other(其他),117.0,76.0,97.0,False
ERCC6L2,early_transient(早期瞬態),9.0,240.0,17.0,False
ERF,other(其他),52.0,1.0,3.0,False
ERGIC1,early_transient(早期瞬態),11.0,69.0,6.0,False
ERGIC3,early_transient(早期瞬態),67.0,156.0,75.0,False
ERN1,late_sustained(晚期持續),124.0,117.0,176.0,False
ETNK1,other(其他),300.0,34.0,20.0,False
EXT1,other(其他),92.0,2.0,1.0,False
EXT2,other(其他),398.0,8.0,3.0,False
EXTL2,early_transient(早期瞬態),19.0,50.0,15.0,False
FAM118A,early_transient(早期瞬態),18.0,54.0,4.0,False
FAM118B,late_sustained(晚期持續),6.0,8.0,348.0,False
FAM161A,early_transient(早期瞬態),74.0,437.0,12.0,False
FAM161B,other(其他),29.0,294.0,173.0,False
FAM20B,early_transient(早期瞬態),22.0,189.0,14.0,False
FAM3C,other(其他),212.0,31.0,27.0,False
FAM98B,late_sustained(晚期持續),893.0,905.0,1428.0,False
FAM98C,other(其他),79.0,1.0,2.0,False
FANCC,late_sustained(晚期持續),1.0,8.0,77.0,False
FANCD2,other(其他),107.0,84.0,19.0,False
FANCE,other(其他),51.0,37.0,40.0,False
FANCF,other(其他),81.0,9.0,72.0,False
FARS2,late_sustained(晚期持續),4.0,6.0,424.0,False
FBRS,early_transient(早期瞬態),40.0,188.0,76.0,False
FBXL15,other(其他),1709.0,126.0,111.0,False
FBXL3,early_transient(早期瞬態),211.0,424.0,65.0,False
FBXO11,other(其他),47.0,113.0,107.0,False
FBXO28,other(其他),302.0,67.0,25.0,False
FBXO3,other(其他),179.0,64.0,0.0,False
FBXO32,other(其他),1355.0,748.0,387.0,False
FBXO38,other(其他),122.0,17.0,2.0,False
FBXO42,late_sustained(晚期持續),69.0,99.0,375.0,False
FBXW2,early_transient(早期瞬態),16.0,124.0,1.0,False
FBXW7,other(其他),50.0,192.0,182.0,False
FCHO1,late_sustained(晚期持續),2.0,18.0,246.0,False
FEM1A,early_transient(早期瞬態),46.0,95.0,6.0,False
FIGNL1,other(其他),539.0,27.0,346.0,False
FITM1,other(其他),712.0,7.0,21.0,False
FITM2,early_transient(早期瞬態),21.0,2607.0,336.0,True
FLCN,late_sustained(晚期持續),8.0,7.0,408.0,False
FLI1,other(其他),315.0,283.0,65.0,False
FLT1,other(其他),324.0,5.0,2.0,False
FN3K,late_sustained(晚期持續),11.0,11.0,128.0,False
FNBP4,other(其他),621.0,884.0,539.0,False
FOSL2,late_sustained(晚期持續),35.0,51.0,198.0,True
FOXK1,early_transient(早期瞬態),157.0,819.0,140.0,False
FOXN2,other(其他),255.0,301.0,203.0,False
FOXO1,other(其他),1328.0,847.0,581.0,False
FPGS,late_sustained(晚期持續),9.0,33.0,109.0,False
FRS3,late_sustained(晚期持續),3.0,24.0,447.0,False
FUBP1,late_sustained(晚期持續),553.0,1193.0,1253.0,False
GAB2,late_sustained(晚期持續),3.0,23.0,56.0,False
GABPB1,early_transient(早期瞬態),1030.0,1582.0,790.0,False
GADD45GIP1,late_sustained(晚期持續),10.0,70.0,537.0,True
GALNT6,late_sustained(晚期持續),68.0,39.0,362.0,False
GANAB,early_transient(早期瞬態),623.0,671.0,14.0,False
GAS2L1,late_sustained(晚期持續),20.0,2.0,457.0,False
GATA3,late_sustained(晚期持續),888.0,1239.0,1253.0,True
GBA1,other(其他),56.0,1.0,1.0,False
GCN1,late_sustained(晚期持續),58.0,69.0,278.0,False
GDAP1,late_sustained(晚期持續),3.0,25.0,57.0,False
GGA3,other(其他),1113.0,1.0,175.0,False
GID8,early_transient(早期瞬態),348.0,972.0,13.0,False
GIGYF2,late_sustained(晚期持續),158.0,234.0,316.0,False
GLI1,early_transient(早期瞬態),4.0,179.0,6.0,False
GLIPR2,early_transient(早期瞬態),745.0,1361.0,161.0,False
GLS,early_transient(早期瞬態),28.0,320.0,78.0,False
GMEB1,other(其他),244.0,651.0,559.0,False
GNA13,other(其他),759.0,14.0,50.0,False
GNAZ,late_sustained(晚期持續),55.0,7.0,88.0,False
GNE,late_sustained(晚期持續),1.0,4.0,363.0,False
GNLY,other(其他),53.0,46.0,4.0,False
GNMT,other(其他),60.0,54.0,16.0,False
GNPAT,early_transient(早期瞬態),24.0,205.0,2.0,False
GNPDA2,other(其他),167.0,1.0,1.0,False
GNS,other(其他),370.0,21.0,36.0,False
GPAA1,early_transient(早期瞬態),38.0,177.0,3.0,False
GPATCH3,other(其他),74.0,18.0,1.0,False
GPATCH8,late_sustained(晚期持續),58.0,178.0,221.0,False
GPI,late_sustained(晚期持續),229.0,955.0,1780.0,False
GPR146,other(其他),2.0,88.0,52.0,False
GPR15,early_transient(早期瞬態),70.0,321.0,14.0,False
GPS2,early_transient(早期瞬態),317.0,475.0,84.0,False
GPT2,early_transient(早期瞬態),2.0,99.0,5.0,False
GRAP,other(其他),71.0,2.0,8.0,False
GRK6,late_sustained(晚期持續),3.0,1.0,104.0,False
GRSF1,late_sustained(晚期持續),2.0,22.0,1849.0,True
GTF2H5,early_transient(早期瞬態),47.0,256.0,30.0,False
GTPBP10,late_sustained(晚期持續),2.0,1.0,1004.0,True
GYPC,late_sustained(晚期持續),61.0,39.0,67.0,False
GZMB,early_transient(早期瞬態),261.0,496.0,6.0,True
H2AZ1,late_sustained(晚期持續),121.0,304.0,442.0,False
HACD2,late_sustained(晚期持續),4.0,10.0,1424.0,True
HACD4,early_transient(早期瞬態),5.0,547.0,5.0,True
HAPSTR1,late_sustained(晚期持續),650.0,433.0,1153.0,False
HCCS,other(其他),906.0,1373.0,1231.0,False
HDAC1,other(其他),69.0,90.0,59.0,False
HDAC3,other(其他),944.0,908.0,101.0,False
HDAC7,late_sustained(晚期持續),85.0,57.0,135.0,False
HDHD3,early_transient(早期瞬態),70.0,118.0,33.0,False
HELZ,other(其他),60.0,6.0,5.0,False
HEXIM1,late_sustained(晚期持續),65.0,248.0,1358.0,False
HIBADH,other(其他),68.0,1.0,2.0,False
HIF1A,late_sustained(晚期持續),2.0,3.0,129.0,True
HIP1R,other(其他),227.0,81.0,25.0,False
HK2,late_sustained(晚期持續),4.0,7.0,236.0,False
HMBS,other(其他),535.0,1047.0,724.0,False
HMGB3,late_sustained(晚期持續),17.0,29.0,54.0,False
HNRNPA2B1,other(其他),148.0,380.0,354.0,False
HNRNPD,late_sustained(晚期持續),66.0,165.0,642.0,False
HOXB2,other(其他),802.0,180.0,318.0,False
HP1BP3,other(其他),389.0,5.0,2.0,False
HPF1,early_transient(早期瞬態),13.0,59.0,3.0,False
HPRT1,other(其他),74.0,4.0,2.0,False
HPS1,other(其他),249.0,303.0,231.0,False
HRAS,late_sustained(晚期持續),1.0,2.0,140.0,False
HS3ST3B1,late_sustained(晚期持續),2.0,5.0,221.0,False
HSD17B10,other(其他),125.0,680.0,340.0,False
HSDL2,other(其他),56.0,247.0,155.0,False
HSP90B1,late_sustained(晚期持續),2.0,3.0,62.0,False
HSPA8,early_transient(早期瞬態),32.0,60.0,7.0,False
HSPH1,late_sustained(晚期持續),46.0,74.0,122.0,False
HTT,late_sustained(晚期持續),11.0,6.0,134.0,False
HUWE1,other(其他),688.0,9.0,2.0,False
HYKK,other(其他),266.0,1.0,1.0,False
IBA57,late_sustained(晚期持續),13.0,140.0,919.0,True
ICE2,late_sustained(晚期持續),3.0,1.0,85.0,False
ICMT,unknown,,,64.0,False
ICOS,other(其他),739.0,211.0,70.0,True
ID2,late_sustained(晚期持續),431.0,74.0,499.0,False
IFFO2,other(其他),64.0,51.0,43.0,False
IFI30,early_transient(早期瞬態),59.0,60.0,26.0,False
IFNAR1,other(其他),46.0,57.0,39.0,True
IFNGR1,early_transient(早期瞬態),1.0,110.0,3.0,True
IFNGR2,early_transient(早期瞬態),4.0,70.0,2.0,True
IFT172,late_sustained(晚期持續),12.0,6.0,62.0,False
IKBKB,late_sustained(晚期持續),1.0,5.0,293.0,True
IKZF1,early_transient(早期瞬態),27.0,168.0,33.0,False
IL12RB2,early_transient(早期瞬態),230.0,751.0,160.0,False
