reactome_version,pathway_id,pathway_name,pathway_size_bg,expression_artifact_flag,n_rows_used
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-193639,p75NTR signals via NF-kB,12,False,6
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-193648,NRAGE signals death through JNK,36,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-193692,Regulated proteolysis of p75NTR,10,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-193704,p75 NTR receptor-mediated signalling,68,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-193807,Synthesis of bile acids and bile salts via 27-hydroxycholesterol,6,False,2
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-194068,Bile acid and bile salt metabolism,19,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-194138,Signaling by VEGF,86,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-194315,Signaling by Rho GTPases,498,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-194441,Metabolism of non-coding RNA,38,False,6
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-195253,Degradation of beta-catenin by the destruction complex,57,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-195258,RHO GTPase Effectors,219,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-195721,Signaling by WNT,181,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-196071,Metabolism of steroid hormones,17,False,7
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-196108,Pregnenolone biosynthesis,8,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-196299,Beta-catenin phosphorylation cascade,16,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1963640,GRB2 events in ERBB2 signaling,6,False,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-196741,"Cobalamin (Cbl, vitamin B12) transport and metabolism",13,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-196757,Metabolism of folate and pterines,12,False,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-196780,Biotin transport and metabolism,11,False,6
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-196791,Vitamin D (calciferol) metabolism,7,False,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-196807,Nicotinate metabolism,22,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-196836,Vitamin C (ascorbate) metabolism,8,False,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-196849,Metabolism of water-soluble vitamins and cofactors,96,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-196854,Metabolism of vitamins and cofactors,136,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1971475,Glycosaminoglycan-protein linkage region biosynthesis,13,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1980143,Signaling by NOTCH1,53,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1980145,Signaling by NOTCH2,24,False,8
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-198203,PI3K/AKT activation,8,False,3
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-198323,AKT phosphorylates targets in the cytosol,14,False,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-198693,AKT phosphorylates targets in the nucleus,8,False,6
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-198725,Nuclear Events (kinase and transcription factor activation),46,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-198753,ERK/MAPK targets,17,False,7
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-198933,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,51,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1989781,PPARA activates gene expression,87,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-199220,Vitamin B5 (pantothenate) metabolism,19,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-199418,Negative regulation of the PI3K/AKT network,71,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-199977,ER to Golgi Anterograde Transport,113,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-199991,Membrane Trafficking,480,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-199992,trans-Golgi Network Vesicle Budding,58,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-200425,Carnitine shuttle,12,False,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-201451,Signaling by BMP,15,False,7
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-201556,Signaling by ALK,22,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-201681,TCF dependent signaling in response to WNT,117,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-201688,WNT mediated activation of DVL,7,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-201722,Formation of the beta-catenin:TCF transactivating complex,38,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-202040,G-protein activation,13,False,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-202131,Metabolism of nitric oxide: NOS3 activation and regulation,13,False,8
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2022090,Assembly of collagen fibrils and other multimeric structures,18,False,7
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2022377,Metabolism of Angiotensinogen to Angiotensins,6,False,3
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2022854,Keratan sulfate biosynthesis,14,False,6
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2022857,Keratan sulfate degradation,8,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2022870,CS-GAG biosynthesis,8,False,6
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2022928,HS-GAG biosynthesis,16,False,2
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-202403,TCR signaling,82,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2024096,HS-GAG degradation,11,False,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2024101,CS/DS degradation,11,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-202424,Downstream TCR signaling,63,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-202427,Phosphorylation of CD3 and TCR zeta chains,12,False,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-202430,Translocation of ZAP-70 to Immunological synapse,10,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-202433,Generation of second messenger molecules,23,False,7
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2025928,Calcineurin activates NFAT,8,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-202670,ERKs are inactivated,13,False,6
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-202733,Cell surface interactions at the vascular wall,81,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2028269,Signaling by Hippo,14,False,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2029480,Fcgamma receptor (FCGR) dependent phagocytosis,68,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2029481,FCGR activation,7,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2029482,Regulation of actin dynamics for phagocytic cup formation,47,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2029485,Role of phospholipids in phagocytosis,20,False,6
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2032785,YAP1- and WWTR1 (TAZ)-stimulated gene expression,6,False,1
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-203615,eNOS activation,11,False,8
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-203927,MicroRNA (miRNA) biogenesis,15,False,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-204005,COPII-mediated vesicle transport,56,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-204174,Regulation of pyruvate dehydrogenase (PDH) complex,13,False,7
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2046104,alpha-linolenic (omega3) and linoleic (omega6) acid metabolism,10,False,3
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2046105,Linoleic acid (LA) metabolism,5,False,3
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2046106,alpha-linolenic acid (ALA) metabolism,10,False,3
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-204998,"Cell death signalling via NRAGE, NRIF and NADE",51,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-205043,NRIF signals cell death from the nucleus,12,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-209543,p75NTR recruits signalling complexes,9,False,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-209560,NF-kB is activated and signals survival,9,False,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-210500,Glutamate Neurotransmitter Release Cycle,9,False,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-210744,Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells,13,False,6
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-210990,PECAM1 interactions,12,False,8
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-210991,Basigin interactions,16,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-210993,Tie2 Signaling,12,False,7
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-211000,Gene Silencing by RNA,38,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-211733,Regulation of activated PAK-2p34 by proteasome mediated degradation,29,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-211859,Biological oxidations,85,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-211897,Cytochrome P450 - arranged by substrate type,22,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-211945,Phase I - Functionalization of compounds,39,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-211976,Endogenous sterols,13,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-211981,Xenobiotics,6,False,1
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-212165,Epigenetic regulation of gene expression,218,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2122947,NOTCH1 Intracellular Domain Regulates Transcription,37,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2122948,Activated NOTCH1 Transmits Signal to the Nucleus,19,False,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-212300,PRC2 methylates histones and DNA,23,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-212436,Generic Transcription Pathway,896,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-212676,Dopamine Neurotransmitter Release Cycle,10,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2129379,Molecules associated with elastic fibres,13,False,2
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2132295,MHC class II antigen presentation,83,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2142691,Synthesis of Leukotrienes (LT) and Eoxins (EX),8,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2142753,Arachidonate metabolism,29,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2142789,Ubiquinol biosynthesis,13,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2142845,Hyaluronan metabolism,12,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2151201,Transcriptional activation of mitochondrial biogenesis,47,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2151209,Activation of PPARGC1A (PGC-1alpha) by phosphorylation,7,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-216083,Integrin cell surface interactions,36,False,6
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2160916,Hyaluronan degradation,10,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2162123,Synthesis of Prostaglandins (PG) and Thromboxanes (TX),11,False,6
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2172127,DAP12 interactions,21,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2173782,Binding and Uptake of Ligands by Scavenger Receptors,13,False,7
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2173788,Downregulation of TGF-beta receptor signaling,23,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2173789,TGF-beta receptor signaling activates SMADs,36,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2173791,TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition),11,False,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2173793,Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer,46,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2173795,Downregulation of SMAD2/3:SMAD4 transcriptional activity,28,False,8
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2173796,SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription,32,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2179392,EGFR Transactivation by Gastrin,7,False,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2187338,Visual phototransduction,32,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2197563,NOTCH2 intracellular domain regulates transcription,10,False,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2206281,Mucopolysaccharidoses,10,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2219528,PI3K/AKT Signaling in Cancer,65,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2219530,Constitutive Signaling by Aberrant PI3K in Cancer,40,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2262752,Cellular responses to stress,509,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2299718,Condensation of Prophase Chromosomes,22,False,7
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2404192,Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R),28,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2408508,"Metabolism of ingested SeMet, Sec, MeSec into H2Se",5,False,3
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2408522,Selenoamino acid metabolism,21,False,8
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2424491,DAP12 signaling,21,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2426168,Activation of gene expression by SREBF (SREBP),35,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2428924,IGF1R signaling cascade,28,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2428928,IRS-related events triggered by IGF1R,27,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2428933,SHC-related events triggered by IGF1R,7,False,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2454202,Fc epsilon receptor (FCERI) signaling,100,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2465910,MASTL Facilitates Mitotic Progression,10,True,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2467813,Separation of Sister Chromatids,143,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2468052,Establishment of Sister Chromatid Cohesion,11,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2470946,Cohesin Loading onto Chromatin,10,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2500257,Resolution of Sister Chromatid Cohesion,102,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2514853,Condensation of Prometaphase Chromosomes,10,False,3
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2514856,The phototransduction cascade,13,False,6
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2514859,"Inactivation, recovery and regulation of the phototransduction cascade",13,False,6
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2555396,Mitotic Metaphase and Anaphase,179,True,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2559580,Oxidative Stress Induced Senescence,62,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2559582,Senescence-Associated Secretory Phenotype (SASP),49,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2559583,Cellular Senescence,120,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2559584,Formation of Senescence-Associated Heterochromatin Foci (SAHF),15,False,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2559585,Oncogene Induced Senescence,28,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2559586,DNA Damage/Telomere Stress Induced Senescence,38,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2562578,TRIF-mediated programmed cell death,6,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2564830,Cytosolic iron-sulfur cluster assembly,9,False,3
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2565942,Regulation of PLK1 Activity at G2/M Transition,74,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2586552,Signaling by Leptin,10,False,7
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2644602,Signaling by NOTCH1 PEST Domain Mutants in Cancer,45,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2644603,Signaling by NOTCH1 in Cancer,45,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2644606,Constitutive Signaling by NOTCH1 PEST Domain Mutants,45,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-264642,Acetylcholine Neurotransmitter Release Cycle,5,False,3
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-264870,Caspase-mediated cleavage of cytoskeletal proteins,12,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-264876,Insulin processing,15,False,6
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2672351,Stimuli-sensing channels,45,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2682334,EPH-Ephrin signaling,58,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2691230,Signaling by NOTCH1 HD Domain Mutants in Cancer,9,False,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2691232,Constitutive Signaling by NOTCH1 HD Domain Mutants,9,False,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2730905,Role of LAT2/NTAL/LAB on calcium mobilization,14,False,7
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2871796,FCERI mediated MAPK activation,27,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2871809,FCERI mediated Ca+2 mobilization,27,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2871837,FCERI mediated NF-kB activation,54,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2894858,Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer,45,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2894862,Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants,45,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2979096,NOTCH2 Activation and Transmission of Signal to the Nucleus,15,False,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2980736,Peptide hormone metabolism,32,False,8
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2980766,Nuclear Envelope Breakdown,46,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2980767,"Activation of NIMA Kinases NEK9, NEK6, NEK7",7,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2990846,SUMOylation,145,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2995383,Initiation of Nuclear Envelope (NE) Reformation,18,False,8
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-2995410,Nuclear Envelope (NE) Reassembly,54,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-3000157,Laminin interactions,10,False,3
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-3000170,Syndecan interactions,15,False,8
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-3000171,Non-integrin membrane-ECM interactions,29,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-3000178,ECM proteoglycans,19,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-3000480,Scavenging by Class A Receptors,5,False,2
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-3065678,"SUMO is transferred from E1 to E2 (UBE2I, UBC9)",6,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-3108214,SUMOylation of DNA damage response and repair proteins,68,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-3108232,SUMO E3 ligases SUMOylate target proteins,139,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-3134963,DEx/H-box helicases activate type I IFN and inflammatory cytokines production,7,False,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-3134973,LRR FLII-interacting protein 1 (LRRFIP1) activates type I IFN production,5,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-3134975,Regulation of innate immune responses to cytosolic DNA,8,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-3214815,HDACs deacetylate histones,38,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-3214841,PKMTs methylate histone lysines,35,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-3214842,HDMs demethylate histones,22,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-3214847,HATs acetylate histones,78,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-3214858,RMTs methylate histone arginines,29,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-3215018,Processing and activation of SUMO,9,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-3229121,Glycogen storage diseases,8,False,3
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-3232118,SUMOylation of transcription factors,14,False,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-3232142,SUMOylation of ubiquitinylation proteins,32,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-3238698,WNT ligand biogenesis and trafficking,8,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-3247509,Chromatin modifying enzymes,187,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-3270619,IRF3-mediated induction of type I IFN,6,False,2
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-3295583,TRP channels,10,False,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-3296469,Defects in cobalamin (B12) metabolism,11,False,8
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-3296482,Defects in vitamin and cofactor metabolism,19,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-3299685,Detoxification of Reactive Oxygen Species,25,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-3301854,Nuclear Pore Complex (NPC) Disassembly,30,False,7
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-3304349,Loss of Function of SMAD2/3 in Cancer,7,False,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-3304351,Signaling by TGF-beta Receptor Complex in Cancer,7,False,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-3304356,SMAD2/3 Phosphorylation Motif Mutants in Cancer,6,False,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-3322077,Glycogen synthesis,7,False,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-3323169,Defects in biotin (Btn) metabolism,8,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-3371378,Regulation by c-FLIP,9,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-3371453,Regulation of HSF1-mediated heat shock response,65,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-3371497,HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand,37,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-3371511,HSF1 activation,22,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-3371556,Cellular response to heat stress,78,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-3371568,Attenuation phase,21,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-3371571,HSF1-dependent transactivation,27,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-3371599,Defective HLCS causes multiple carboxylase deficiency,7,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-349425,Autodegradation of the E3 ubiquitin ligase COP1,31,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-350054,Notch-HLH transcription pathway,25,False,8
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-350562,Regulation of ornithine decarboxylase (ODC),32,False,8
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-351202,Metabolism of polyamines,40,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-352230,Amino acid transport across the plasma membrane,18,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-354192,Integrin signaling,18,False,6
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-354194,GRB2:SOS provides linkage to MAPK signaling for Integrins,9,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-3560782,Diseases associated with glycosaminoglycan metabolism,16,False,7
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-3560783,"Defective B4GALT7 causes EDS, progeroid type",5,False,1
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-3656532,TGFBR1 KD Mutants in Cancer,6,False,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-3656534,Loss of Function of TGFBR1 in Cancer,6,False,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-3700989,Transcriptional Regulation by TP53,303,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-372708,p130Cas linkage to MAPK signaling for integrins,8,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-372790,Signaling by GPCR,264,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-373076,Class A/1 (Rhodopsin-like receptors),85,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-373080,Class B/2 (Secretin family receptors),21,False,9
