target,pass_fraction,in_baseline,stability_class
ADGRE2,0.0,False,NEVER
ADGRE5,0.0,False,NEVER
ADGRG1,0.0,False,NEVER
ADGRG5,0.2,False,BOUNDARY
ADGRL1,0.0,False,NEVER
ADGRV1,0.0,False,NEVER
ADH1B,0.0,False,NEVER
ADH5,0.0,False,NEVER
ADHFE1,0.0,False,NEVER
ADI1,0.0,False,NEVER
ADIPOR1,0.0,False,NEVER
ADIPOR2,0.0,False,NEVER
ADIRF,0.0,False,NEVER
ADISSP,0.0,False,NEVER
ADK,0.0,False,NEVER
ADM,0.0,False,NEVER
ADM5,0.2,False,BOUNDARY
ADNP,0.6,True,BOUNDARY
ADNP2,0.8,True,BOUNDARY
ADO,0.1667,False,BOUNDARY
ADORA2A,0.0,False,NEVER
ADORA2B,0.0,False,NEVER
ADPGK,0.0,False,NEVER
ADPRH,0.0,False,NEVER
ADPRM,0.0,False,NEVER
ADPRS,0.0,False,NEVER
ADRB2,0.0,False,NEVER
ADRM1,0.1333,False,BOUNDARY
ADSS2,0.0,False,NEVER
ADTRP,0.0,False,NEVER
AEBP1,0.0,False,NEVER
AEBP2,1.0,True,CORE
AEN,0.0,False,NEVER
AFAP1,0.0,False,NEVER
AFAP1L2,0.0,False,NEVER
AFDN,0.0,False,NEVER
AFF1,0.0,False,NEVER
AFF2,0.0,False,NEVER
AFF3,0.0,False,NEVER
AFF4,0.0,False,NEVER
AFG2A,0.0,False,NEVER
AFG2B,0.0,False,NEVER
AFG3L2,0.0,False,NEVER
AFMID,0.0,False,NEVER
AFTPH,0.0,False,NEVER
AGA,0.0,False,NEVER
AGAP1,0.0,False,NEVER
AGAP2,0.0,False,NEVER
AGAP3,0.0,False,NEVER
AGAP4,0.0,False,NEVER
AGAP5,0.0,False,NEVER
AGAP6,0.0,False,NEVER
AGAP9,0.0,False,NEVER
AGBL2,0.0,False,NEVER
AGBL5,0.0,False,NEVER
AGER,0.0,False,NEVER
AGFG1,0.0,False,NEVER
AGFG2,0.0,False,NEVER
AGGF1,0.0,False,NEVER
AGK,0.0,False,NEVER
AGL,0.0,False,NEVER
AGMAT,0.0,False,NEVER
AGO1,0.0,False,NEVER
AGO2,0.0,False,NEVER
AGO3,0.0,False,NEVER
AGO4,0.0,False,NEVER
AGPAT1,0.0,False,NEVER
AGPAT2,0.0,False,NEVER
AGPAT3,0.0,False,NEVER
AGPAT4,0.0,False,NEVER
AGPAT5,0.0,False,NEVER
AGPS,0.0,False,NEVER
AGR2,0.0,False,NEVER
AGR3,0.0,False,NEVER
AGRN,0.1667,False,BOUNDARY
AGTPBP1,0.0,False,NEVER
AGTRAP,0.0,False,NEVER
AHCYL1,0.0,False,NEVER
AHCYL2,0.0,False,NEVER
AHDC1,0.0,False,NEVER
AHI1,0.0,False,NEVER
AHNAK,0.0,False,NEVER
AHR,1.0,True,CORE
AHRR,0.0,False,NEVER
AHSA1,0.6,True,BOUNDARY
AHSP,0.0,False,NEVER
AIDA,0.0,False,NEVER
AIF1,0.0,False,NEVER
AIFM1,0.0,False,NEVER
AIFM2,0.0,False,NEVER
AIG1,0.0,False,NEVER
AIM2,0.0,False,NEVER
AIMP1,0.0,False,NEVER
AIMP2,0.0,False,NEVER
AIP,1.0,True,CORE
AIRE,0.0,False,NEVER
AIRIM,0.0,False,NEVER
AJAP1,0.0,False,NEVER
AK1,0.0,False,NEVER
AK3,1.0,True,CORE
AK4,0.0,False,NEVER
AK5,0.0,False,NEVER
AK9,0.0,False,NEVER
AKAP1,0.0,False,NEVER
AKAP10,0.5,True,BOUNDARY
AKAP11,0.0,False,NEVER
AKAP12,0.0,False,NEVER
AKAP13,0.0,False,NEVER
AKAP17A,0.8,True,BOUNDARY
AKAP5,0.0,False,NEVER
AKAP7,0.0,False,NEVER
AKAP8,0.0,False,NEVER
AKAP8L,0.0,False,NEVER
AKAP9,0.0,False,NEVER
AKIP1,0.0,False,NEVER
AKIRIN1,0.0,False,NEVER
AKIRIN2,0.1,False,BOUNDARY
AKNA,0.0,False,NEVER
AKR1A1,0.0,False,NEVER
AKR1B1,0.0,False,NEVER
AKR1C1,0.0,False,NEVER
AKR1C3,0.0,False,NEVER
AKR1E2,0.0,False,NEVER
AKR7A2,0.0,False,NEVER
AKR7A3,0.0,False,NEVER
AKT1,0.0,False,NEVER
AKT1S1,0.0,False,NEVER
AKT2,0.0,False,NEVER
AKT3,0.0,False,NEVER
AKTIP,0.0,False,NEVER
ALAD,0.0667,False,FRAGILE
ALAS1,0.0,False,NEVER
ALAS2,0.0,False,NEVER
ALCAM,0.0,False,NEVER
ALDH16A1,0.0,False,NEVER
ALDH18A1,1.0,True,CORE
ALDH1A1,0.0,False,NEVER
ALDH1B1,0.0,False,NEVER
ALDH2,0.0,False,NEVER
ALDH3A2,0.0,False,NEVER
ALDH5A1,0.0,False,NEVER
ALDH7A1,0.0,False,NEVER
ALDH8A1,0.0,False,NEVER
ALDH9A1,0.0,False,NEVER
ALDOA,0.0,False,NEVER
ALDOC,0.0,False,NEVER
ALG1,0.0,False,NEVER
ALG10,0.0,False,NEVER
ALG10B,0.0,False,NEVER
ALG12,0.0,False,NEVER
ALG13,0.8667,True,BOUNDARY
ALG14,0.0,False,NEVER
ALG2,0.0,False,NEVER
ALG3,1.0,True,CORE
ALG5,0.1667,False,BOUNDARY
ALG6,1.0,True,CORE
ALG8,1.0,True,CORE
ALG9,0.0,False,NEVER
ALKAL2,0.0,False,NEVER
ALKBH1,0.0,False,NEVER
ALKBH2,0.8333,True,BOUNDARY
ALKBH3,0.0,False,NEVER
ALKBH4,0.0,False,NEVER
ALKBH5,0.0,False,NEVER
ALKBH6,0.0,False,NEVER
ALKBH7,0.0,False,NEVER
ALKBH8,0.0,False,NEVER
ALMS1,0.0,False,NEVER
ALOX12,0.0,False,NEVER
ALOX5,0.4,False,BOUNDARY
ALOX5AP,0.0,False,NEVER
ALPK1,0.0,False,NEVER
ALPL,0.0,False,NEVER
ALS2,0.8333,True,BOUNDARY
ALS2CL,0.0,False,NEVER
ALX1,0.0,False,NEVER
ALX3,0.0,False,NEVER
ALX4,0.0,False,NEVER
AMBRA1,1.0,True,CORE
AMD1,0.8333,True,BOUNDARY
AMDHD1,0.0,False,NEVER
AMDHD2,0.0,False,NEVER
AMER1,0.5,True,BOUNDARY
