landmark_gene,SENP5,PLCG1,CCNC,PMVK
PLSCR1,0.33589214,0.17472452,0.7589951,0.67005
CTSL,0.031184006,-0.1549735,0.23058102,-0.49395004
CTSD,-0.20750415,-0.42264047,0.14034748,0.1419
ARHGEF2,-0.013403159,-0.17905,0.47356772,-0.36885
ILK,-0.44565088,-0.8472992,-0.36453396,-0.2847
NFIL3,-0.36499807,0.33583584,0.36811617,-0.56025
ARL4C,-0.36735156,0.03958766,0.29949337,0.6836
CPNE3,-0.16902067,0.21860927,-0.41832805,-0.04155001
SCRN1,-0.31438538,-0.065904595,-0.179008,-0.15665
MAN2B1,-0.07687783,-0.5447467,-0.3228537,-0.38795
DCTD,0.061853115,0.2818106,-0.28710595,-0.88600004
MBNL1,-0.24207008,-0.0068493355,-0.91306925,-0.51625
MYCBP,0.04685276,0.06634445,-0.29206702,-0.88245
PTPN1,-0.29672107,0.045151405,0.679435,0.51075
MPC2,-0.014010016,0.0012999922,0.057504423,0.2181
ECD,0.24561715,0.010277428,0.4499062,-0.7156
CIRBP,-0.063928746,-0.40762344,0.26087388,-0.1929
PRSS23,-0.121385455,-0.21911764,-0.21169296,-1.1473
P4HA2,0.046321258,-0.10412499,-0.7278607,0.22795
ATP6V0B,-0.47353745,0.06819135,-0.31584245,-0.80670005
CAPN1,0.1894483,-0.005915221,-0.57916784,0.75695
STXBP1,0.1567297,-0.7304772,-0.5119699,0.19590002
ITGB5,-0.78990436,-0.013937414,-0.40225142,-0.046249986
SLC11A2,-0.83410364,-0.052315146,1.0349483,-0.59025
PDIA5,0.23716709,-0.3785212,-0.2385384,0.73995
RAP1GAP,0.19628744,-0.1814984,-0.43331075,0.32295
NOLC1,0.1814546,0.21265,-0.15360674,-0.76555
CAT,0.33726156,-0.21788925,0.3924852,0.37870002
DUSP14,0.026180178,0.110253856,-0.5620395,0.26455003
TRIB1,-0.18770006,-0.14596467,-0.07264705,0.51155
TP53BP1,0.100496836,-0.34465003,0.24219826,0.32860005
BECN1,0.3294195,-0.4556931,-0.28563398,-1.12625
KDELR2,-1.002315,0.012153108,-0.7762598,-0.56845003
ELAVL1,-0.008825995,0.17558868,-0.2647324,-0.15475
IGF2R,-0.4967388,0.03571543,0.048231207,0.38244998
TIPARP,0.264547,-0.012738269,-0.14600432,-0.054700002
CRTAP,0.24696769,-0.32490796,-0.82936466,0.10509999
GMNN,-0.0831563,0.38314998,0.7269294,-0.291
CYTH1,-0.35559177,0.36278817,-0.07214165,0.043199956
PRCP,0.5411118,0.13551849,0.9172053,-1.187
SMARCA4,0.115716815,0.00072146393,0.16456759,0.41294998
PYGL,0.23217598,-0.490675,-0.71206,-0.0564
RPA2,0.0006598141,0.1498129,0.53587896,0.22814998
GTF2E2,0.29595587,-0.15883373,0.33332354,-1.47085
ANXA7,0.64976025,0.09243728,-0.22740546,-0.3656
TXNRD1,-0.19892384,0.203275,0.075274795,-0.4213
CRYZ,0.13489719,0.36214644,-0.5106955,0.43985
GAA,-0.13383785,-0.316253,-0.49721348,-0.009850003
SKIV2L,-0.15711333,-0.120453484,-0.21051025,1.0695
BLMH,0.27058738,0.05207809,-0.89774257,0.013600007
RRP1B,-0.25680754,0.028468713,-0.48238453,-0.08755
TSPAN3,-0.20514083,-0.15450847,0.3864103,-0.67770004
KEAP1,-0.5466963,-0.5206568,-0.08923304,-0.0808
SMC3,0.08378485,0.11241805,0.52789277,0.345
LBR,-0.47085696,0.12624809,-0.8839922,-0.9889
PPIE,0.15319583,-0.13793772,0.0054067895,-0.2723
TERF2IP,0.10667825,-0.09087499,0.003676679,-0.16109997
BNIP3,-0.18804051,-0.21874431,-0.49546134,0.008299999
BCL2,-0.2964517,0.3390244,0.034959562,-0.02935
RBM6,0.058810387,0.081697315,-0.105874516,0.09009999
CSK,-0.9441123,0.1107662,0.41035038,0.25935
ALDOC,0.32084247,-0.16525987,-0.124976434,0.23085001
UBE2L6,-0.215866,-0.05503186,0.22683513,0.02974999
PCBD1,0.29212475,0.011932336,-0.04919301,-0.9169
ICMT,-0.043012448,0.25176597,0.019353794,-0.23795001
GNPDA1,0.6084824,-0.055946272,0.44036198,-0.19139999
NUCB2,-0.26971322,-0.12117499,0.00021093339,0.43575
RSU1,0.07976459,0.2699287,-0.2696777,0.18700004
PTPN12,0.30370796,0.038240492,-0.48141193,-0.51205
PCK2,0.4327778,0.3408402,0.22474429,0.30835
GFPT1,-0.4884814,-0.1866512,-0.6207219,-0.6162
BLVRA,-0.3453431,0.20164779,-1.5723358,0.2694
S100A13,-0.006933097,-0.09596458,-0.34940428,0.25980002
MYBL2,-0.75942934,0.0076249987,-0.093400806,-0.19305
STX4,-0.21264395,-0.17206052,0.14359903,0.34055
TMCO1,0.017879292,-0.1923276,-0.7890034,-1.09765
CCDC85B,0.19729555,-0.346775,0.08689115,0.67904997
DDB2,0.3685457,-0.13800591,-0.34703723,0.03185001
BAMBI,0.3741418,0.38539428,0.43013275,0.49580002
HADH,-0.21766514,-0.06407412,-0.17509307,-0.6086
GLRX,-0.008269866,0.24885473,-0.98650277,-0.0224
MVP,-0.15883932,-0.60398126,-0.1949853,0.2621
STMN1,-0.13729456,0.15710452,-1.139323,-0.5965
GALE,-0.28046954,-0.45953876,-0.46803987,-0.16399997
PTPRF,-0.23109621,0.07995001,0.5712637,1.08725
PGM1,0.19003478,-0.21309699,-0.77231014,-0.281
LOXL1,0.09440299,-0.07865,-0.14093576,-0.6095
MYO10,-0.2432841,-0.15175,0.38258043,0.1447
LIPA,0.6130435,-0.18587086,-0.29432857,-0.11675
PHGDH,0.6388446,0.14195426,-0.21911107,-0.08425
ST7,0.47876966,0.114033125,-0.05934058,-0.4105
IKBKB,0.60741794,0.08035353,0.22683686,0.17130001
PCM1,-0.03570154,-0.5287915,-0.02411016,-0.5381
IER3,0.0069366377,0.30652025,-0.6584188,0.7299
FAT1,-1.0376947,-0.31719902,0.03168886,-0.28405
RNMT,-0.208357,0.09916195,-0.6206731,-0.4405
EGFR,-0.253622,0.46095273,-0.33265287,0.5965
NET1,-0.20183405,-0.025952071,-0.19062829,0.062299997
DECR1,0.17882043,-0.073128626,0.20643947,-0.047549993
NPC1,0.32873967,-0.17637499,0.25610694,-0.4513
MEST,-0.19350721,-0.05963473,0.16719198,0.32935002
PAFAH1B3,-0.30130422,-0.15990464,-1.1970963,-0.442
CALU,-0.08693434,-0.23790064,-0.65549016,-0.15900001
LGALS8,-0.545593,-0.197675,-0.09519328,0.4407
LRP10,-0.6460049,-0.2999467,-0.7273583,-0.16215001
ATP1B1,0.3590659,0.11737972,0.56149113,-0.63629997
OXCT1,-0.173621,0.005399991,0.21871069,-0.0079
SLC25A4,-0.29007924,-0.31902498,-0.12513289,0.2473
ASCC3,0.23718673,-0.26941615,-0.57033455,-0.5139
TRAM2,-0.28811306,-0.22884454,-0.42442286,-0.19875
PYCR1,0.14071548,0.32449073,-0.24636768,-0.625
NCOA3,-0.09895241,0.058759775,0.18262464,0.8344
POLD4,0.01240609,-0.5465896,-0.5440532,0.0537
PRKACA,0.030192442,-0.22107294,0.35082075,-0.29329997
LYRM1,0.44604418,-0.33983994,-0.43933436,-0.25985003
VDAC1,0.72672474,-0.2394526,-0.4691075,-1.0483
SORBS3,-0.3435914,-0.22489199,-0.8004701,-0.3527
SPAG4,0.34395027,-0.5129689,-0.2042853,0.21074998
SLC5A6,0.08938432,0.12551294,0.37430328,-0.23789999
RGS2,-0.24483007,-0.08228112,0.15672703,-0.26165
SCYL3,-0.15647276,-0.114208475,-0.29747725,-0.07960001
TBX2,0.14191595,0.42166495,0.8767722,0.79055
DNAJA3,-0.27529457,-0.22577792,0.00028571326,0.0
DCUN1D4,0.28702933,0.08107499,-0.2961923,0.16080001
DYRK3,0.12217328,0.14922209,0.5890411,0.18214999
POLG2,0.017733663,-0.15268363,-0.040184673,-0.15495002
TRAPPC3,0.35519052,0.13248792,-0.82188183,0.484
TCFL5,0.33718908,-0.30690002,-0.30114317,0.19205
RBM34,-0.05914832,-0.12680736,0.25747508,0.4687
ITGB1BP1,0.15782551,-0.756377,-1.5282936,-0.5711
ACLY,-0.14184375,0.07252821,-0.23217392,0.2123
RAD51C,-0.082966805,0.20643789,0.3349831,0.10825002
SMC1A,0.25704956,0.2754928,0.10582568,0.18639998
YME1L1,0.043486305,-0.14272548,-0.21849217,-0.62724996
ACAA1,0.16279316,-0.55345595,-0.117818326,0.27875
WFS1,-0.3817836,-0.024279444,0.42404106,0.20115
UBE3B,0.15708031,-0.046142276,-0.07037884,-0.39515
NPDC1,-0.27018794,-0.6875372,-0.037688777,-0.1852
ALDH7A1,-0.03221256,-0.13322559,0.17336984,-0.042599976
POLR2I,-1.01416,-0.040244058,-0.042718742,-0.44625
AKAP8L,0.22942524,-0.015917068,0.35669625,0.06259999
PLEKHJ1,0.17235985,-0.04802081,-0.23020437,0.2643
HAT1,-0.09907566,0.0040374547,-0.23210374,-0.9683
G3BP1,0.13518013,-0.34649032,-0.46001598,-0.1413
TPD52L2,0.20240436,0.15477511,0.0086146295,-0.14335
PIH1D1,-0.12745069,0.20427418,-0.28235793,-1.1642499
SHB,-0.18762875,0.012711521,0.20843568,-0.1886
UTP14A,0.1888706,-0.26192343,-0.07188523,-0.015249968
TSEN2,0.5121231,-0.16325,0.31955135,0.014699981
LYPLA1,0.16605113,-0.11722017,-1.2245117,-0.66295
MAP2K5,0.108806096,0.11647968,0.54775465,0.32035
PUF60,0.1962168,-0.5541636,-1.0047698,-0.44305
DHRS7,0.19290161,0.0798699,-0.011556886,-0.082949996
ARID5B,0.27911744,0.23717165,0.607394,0.24444999
IGHMBP2,-0.11762702,-0.04409616,0.18127075,0.2552
ADO,0.36930263,0.12380098,0.06691961,-0.52320004
TCTN1,-0.12862961,-0.22195497,-0.012015652,0.44365
AKR7A2,0.06449865,-0.58542496,-0.1905015,0.55025005
PPP2R5E,-0.08352849,-0.4235404,0.16953918,0.42405003
LAMA3,0.34971553,0.008210495,0.07055643,-0.416
FEZ2,0.094177976,-0.157764,0.082848065,-0.38155
IKBKAP,0.1277042,0.16956125,-0.14429198,-0.77875
SGCB,0.14233677,0.19286186,-0.10154098,-0.76465
ENOPH1,-0.012693115,0.26967502,-1.5236564,-1.06925
CNOT4,0.5747905,0.2502,0.7567767,0.14745
JMJD6,-0.16072851,0.2986733,-0.2546591,-0.10825
SLC35F2,0.37252134,0.160925,0.06864261,-0.703
ANO10,-0.09151663,0.2531565,-0.56258345,-0.23689997
STUB1,-0.76763856,0.06781413,-0.63360775,-0.34465
BAD,-0.1628323,0.10118491,-0.59623885,-0.0019499958
PSMD10,-0.0036069767,0.096925,0.404836,-0.56145
RAB11FIP2,0.33599812,-0.031812444,0.22460273,0.5823
FPGS,-0.08225016,-0.456061,-0.37153575,0.0318
RNH1,-0.08044511,-0.009945422,-0.2471995,-0.13255
ATG3,0.49000996,0.008960217,-0.059351623,0.2457
CFLAR,0.20695929,0.21321714,0.18624818,0.0564
HEATR1,0.32919982,0.110807225,-0.075311944,0.09365
WDR7,0.17488915,-0.06517014,0.4096216,0.29985
AKAP8,0.2716576,-0.016683709,0.35467,-0.09989998
SLC1A4,-0.21158889,0.2556,-0.106213644,-0.3152
GRWD1,0.15035564,0.004081346,0.054193705,0.46815002
STAT1,0.061091077,-0.27170944,0.35638282,-0.45615003
FOXJ3,0.5440915,0.12173709,0.16530707,-0.24785
MTERF3,0.17017362,-0.14505,0.50709325,-0.04214999
CHIC2,-0.43047026,0.18439363,0.17495483,-1.0141001
USP7,0.046730403,-0.08909483,-0.534265,-0.20705009
NOSIP,-0.28463078,-0.16997586,0.38061988,0.21555
DLD,-0.16331868,-0.5003151,-0.45241106,-0.64265
IDE,-0.04119545,-0.25585,-0.2171827,-0.90459996
PRPF4,-0.0804988,0.24421522,0.5589742,-0.28045002
MELK,0.42611408,0.3416244,-0.1718596,-0.5547
SMAD3,0.022625908,0.07930614,-0.1803001,0.20089999
OXA1L,-0.10466573,-0.51448596,0.0074275285,-0.2403
SNX7,-0.116601065,-0.19317162,-0.03769067,1.0213
CDCA4,-0.0030473024,-0.3405983,-0.033855967,-0.3965
TBC1D9B,-0.078097105,-0.05711886,-0.46814165,0.09835005
NARFL,-0.027123027,-0.106675364,0.39694175,0.92835003
DDX42,0.35182077,-0.3674821,-0.10016008,-0.1857
IKBKE,-0.037155412,0.5674185,-0.049495213,0.4734
WDTC1,-0.11589874,-0.2707193,-0.17738461,0.17245
PLSCR3,0.21005586,-0.061314423,-0.25710374,0.09790003
H2AFV,0.02814509,0.22846872,0.3445079,-0.28544998
NUSAP1,-0.09532078,0.27216452,0.30581462,-0.55265
FAM69A,-0.24692437,0.017585408,0.35213763,0.21445
XPO7,0.44880986,-0.2783967,-0.009282103,0.11625
FAIM,0.28144854,-0.024184795,0.43223315,0.62
PXMP2,0.039838605,0.029923828,-0.23393634,-0.53824997
TIMM17B,-0.34915626,-0.056819037,-0.2135925,0.957
STXBP2,-0.039484344,-0.48852473,-0.5369561,0.39419997
HPRT1,-0.3758443,0.25932518,-0.35486257,-0.6993
RRS1,0.26745522,0.22780573,0.14107458,-0.687
ADAT1,0.27386415,0.057186373,0.5387815,0.52205
SCAND1,-0.21244988,-0.6512549,0.12403235,-0.47504997
MFSD10,-0.089614645,-0.29942977,-0.42172125,0.30539998
COPS7A,0.2625162,-0.38354895,-0.16734502,0.07285
FIS1,-0.021398185,-0.7438574,-0.34504935,0.35035
NUDT9,0.5177249,-0.02495747,0.2456322,-0.47405
CSRP1,-0.16968557,-0.5322584,-0.18546641,0.21565
METRN,-0.14665097,-0.34839976,0.35768107,-0.14829999
TCTA,0.053299226,0.154275,0.63584703,-0.40045
TLK2,0.22484033,-0.039000668,0.31897068,-0.77775
KIAA1033,-0.09496934,-0.07565002,-0.49904126,-1.1527001
DNAJB6,-0.1597896,-0.04908003,0.17663725,0.7156
HMGCS1,-0.01821272,-0.6282695,-1.3901789,0.37085
SPRED2,-0.023828339,0.14071995,0.6470226,1.29735
MAP7,-0.25078535,-0.145425,-0.20700629,-0.56565
CHAC1,-0.08865343,-0.32835,0.19318792,0.33295
GNAS,-0.0868693,-0.14079201,0.1508815,-1.13385
TEX10,0.3466872,0.4360158,0.46611246,-0.3019
ZNF586,0.0085408995,-0.099882476,0.68730575,0.1715
APBB2,0.08979575,0.104875,0.24072781,0.62275
RNF167,0.17776307,0.10485613,0.19526103,0.16465001
TXNDC9,0.05422227,-0.4570192,-1.4496527,-0.58739996
VGLL4,-0.5347836,0.16527557,0.37017667,0.35729998
YTHDF1,-0.05731633,0.17659076,0.4443534,-0.52180004
LSM5,-0.1725313,-0.02490849,-0.4839163,-0.16830003
ZMYM2,0.23415668,-0.12023914,0.034557372,0.45450002
CHMP6,-0.17788085,0.05759292,0.11132764,0.12455
PIGB,0.42435753,0.061174996,-0.24648163,0.019950002
CHEK2,0.27004883,0.088762164,-0.15541564,-0.74575
ACD,-0.25760254,-0.04307484,-0.03949446,-0.20295
SUPV3L1,0.0032148361,-0.17266513,0.18593296,0.50090003
GPATCH8,0.13799883,0.6160442,-0.07165811,-1.0776
ARPP19,-0.36990473,0.045771662,-0.13841107,-0.6318
RTN2,-0.17746097,-0.3890195,-0.17499788,-0.43099996
NPEPL1,-0.07156427,-0.18754834,0.09939816,0.4817
UBQLN2,-0.0762263,0.28494015,0.7039834,0.90985
DMTF1,0.09892945,0.13342004,0.28958988,0.060900003
CLPX,-0.30107772,0.4312416,0.5208597,0.037750006
TXNL4B,0.13952386,0.27425727,1.2762169,0.5887
PRR15L,-0.09058882,0.2511896,0.5332372,0.5595
ST6GALNAC2,0.15277267,-0.05119049,0.051171005,0.74045
ADH5,-0.17897092,-0.21236826,-0.26716202,0.22254997
GOLT1B,-0.8998765,-0.053137943,-0.8643671,-0.39090002
PPOX,0.20484501,0.29819226,0.7159513,1.15485
CANT1,0.026816685,0.2585088,-0.6922054,0.6745
HOMER2,-0.2602403,0.33585,0.08536121,0.27965
CLTB,-0.34707013,0.008582629,-0.86532897,-0.26795
PHKA1,0.16589974,-0.016999999,0.2706071,0.3811
MAP4K4,0.25883055,0.053474996,-0.24433827,0.4657
PAN2,0.28610292,-0.09503533,-0.02909568,0.44169998
PPIC,0.38813144,-0.101662636,-0.13043025,0.15775001
EIF5,-0.6610797,-0.03228447,0.47495344,-4.72615
TM9SF3,0.23395735,-0.26453608,0.031737417,0.7695
CCDC86,0.0014528148,0.3327302,-0.24789165,-0.9814
SLC25A14,0.13234375,0.24068522,0.1566276,0.30085
TBXA2R,-0.13293299,-0.14871693,0.57682705,0.58495003
HERPUD1,0.19130355,0.30593514,0.45560354,-0.56285
RPL39L,0.0753036,0.34205627,0.1692515,0.38565
BPHL,0.5527318,0.061422817,0.7537805,-0.28195
MAPKAPK3,0.19257177,-0.10562748,0.056858875,-0.12810001
MBOAT7,-0.3365566,-0.42788577,-0.38375753,-0.20475003
PNKP,-0.1905209,-0.2735,0.16163146,0.61605
SLC35A3,0.4687363,0.23293097,-0.09239906,-0.55645
LSR,-0.062257364,0.13258779,0.06691442,0.67085004
KDM5A,0.11118895,0.30852228,0.10932465,0.78745
FAM63A,0.30674317,-0.2014668,0.27328035,-0.28109998
RAB4A,0.19700237,0.24618706,-0.0691523,0.29995
IFRD2,0.31343132,0.20855817,-0.19286051,-0.92725
BACE2,0.41983157,-0.05418332,-0.28196007,-0.24019998
LYN,0.10810009,0.014499992,0.20016932,-0.1334
ISOC1,0.038741566,0.30612567,-0.30961266,0.05069998
MOK,0.18873446,0.0049250005,-0.07216642,0.20605004
DNAJB2,-0.039457347,0.033433907,0.4075694,1.00735
CERK,-0.2823855,-0.26164514,-0.33256423,0.79219997
LAP3,0.2076842,0.07747501,0.2677911,0.4467
MAPKAPK5,0.4254112,0.15317357,0.26254672,0.5304
HDGFRP3,-0.03129556,0.4796365,0.4343906,-0.96995
RAB21,-0.05966178,0.023133561,0.81778836,-0.44189999
PSIP1,-0.16770634,0.15608117,-0.0205719,-0.3485
CREB1,-0.11338653,-0.033417247,0.43512207,0.011249989
MBNL2,0.61541384,0.21576498,0.075305335,0.0316
PACSIN3,-0.048269156,-0.17317641,0.030247262,1.8332
MTA1,-0.024956334,0.16090581,-0.25257856,0.030599996
MACF1,-0.2028836,0.06281885,-1.2104279,0.089600004
HIST1H2BK,-0.15057859,0.066534266,0.7943586,0.0714
PCCB,-0.47137207,-0.14825425,-0.052569825,-0.24784997
STAP2,0.3211273,0.2906515,0.21897689,0.3402
PMM2,-0.05597584,-0.17013787,0.349335,0.1742
HSD17B11,0.19611481,0.25053287,-0.010520552,-0.8865
FBXL12,0.12570897,-0.03792499,0.7488518,1.68295
WDR61,0.02444347,-0.297225,-0.8261376,-0.41955
FAS,0.27064815,-0.19778244,-0.37729856,-0.97595
CENPE,-0.16284704,0.1867492,0.2053683,0.6865
CREG1,0.45346123,0.04270672,-0.026371863,-0.50625
PRR7,-0.37415734,-0.20159781,-0.09204811,-0.262
TMEM110,-0.34699374,-0.060756017,0.2652125,0.0988
ZNF589,0.40121365,0.26025,0.40075153,0.8577
CNDP2,0.44971997,0.09374172,-0.8402965,-0.0054500103
TNIP1,-0.2801521,-0.55650806,-0.525975,0.28925002
P4HTM,0.38359573,-0.07703205,0.45689505,0.16919999
REEP5,0.21421078,-0.027774993,0.07261159,-0.46495003
BZW2,0.54453075,0.017801479,0.13797164,-0.23355001
CGRRF1,-0.26214775,0.3547066,0.083513,-0.67835003
AMDHD2,-0.092033565,-0.29632512,-0.32885262,-0.02405
PEX11A,0.34232527,0.20739868,0.40657395,0.1277
GFOD1,0.20003062,0.12527502,1.2794766,0.7121
PECR,0.18467462,-0.318875,0.04516039,0.074450016
SOCS2,0.21993212,0.123088576,0.8647444,0.4577
ZDHHC6,0.451712,0.28077638,-0.8123201,-1.11905
ITGAE,-0.63607925,0.35700086,0.25677538,-0.24180001
TMEM5,0.33190942,-0.04266759,-0.0783606,0.96510005
ATP5S,0.3369888,0.112977274,-0.48449862,-1.80605
NGRN,-0.047950827,-0.5176027,-0.19360472,-2.2403002
HOXA5,0.4688926,-0.16195,-0.2473661,-1.1790501
GRN,0.16869651,-0.43162578,0.5754536,-0.20754999
NUP85,-0.2117461,0.16845995,-0.39545685,-0.20145
GTPBP8,0.28090906,0.496176,-0.25461388,-0.60695
PTK2,0.224103,0.040487856,0.5634062,-0.6859
EPN2,-0.22849804,-0.16150765,0.2319562,-0.4693
MCUR1,0.27560169,-0.54311085,-0.411163,0.10579997
C2CD5,0.30328223,-0.083975,-1.4422997,-0.21814999
MRPS16,0.13176256,-0.60444367,-1.0863656,-0.95094997
NOL3,0.31935,0.012002872,0.4347537,0.39874998
NR1H2,0.38558054,0.34969157,0.3310358,0.33635
PLS1,-0.049214326,-0.21747501,-0.08373971,-0.46665
DUSP22,-0.086576395,-0.145875,0.302849,0.3615
RPS6KA1,0.13046618,0.14965789,-0.34150654,-0.23564999
DCK,0.344652,0.32361355,-0.48838764,-1.21645
TRIM2,0.06420107,0.031399995,0.44355512,0.29270002
VPS28,0.14002371,-0.34064767,0.46780664,-0.49769998
LRRC16A,0.23962182,0.11364305,0.50438714,-0.06685001
NR2F6,0.04468928,0.180486,-0.14259198,-0.09044999
EXOSC4,0.007888455,-0.03865,-0.28612846,-0.11044999
PDLIM1,0.1437326,-0.15437749,0.3643149,0.8439
CRELD2,-0.23981678,0.15984999,0.26606354,0.48895
RRP12,0.31644577,0.011800002,-0.15371934,0.1578
ACAT2,-0.15742362,-0.2786443,0.15338543,-0.7211
THAP11,0.12802264,0.63328487,0.5942173,-0.19090003
CEBPD,-0.15406993,0.11347164,0.53748953,0.059899997
MAST2,-0.15612741,0.00040000305,-0.82973176,0.55235
DHDDS,0.33114254,0.1852909,0.29663184,0.6908
GADD45B,0.15213287,-0.368,0.27524167,1.85905
KIAA0355,0.36363083,0.1749,0.23877063,0.04975
DYNLT3,0.03537696,0.032880977,-0.76226616,-0.18775001
CHMP4A,0.4585571,-0.127825,-0.24507484,0.38259998
IPO13,-0.1078612,0.039367486,0.44141582,0.2377
ITFG1,-0.3317638,0.14653149,0.07248442,0.2116
HYOU1,-0.44396242,0.106074,0.47884515,0.54515
FOS,-0.09022389,0.043965198,0.23044766,0.86745
MCOLN1,-0.1398612,-0.11442066,0.6327668,-0.20950001
ID2,-0.10108313,-0.2077656,-0.038655832,-0.5209
KCNK1,0.3257683,0.053549998,0.5295379,-0.8981
RAI14,-0.022729762,-0.17664081,0.40183848,0.17074999
DNAJC15,0.49240562,0.28637612,0.45350248,0.027499996
HOXA10,-0.36214432,0.15900888,-1.0843195,-0.033549994
CTNND1,-0.22345644,-0.29466534,0.5761764,0.5411
ZNF131,0.18932721,0.45668525,0.09270829,-0.2775
HOOK2,0.29137853,-0.316625,-0.45094538,-0.06955
ERBB2,-0.38178116,0.0035361405,-0.07897471,-0.569
INTS3,0.18217471,-0.27099267,-0.089249104,0.16735
RFNG,-0.10729714,0.51512754,0.049849745,0.84085
MICALL1,-0.2711384,0.3430828,0.07797195,-0.5029
KLHL21,0.56021583,0.2793178,0.24370804,0.0020999908
TLE1,-0.15595089,0.033250004,-0.6172849,-0.25079998
COG2,0.40769976,-0.36243108,0.068451576,0.54910004
MRPS2,0.34306115,-0.06249641,0.21691433,-0.40475
KCTD5,0.23249483,-0.07155,0.22678798,-0.3605
CNPY3,-0.18647853,0.29680002,0.7245964,0.7005
ADAM10,0.26936707,0.111975,0.487279,-0.79935
CD58,0.512473,0.4167567,-0.14229372,-0.75175
KIF5C,0.051221814,-0.14488079,0.49930197,0.23174998
HMG20B,-0.15438552,0.009633202,-0.6761904,0.0264
PIN1,-0.09558118,-0.062384978,-0.5824201,0.32075
LAGE3,0.13528177,-0.1493125,-0.12718463,-0.58395004
TNFRSF21,0.069697686,0.13275,0.020773545,0.61435
KIF14,-0.31141803,0.023627982,-0.21013024,-0.7572
CYB561,0.14869985,0.0666158,-0.30220821,-0.2045
HTRA1,-0.07177994,0.30843803,0.6680864,0.09775
WASF3,0.58024716,0.3582788,0.14640385,-1.0996001
TSPAN6,-0.28667125,-0.19496313,0.10149445,-1.22735
FBXO21,-0.09086874,-0.5870055,0.40206164,0.20365
PPP2R3C,0.27316827,-0.28286558,-0.6509328,-0.1347
GRB10,-0.058160707,0.1851208,-0.1586957,-0.16510001
ZW10,-0.33519536,0.26639152,-0.024306402,0.24194999
CORO1A,-0.035580445,-0.12613377,0.28845185,-0.10005
XPNPEP1,0.50453633,-0.68,-0.05801775,0.7214
MAMLD1,0.46648836,-0.18552476,0.3107497,0.5409
DSG2,-0.17190391,0.10251618,0.55585015,-0.51905
SLC27A3,-0.11872784,-0.11897093,0.47350514,0.6153
ADGRE5,-0.045061953,0.21799403,-0.44094262,0.08250001
IL13RA1,0.017403007,0.2442519,0.15736748,0.90565
AGL,1.0162256,-0.32485002,0.4989397,0.5097
GATA3,0.1777889,0.14781085,0.36889297,-0.16155
RPA3,0.09593289,-0.067875,-0.1768038,-0.8644
TES,-0.10122498,-0.4337939,0.41623908,0.4478
SPR,-0.3479148,-0.10852876,-0.07625529,-0.24470001
RELB,-0.28121567,0.21795422,-0.15830937,0.47195
RPIA,-0.5614745,-0.029917315,-0.095176086,-0.18165
ADGRG1,0.1857731,0.13584864,0.25539133,0.7683
NVL,-0.17520572,-0.00012499839,0.49957827,0.59449995
ME2,0.29399452,-0.11094662,0.08069475,-0.5236
TBC1D31,0.68177277,0.15577963,0.47109023,0.104200006
RFC2,-0.483132,-0.3350079,0.02587244,-1.2979
TIMM9,-0.0558237,0.1485,-0.4313553,-0.33765
ORC1,-0.10690424,0.43321684,0.40397614,0.04564999
PARP2,0.09108226,-0.07657023,-0.3908441,-0.28274998
FASTKD5,-0.105481945,0.01092501,-0.06450516,-0.3712
HACD3,-0.061479177,-0.17216916,0.25407407,-0.9295
MSRA,-0.30618334,0.21347214,-0.23769513,0.47190005
SYNE2,0.27706388,0.14859393,0.41066492,0.0729
UBE3C,-1.1852856,0.29125,-0.6524003,0.052250005
CCDC92,0.11323514,0.12342501,-0.1012755,0.6679
TIMM22,-0.13043422,0.2651,0.4368261,0.29215
ATF5,-0.07086443,0.17529932,-0.28354692,0.80245
NSDHL,0.24722248,-0.33292875,0.02995006,0.2861
ADI1,-0.2566476,0.062175,-1.0810025,-1.2142999
ADCK3,0.087194,-0.05303968,-0.20533039,-0.10564998
GDPD5,0.10100779,0.1469,0.32226825,0.85010004
TARBP1,0.2503863,-0.09052844,-0.1950247,-1.402
RBKS,0.02084145,-0.30022502,0.24941523,0.14729999
KDM3A,0.11256075,0.25412855,-0.18678272,-0.08395001
BID,0.29154313,0.046550002,-0.011862874,0.2518
MTF2,0.3605405,-0.031360447,0.68210053,0.09045
PIK3C2B,0.37118798,-0.23585,-0.21001093,-0.67505
SLC25A46,0.3323424,-0.10860106,-0.28533307,-0.52855
CDK19,-0.12457931,0.36755002,-0.22367416,0.42575
KIAA0753,0.11057691,0.26590338,0.41107917,0.55785
KAT6B,0.3107018,0.1282722,0.023604907,0.5711
CHN1,0.11667016,0.07284596,0.5385927,0.48874998
MAPK13,0.03370783,0.18381575,-0.13590665,-0.43645
UFM1,-0.5311363,-0.12178476,0.03586718,-0.6776
IARS2,0.14018974,-0.12831762,-0.5843116,-0.58625
GATA2,-0.0041976236,-0.08755287,0.2192735,0.068399996
NRIP1,-0.1871933,-0.02528324,-0.50649107,-0.62715
CCNB2,-0.5853878,0.31634048,-0.34109712,-0.24350001
RNPS1,0.063247,0.34661633,0.329071,-0.023450002
ARID4B,-0.033616558,0.17423782,-0.0969646,0.44935
GSTZ1,0.34397376,-0.32886863,-0.37289786,0.27085
SESN1,-0.1883797,-0.3099498,-0.33279365,-0.49435002
