landmark_gene,SENP5,PLCG1,CCNC,PMVK
IFNAR1,0.0487672,-0.054302283,0.54163706,0.5919
MIF,-0.32662678,-0.037013717,-0.36025006,0.21315
DAG1,-0.41254202,-0.091898106,0.20521283,-0.005300015
IGF2BP2,0.4442128,0.08322523,-0.19688144,0.22044998
ERBB3,0.1825997,-0.026362333,0.1529929,-0.3309
FZD1,0.031875096,0.29195464,0.54777956,0.67859995
PIK3R3,-0.14075235,0.04717906,0.47705972,0.34935004
TFDP1,-0.113927335,0.014694933,-0.19828752,0.067200005
SYK,0.007978402,0.063075,0.40456772,0.19659996
EIF4EBP1,-0.06027703,-0.22489852,-1.1419592,-0.4817
CCND3,-0.5392163,0.29023254,-0.14476842,0.78135
PTPN6,-0.06483973,-0.247015,-0.08715612,0.1595
DUSP4,-0.0811007,0.02882236,-0.30703235,-0.082849994
RB1,0.54306424,0.2889285,0.2816929,-0.0338
PARP1,-0.116883114,0.0074799173,-0.05055927,-0.21714999
CDK6,-0.3696137,-0.076927364,0.4141787,-0.1339
PSMB10,0.32743645,-0.11446514,-0.36484015,0.38815004
FOSL1,-0.026440945,0.102966316,0.10210905,0.33475
E2F2,0.106737204,0.090375,0.80040693,0.0025499985
CRK,-0.34800407,0.034603998,0.13462588,-0.22455001
HSPA8,-0.026016641,0.24074541,-0.9273124,-0.7435
CCNB1,-0.21161856,0.63753563,0.03272167,-0.4032
NFATC3,0.31666076,-0.14453514,0.70652443,0.22499998
PCNA,-0.15987116,0.427575,-0.6162326,-0.6765
PSMB8,-0.05971476,-0.060779776,-0.9703908,0.22395
PRKCQ,0.26404965,0.21266238,0.8635992,0.6
SUV39H1,0.29793885,0.3194707,-0.7870595,0.036
BIRC2,0.39634958,0.25454998,0.57924587,0.092700005
PAK1,0.5205235,-0.07407658,0.36994597,-0.59835
CDC42,-0.12386942,-0.4287299,-0.43962073,-1.5088
CCNE2,0.12925628,0.27350974,-0.20652789,-0.3233
SNAP25,0.118847325,-0.07950841,0.39713252,0.07745
PGAM1,-0.27979684,-0.25075483,-0.28899097,-0.42515
NCK1,0.33107346,0.016305432,0.24038236,-0.7728499
CD40,-0.27088434,-0.146225,0.3498168,0.39274997
DAXX,0.1384373,0.15669811,0.7494618,0.19369999
CDC20,-0.6942247,-0.000175,-0.64837253,-0.20320001
CCL2,-0.0012663752,0.764125,0.4844721,-0.028100014
SRC,0.17943573,0.4741687,-0.24861462,-0.21600002
BMP4,-0.0034724697,-0.022963174,0.25049505,0.71305
MNAT1,0.5368488,0.14641953,0.30219737,-0.56365
TLR4,-0.019569375,0.180908,-0.0626454,0.75395
IKZF1,-0.033236187,-0.16210026,0.91722,0.9675
EPHA3,-0.011154272,0.1331353,-0.044053987,0.28305003
CASP10,-0.08868397,0.13340247,0.76994896,0.57255
CASP7,0.39086178,-0.1327009,-0.49855605,0.2886
TGFBR2,0.10036741,-0.22407499,0.09611449,0.23674999
NOTCH1,-0.21696529,0.21146695,0.35842568,0.79185
SHC1,0.025532708,-0.095325,0.48149633,0.43065
SIRT3,0.07432773,-0.45787498,-0.059854776,-0.041500002
CYCS,0.21646804,0.12295001,0.61718804,-0.10264993
GNAI1,0.28918844,-0.32278228,0.44242865,-0.12544999
FBXO11,0.76769423,0.0022437219,0.47196642,0.53735
MEF2C,0.33647266,-0.053138345,0.9064182,1.03625
DUSP3,0.28799164,-0.19860923,-0.249045,-0.07715
PPP1R13B,0.09467403,0.1333,0.57720953,1.16145
PRKCH,-0.592362,0.037426542,0.50370616,-0.65779996
CCNA1,0.40256926,-0.11642499,0.38469577,0.74775
BAX,-0.17563108,0.12705164,0.4178388,-0.20055002
RPS5,0.032765593,0.0,0.013765842,-0.41255
SNCA,-0.089306936,-0.33208662,0.21862698,-0.14485002
CHP1,0.16007636,-0.24487427,0.2619444,0.47834998
SPP1,0.11372425,-0.14810476,0.05778378,0.3442
AXIN1,-0.066279896,0.34667394,0.13275327,0.27660003
CASP2,0.19371325,-0.03697499,0.22992001,-0.0015500039
FZD7,-0.20546131,0.20551337,0.5045823,0.93145
DUSP6,-0.06709871,0.10460906,0.40857786,0.24810001
ADRB2,-0.24918726,0.06665301,0.10416032,0.6601
MMP1,0.31516618,0.115516625,0.34037444,0.85854995
CDC25B,0.16393313,0.14184543,-1.1046379,0.0828
EPHB2,-0.05961629,-0.2002446,-0.02205868,0.60160005
CHEK1,0.02589168,0.055915747,0.37252367,-0.22814998
PDGFA,-0.08122172,-0.30887145,-0.43721396,-0.061599992
CXCL2,-0.19642529,0.13267651,0.27831277,0.5231
HLA-DRA,0.12750787,-0.13331547,0.45281917,-0.32184997
GNA15,-0.16485685,-0.06571897,0.31450626,0.20605001
RALGDS,-0.08919331,-0.32689303,-0.12751564,0.11415
SATB1,0.43654537,0.13459203,0.44148195,0.32514998
PFKL,-0.049109504,-0.38933432,-0.6838894,0.99815
GRB7,0.052644074,0.118078224,0.37885892,0.22469997
MAPKAPK2,-0.87346053,0.30139887,0.24218881,0.09219998
MKNK1,0.047958992,0.068299994,0.115734585,0.28195
HSPA1A,0.07585424,0.46885115,0.3841108,-0.65845
PLCB3,-0.13484573,-0.22758318,-0.26986694,0.32009998
PLK1,-0.32387295,0.26935577,-0.2691539,-0.62995
MYLK,-0.09629148,-0.40480804,-0.57425314,0.25385004
FGFR4,0.1704427,0.07003067,-0.0806829,0.001699999
CDKN2A,0.3494805,-0.14005606,0.28342646,0.8169
CDKN1B,0.030147612,-0.16203006,-0.030982971,-1.67865
GAPDH,-0.059008326,0.0,-0.0008425371,0.0
CISD1,-0.04075582,-0.3251964,0.11602111,0.0159
SPDEF,-0.15647359,-0.19902566,-0.07642104,0.30934998
IGF1R,-0.8389486,-0.04505664,0.15382302,0.056799993
GSTM2,0.02451069,-0.094428,-0.13078398,-0.011699975
SPTLC2,-0.059791476,-0.5137638,-0.6046711,-0.11064999
TSKU,0.25863346,-0.4679271,-0.105224736,-0.11974996
TMEM2,-0.26095742,-0.119674996,-0.16217345,0.058199994
SLC2A6,-0.4222866,0.27454615,-0.5326647,0.66415
EZH2,-0.114270076,0.34585625,-0.23833357,-0.07680002
ICAM3,-0.13219656,0.06734001,-0.45744067,-0.4532
PHKG2,0.24277967,0.0079,0.73117715,0.07079999
KDM5B,0.111177064,-0.24095201,0.698223,0.26954997
COG4,-0.17084688,-0.6266594,-0.2929515,0.15579998
MCM3,0.12060374,0.19810002,-0.24095082,-0.64935
SNX13,0.009413347,-0.27387065,0.3642098,0.23829997
PAK4,-0.57130164,-0.14461964,-0.03372392,-0.1848
DPH2,0.2357332,-0.34837973,0.51574206,1.0004
SNX6,0.016775033,-0.107025,0.13470915,0.513
WIPF2,0.8748383,0.004042797,0.34827313,0.11935
NENF,0.6836196,-1.1919754,0.23309389,-0.3165
RPN1,0.038650185,0.12630552,-0.20067158,0.20405
C2CD2L,0.11398064,0.4619282,0.21802975,0.58129996
GABPB1,-0.18422848,0.10374386,0.17850552,-0.43735
POLR2K,0.39406148,0.24468987,0.1348561,-0.93579996
PAF1,-0.28751886,-0.095840015,-0.10582514,0.032500003
POLR1C,0.2055035,-0.017562415,0.9241891,-0.34155002
RUVBL1,0.019753784,0.07515962,-0.3509568,-0.33179998
AKT1,-0.3788843,0.22714512,-0.73470205,0.73415
SENP6,0.0533646,-0.099325,0.33793038,0.4642
EBP,0.17970686,0.22645324,-0.16704682,0.015250027
CASK,-0.029691137,0.15130986,-0.497881,-0.35790002
RRP8,0.4421714,0.197375,0.51488674,0.18644997
BHLHE40,-0.09893903,-0.17775242,-0.053222314,-0.4925
BDH1,0.019778391,-0.22575729,-0.78733313,-0.3987
SH3BP5,0.08782981,-0.24340379,0.45314354,0.6682
PPP2R5A,0.14359492,-0.15913431,-0.25711733,-0.10685
EML3,-0.30678278,0.14236477,-0.36896282,0.62955
BIRC5,-0.8182287,0.4459,-0.25473464,-0.6898
EPRS,0.2946234,0.09359017,-0.06594696,0.23615
PAX8,0.021134503,0.29310757,-0.17103729,0.26135
PDS5A,0.3933425,-0.005684439,0.11752923,-0.94490004
XBP1,-0.16495337,-0.11914745,-0.92047036,0.1638
NMT1,-1.3612599,0.090225,1.1547861,0.32815
ARFIP2,-0.28405112,-0.18039551,-0.4426536,-0.26195
STAMBP,0.19755812,-0.74615103,-0.14355421,0.3408
FAH,0.32191622,-0.12007874,-0.46272436,0.0334
PLP2,-0.2354276,0.2666533,0.02916716,0.51265
SOX4,0.009396736,-0.10502387,0.021356465,-0.07474999
TESK1,-0.18846253,0.15441966,0.39583176,0.3538
