gene,n_concept_modules,concept_module_names,stimulation_gated,ctx_specific_de,de_Rest,de_Stim8hr,de_Stim48hr,max_abs_effect,loeuf,pli,druggability_tractability
CD2,0,,True,985.0,4.0,669.0,989.0,50.578725404681904,,,
ARHGAP27,0,,True,925.0,9.0,934.0,76.0,8.555444982977969,,,
ACACA,0,,True,909.0,4.0,4.0,913.0,25.676848121599715,,,
IBA57,0,,True,906.0,13.0,140.0,919.0,7.439480182162379,,,
PDCD5,0,,True,872.0,30.0,38.0,902.0,15.636083544621624,,,
TFB1M,0,,True,865.0,1.0,7.0,866.0,11.79719375259502,,,
EGR2,0,,True,855.0,0.0,855.0,254.0,11.061330168611285,,,
ACOT7,0,,True,843.0,2.0,5.0,845.0,12.624177366531471,,,
NDFIP2,0,,True,833.0,2.0,835.0,128.0,16.507232922287095,,,
NATD1,0,,True,828.0,2.0,830.0,32.0,5.689391613530402,,,
MTHFD2,0,,True,797.0,1.0,3.0,798.0,29.194765785599767,,,
COQ6,0,,True,780.0,20.0,229.0,800.0,6.448241728512018,,,
ZNF837,0,,True,758.0,0.0,0.0,758.0,1.1697394968124637,,,
ATAD3A,0,,True,718.0,2.0,7.0,720.0,19.71488824757584,,,
INSIG1,0,,True,709.0,22.0,116.0,731.0,10.735481610476596,,,
MTHFD1L,0,,True,707.0,9.0,31.0,716.0,16.504817898377937,,,
MMGT1,0,,True,699.0,31.0,65.0,730.0,16.84693705119878,,,
MTCH2,0,,True,687.0,6.0,2.0,693.0,11.228737617919894,,,
DPH6,0,,True,686.0,32.0,157.0,718.0,9.195761004485044,,,
ECSIT,0,,True,683.0,11.0,26.0,694.0,14.640625550282458,,,
LAMTOR4,0,,True,657.0,27.0,334.0,684.0,27.806857445075515,,,
PTCD2,0,,True,650.0,50.0,43.0,700.0,5.687992904008152,,,
PPP3R1,0,,True,612.0,1.0,613.0,523.0,23.64690016628666,,,
ACAD9,0,,True,606.0,1.0,5.0,607.0,20.77282953759597,,,
AMBRA1,0,,True,602.0,6.0,16.0,608.0,15.03035677216258,,,
MED13,0,,True,586.0,43.0,220.0,629.0,32.15656256089598,,,
HACD4,0,,True,542.0,5.0,547.0,5.0,20.276459701497483,,,
VPS8,0,,True,535.0,2.0,4.0,537.0,14.472067461996756,,,
INPP5D,0,,True,533.0,3.0,12.0,536.0,26.88359373015075,,,
GADD45GIP1,0,,True,527.0,10.0,70.0,537.0,23.06541758352927,,,
NDUFA9,0,,True,517.0,4.0,17.0,521.0,9.248062197450972,,,
CBX5,0,,True,513.0,49.0,233.0,562.0,27.487232894414788,,,
COA7,0,,True,501.0,43.0,200.0,544.0,11.64324220067359,,,
AEBP2,0,,True,498.0,12.0,55.0,510.0,23.311349888781063,,,
